Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,41.33,41.43,,,
2016-05-10,42.0,41.33,,,
2016-05-11,42.46,42.0,,,
2016-05-12,42.73,42.46,,,
2016-05-13,42.62,42.73,,,
2016-05-16,42.94,42.62,,,
2016-05-17,44.41,42.94,,,
2016-05-18,44.32,44.41,,,
2016-05-19,44.56,44.32,,,
2016-05-20,44.89,44.56,,,
2016-05-23,44.57,44.89,,,
2016-05-24,45.03,44.57,,,
2016-05-25,45.42,45.03,,,
2016-05-26,45.51,45.42,,,
2016-05-27,45.82,45.51,,,
2016-05-30,45.82,45.82,,,
2016-05-31,45.89,45.82,,,
2016-06-01,45.95,45.89,,,
2016-06-02,45.9,45.95,,,
2016-06-03,45.72,45.9,,,
2016-06-06,45.86,45.72,,,
2016-06-07,45.75,45.86,,,
2016-06-08,46.15,45.75,,,
2016-06-09,46.09,46.15,,,
2016-06-10,45.36,46.09,,,
2016-06-13,44.92,45.36,,,
2016-06-14,44.91,44.92,,,
2016-06-15,44.94,44.91,,,
2016-06-16,45.37,44.94,,,
2016-06-17,45.36,45.37,,,
2016-06-20,46.14,45.36,,,
2016-06-21,46.16,46.14,,,
2016-06-22,46.03,46.16,,,
2016-06-23,46.68,46.03,,,
2016-06-24,44.12,46.68,,,
2016-06-27,42.26,44.12,,,
2016-06-28,43.11,42.26,,,
2016-06-29,43.76,43.11,,,
2016-06-30,44.36,43.76,,,
2016-07-01,44.6,44.36,,,
2016-07-04,44.6,44.6,,,
2016-07-05,43.75,44.6,,,
2016-07-06,44.47,43.75,,,
2016-07-07,44.42,44.47,,,
2016-07-08,45.48,44.42,,,
2016-07-11,45.4,45.48,,,
2016-07-12,46.53,45.4,,,
2016-07-13,46.41,46.53,,,
2016-07-14,46.8,46.41,,,
2016-07-15,46.67,46.8,,,
2016-07-18,46.8,46.67,,,
2016-07-19,46.98,46.8,,,
2016-07-20,47.01,46.98,,,
2016-07-21,46.67,47.01,,,
2016-07-22,46.58,46.67,,,
2016-07-25,46.14,46.58,,,
2016-07-26,46.95,46.14,,,
2016-07-27,47.26,46.95,,,
2016-07-28,47.51,47.26,,,
2016-07-29,48.11,47.51,,,
2016-08-01,47.87,48.11,,,
2016-08-02,47.18,47.87,,,
2016-08-03,47.09,47.18,,,
2016-08-04,46.83,47.09,,,
2016-08-05,47.49,46.83,,,
2016-08-08,47.23,47.49,,,
2016-08-09,47.45,47.23,,,
2016-08-10,47.51,47.45,,,
2016-08-11,48.13,47.51,,,
2016-08-12,48.14,48.13,,,
2016-08-15,48.44,48.14,,,
2016-08-16,48.28,48.44,,,
2016-08-17,48.43,48.28,,,
2016-08-18,46.72,48.43,,,
2016-08-19,47.62,46.72,,,
2016-08-22,47.58,47.62,,,
2016-08-23,47.82,47.58,,,
