Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,151.53,150.52,,,
2016-05-10,152.29,151.53,,,
2016-05-11,148.13,152.29,,,
2016-05-12,150.0,148.13,,,
2016-05-13,145.56,150.0,,,
2016-05-16,148.14,145.56,,,
2016-05-17,144.08,148.14,,,
2016-05-18,143.81,144.08,,,
2016-05-19,143.54,143.81,,,
2016-05-20,146.39,143.54,,,
2016-05-23,145.87,146.39,,,
2016-05-24,149.34,145.87,,,
2016-05-25,153.53,149.34,,,
2016-05-26,156.66,153.53,,,
2016-05-27,156.31,156.66,,,
2016-05-30,156.31,156.31,,,
2016-05-31,153.84,156.31,,,
2016-06-01,153.34,153.84,,,
2016-06-02,152.15,153.34,,,
2016-06-03,150.71,152.15,,,
2016-06-06,150.24,150.71,,,
2016-06-07,151.71,150.24,,,
2016-06-08,153.52,151.71,,,
2016-06-09,156.78,153.52,,,
2016-06-10,153.02,156.78,,,
2016-06-13,152.55,153.02,,,
2016-06-14,152.63,152.55,,,
2016-06-15,153.64,152.63,,,
2016-06-16,153.94,153.64,,,
2016-06-17,154.55,153.94,,,
2016-06-20,155.58,154.55,,,
2016-06-21,154.44,155.58,,,
2016-06-22,153.16,154.44,,,
2016-06-23,154.93,153.16,,,
2016-06-24,154.52,154.93,,,
2016-06-27,153.78,154.52,,,
2016-06-28,156.98,153.78,,,
2016-06-29,161.01,156.98,,,
2016-06-30,161.63,161.01,,,
2016-07-01,164.33,161.63,,,
2016-07-04,164.33,164.33,,,
2016-07-05,161.19,164.33,,,
2016-07-06,161.45,161.19,,,
2016-07-07,161.13,161.45,,,
2016-07-08,164.85,161.13,,,
2016-07-11,163.69,164.85,,,
2016-07-12,163.55,163.69,,,
2016-07-13,162.91,163.55,,,
2016-07-14,164.96,162.91,,,
2016-07-15,164.59,164.96,,,
2016-07-18,164.4,164.59,,,
2016-07-19,163.7,164.4,,,
2016-07-20,163.75,163.7,,,
2016-07-21,164.09,163.75,,,
2016-07-22,166.03,164.09,,,
2016-07-25,166.67,166.03,,,
2016-07-26,166.23,166.67,,,
2016-07-27,164.73,166.23,,,
2016-07-28,170.34,164.73,,,
2016-07-29,169.86,170.34,,,
2016-08-01,168.5,169.86,,,
2016-08-02,166.61,168.5,,,
2016-08-03,168.65,166.61,,,
2016-08-04,170.18,168.65,,,
2016-08-05,170.49,170.18,,,
2016-08-08,168.88,170.49,,,
2016-08-09,166.5,168.88,,,
2016-08-10,166.65,166.5,,,
2016-08-11,166.71,166.65,,,
2016-08-12,166.0,166.71,,,
2016-08-15,167.76,166.0,,,
2016-08-16,160.4,167.76,,,
2016-08-17,158.05,160.4,,,
2016-08-18,157.43,158.05,,,
2016-08-19,158.04,157.43,,,
2016-08-22,158.47,158.04,,,
2016-08-23,157.94,158.47,,,
2016-08-24,160.36,157.94,,,
2016-08-25,160.18,160.36,,,
2016-08-26,156.83,160.18,,,
2016-08-29,157.67,156.83,,,
2016-08-30,156.66,157.67,,,
2016-08-31,157.38,156.66,,,
2016-09-01,158.76,157.38,,,
2016-09-02,158.57,158.76,,,
2016-09-05,158.57,158.57,,,
2016-09-06,160.14,158.57,,,
2016-09-07,161.88,160.14,,,
2016-09-08,158.87,161.88,,,
2016-09-09,152.96,158.87,,,
2016-09-12,153.37,152.96,,,
2016-09-13,151.18,153.37,,,
2016-09-14,150.72,151.18,,,
2016-09-15,148.94,150.72,,,
2016-09-16,148.11,148.94,,,
2016-09-19,148.44,148.11,,,
2016-09-20,145.89,148.44,,,
2016-09-21,146.33,145.89,,,
2016-09-22,149.15,146.33,,,
2016-09-23,149.24,149.15,,,
2016-09-26,150.1,149.24,,,
2016-09-27,151.01,150.1,,,
2016-09-28,149.0,151.01,,,
2016-09-29,146.74,149.0,,,
2016-09-30,149.12,146.74,,,
2016-10-03,146.94,149.12,,,
2016-10-04,146.54,146.94,,,
2016-10-05,148.93,146.54,,,
2016-10-06,148.71,148.93,,,
2016-10-07,148.13,148.71,,,
2016-10-10,148.06,148.13,,,
2016-10-11,146.76,148.06,,,
2016-10-12,147.96,146.76,,,
2016-10-13,146.78,147.96,,,
2016-10-14,146.64,146.78,,,
2016-10-17,143.27,146.64,,,
2016-10-18,142.99,143.27,,,
2016-10-19,142.23,142.99,,,
2016-10-20,141.3,142.23,,,
2016-10-21,141.93,141.3,,,
2016-10-24,141.1,141.93,,,
2016-10-25,143.81,141.1,,,
2016-10-26,143.96,143.81,,,
2016-10-27,139.22,143.96,,,
2016-10-28,140.2,139.22,,,
2016-10-31,140.08,140.2,,,
2016-11-01,139.79,140.08,,,
2016-11-02,138.14,139.79,,,
2016-11-03,138.85,138.14,,,
2016-11-04,136.19,138.85,,,
2016-11-07,137.54,136.19,,,
2016-11-08,137.67,137.54,,,
2016-11-09,140.33,137.67,,,
2016-11-10,145.82,140.33,,,
2016-11-11,145.02,145.82,,,
2016-11-14,142.9,145.02,,,
2016-11-15,164.33,142.9,,,
2016-11-16,162.98,164.33,,,
2016-11-17,166.32,162.98,,,
2016-11-18,162.57,166.32,,,
2016-11-21,166.9,162.57,,,
2016-11-22,170.29,166.9,,,
2016-11-23,171.04,170.29,,,
2016-11-24,171.04,171.04,,,
2016-11-25,170.86,171.04,,,
2016-11-28,170.77,170.86,,,
2016-11-29,169.8,170.77,,,
2016-11-30,169.72,169.8,,,
2016-12-01,170.76,169.72,,,
2016-12-02,170.14,170.76,,,
2016-12-05,170.53,170.14,,,
2016-12-06,173.31,170.53,,,
2016-12-07,176.78,173.31,,,
2016-12-08,176.52,176.78,,,
2016-12-09,175.58,176.52,,,
2016-12-12,173.0,175.58,,,
2016-12-13,171.87,173.0,,,
2016-12-14,171.51,171.87,,,
2016-12-15,172.92,171.51,,,
2016-12-16,171.91,172.92,,,
2016-12-19,173.82,171.91,,,
2016-12-20,175.63,173.82,,,
2016-12-21,173.51,175.63,,,
2016-12-22,170.39,173.51,,,
2016-12-23,170.89,170.39,,,
2016-12-26,170.89,170.89,,,
2016-12-27,171.84,170.89,,,
2016-12-28,170.42,171.84,,,
2016-12-29,170.28,170.42,,,
2016-12-30,169.12,170.28,,,
2017-01-02,169.12,169.12,,,
2017-01-03,170.6,169.12,,,
2017-01-04,172.0,170.6,,,
2017-01-05,171.88,172.0,,,
2017-01-06,169.63,171.88,,,
2017-01-09,169.53,169.63,,,
2017-01-10,169.92,169.53,,,
2017-01-11,173.43,169.92,,,
2017-01-12,174.47,173.43,,,
2017-01-13,174.79,174.47,,,
2017-01-16,174.79,174.79,,,
2017-01-17,173.0,174.79,,,
2017-01-18,173.98,173.0,,,
2017-01-19,171.72,173.98,,,
2017-01-20,171.5,171.72,,,
2017-01-23,167.78,171.5,,,
2017-01-24,168.29,167.78,,,
2017-01-25,167.5,168.29,,,
2017-01-26,165.5,167.5,,,
2017-01-27,164.37,165.5,,,
2017-01-30,164.63,164.37,,,
2017-01-31,164.24,164.63,,,
2017-02-01,160.59,164.24,,,
2017-02-02,162.34,160.59,,,
2017-02-03,162.75,162.34,,,
2017-02-06,160.27,162.75,,,
2017-02-07,159.18,160.27,,,
2017-02-08,162.73,159.18,,,
2017-02-09,164.83,162.73,,,
2017-02-10,164.05,164.83,,,
2017-02-13,162.39,164.05,,,
2017-02-14,164.37,162.39,,,
2017-02-15,163.88,164.37,,,
2017-02-16,160.99,163.88,,,
2017-02-17,161.58,160.99,,,
2017-02-20,161.58,161.58,,,
2017-02-21,161.15,161.58,,,
2017-02-22,159.68,161.15,,,
2017-02-23,157.72,159.68,,,
2017-02-24,157.33,157.72,,,
2017-02-27,156.94,157.33,,,
2017-02-28,156.61,156.94,,,
2017-03-01,156.68,156.61,,,
2017-03-02,157.36,156.68,,,
2017-03-03,155.35,157.36,,,
2017-03-06,154.25,155.35,,,
2017-03-07,151.99,154.25,,,
2017-03-08,155.21,151.99,,,
2017-03-09,155.15,155.21,,,
2017-03-10,153.97,155.15,,,
2017-03-13,154.35,153.97,,,
2017-03-14,153.71,154.35,,,
2017-03-15,152.92,153.71,,,
2017-03-16,153.41,152.92,,,
2017-03-17,152.4,153.41,,,
2017-03-20,152.44,152.4,,,
2017-03-21,151.22,152.44,,,
2017-03-22,151.27,151.22,,,
2017-03-23,150.78,151.27,,,
2017-03-24,149.73,150.78,,,
2017-03-27,147.8,149.73,,,
2017-03-28,148.36,147.8,,,
2017-03-29,149.67,148.36,,,
2017-03-30,148.67,149.67,,,
2017-03-31,148.26,148.67,,,
2017-04-03,145.5,148.26,,,
2017-04-04,143.04,145.5,,,
2017-04-05,142.74,143.04,,,
2017-04-06,142.56,142.74,,,
2017-04-07,142.05,142.56,,,
2017-04-10,142.84,142.05,,,
2017-04-11,143.46,142.84,,,
2017-04-12,141.74,143.46,,,
2017-04-13,140.89,141.74,,,
2017-04-14,140.89,140.89,,,
2017-04-17,140.84,140.89,,,
2017-04-18,140.91,140.84,,,
2017-04-19,142.42,140.91,,,
2017-04-20,146.56,142.42,,,
2017-04-21,146.84,146.56,,,
2017-04-24,147.1,146.84,,,
2017-04-25,145.67,147.1,,,
2017-04-26,145.78,145.67,,,
2017-04-27,143.19,145.78,,,
2017-04-28,142.14,143.19,,,
2017-05-01,140.53,142.14,,,
2017-05-02,142.55,140.53,,,
2017-05-03,142.82,142.55,,,
2017-05-04,144.81,142.82,,,
2017-05-05,144.98,144.81,,,
2017-05-08,146.97,144.98,,,
2017-05-09,146.12,146.97,,,
2017-05-10,146.16,146.12,,,
2017-05-11,145.95,146.16,,,
2017-05-12,145.02,145.95,,,
2017-05-15,145.85,145.02,,,
2017-05-16,145.25,145.85,,,
2017-05-17,144.56,145.25,,,
2017-05-18,148.51,144.56,,,
2017-05-19,151.47,148.51,,,
2017-05-22,147.37,151.47,,,
2017-05-23,140.66,147.37,,,
2017-05-24,133.02,140.66,,,
2017-05-25,131.97,133.02,,,
2017-05-26,134.16,131.97,,,
2017-05-29,134.16,134.16,,,
2017-05-30,132.99,134.16,,,
2017-05-31,133.63,132.99,,,
2017-06-01,137.1,133.63,,,
2017-06-02,137.8,137.1,,,
2017-06-05,135.57,137.8,,,
2017-06-06,131.3,135.57,,,
2017-06-07,130.62,131.3,,,
2017-06-08,125.92,130.62,,,
2017-06-09,128.36,125.92,,,
2017-06-12,130.95,128.36,,,
2017-06-13,131.63,130.95,,,
2017-06-14,130.59,131.63,,,
2017-06-15,131.15,130.59,,,
2017-06-16,130.16,131.15,,,
2017-06-19,129.6,130.16,,,
2017-06-20,123.58,129.6,,,
2017-06-21,120.11,123.58,,,
2017-06-22,120.7,120.11,,,
2017-06-23,119.74,120.7,,,
2017-06-26,121.79,119.74,,,
2017-06-27,121.96,121.79,,,
2017-06-28,116.71,121.96,,,
2017-06-29,116.05,116.71,,,
2017-06-30,116.59,116.05,,,
2017-07-03,118.41,116.59,,,
2017-07-04,118.41,118.41,,,
2017-07-05,105.21,118.41,,,
2017-07-06,103.16,105.21,,,
2017-07-07,101.93,103.16,,,
2017-07-10,101.17,101.93,,,
2017-07-11,100.25,101.17,,,
2017-07-12,100.94,100.25,,,
2017-07-13,103.22,100.94,,,
2017-07-14,102.04,103.22,,,
2017-07-17,101.74,102.04,,,
2017-07-18,100.3,101.74,,,
2017-07-19,100.87,100.3,,,
2017-07-20,103.23,100.87,,,
2017-07-21,105.27,103.23,,,
2017-07-24,103.17,105.27,,,
2017-07-25,105.29,103.17,,,
2017-07-26,106.7,105.29,,,
2017-07-27,110.34,106.7,,,
2017-07-28,110.21,110.34,,,
2017-07-31,112.01,110.21,,,
2017-08-01,114.05,112.01,,,
2017-08-02,114.48,114.05,,,
2017-08-03,110.53,114.48,,,
2017-08-04,111.01,110.53,,,
2017-08-07,109.49,111.01,,,
2017-08-08,109.39,109.49,,,
2017-08-09,109.18,109.39,,,
2017-08-10,106.13,109.18,,,
2017-08-11,107.34,106.13,,,
2017-08-14,109.32,107.34,,,
2017-08-15,87.08,109.32,,,
2017-08-16,91.51,87.08,,,
2017-08-17,92.85,91.51,,,
2017-08-18,93.26,92.85,,,
2017-08-21,95.19,93.26,,,
2017-08-22,95.8,95.19,,,
2017-08-23,93.54,95.8,,,
2017-08-24,93.1,93.54,,,
2017-08-25,95.8,93.1,,,
2017-08-28,94.66,95.8,,,
2017-08-29,95.12,94.66,,,
2017-08-30,96.81,95.12,,,
2017-08-31,97.9,96.81,,,
2017-09-01,98.06,97.9,,,
2017-09-04,98.06,98.06,,,
2017-09-05,96.73,98.06,,,
2017-09-06,95.61,96.73,,,
2017-09-07,93.53,95.61,,,
2017-09-08,94.03,93.53,,,
2017-09-11,94.4,94.03,,,
2017-09-12,97.26,94.4,,,
2017-09-13,100.1,97.26,,,
2017-09-14,100.02,100.1,,,
2017-09-15,99.51,100.02,,,
2017-09-18,98.58,99.51,,,
2017-09-19,94.85,98.58,,,
2017-09-20,94.75,94.85,,,
2017-09-21,93.68,94.75,,,
2017-09-22,95.59,93.68,,,
2017-09-25,97.94,95.59,,,
2017-09-26,97.59,97.94,,,
2017-09-27,99.33,97.59,,,
2017-09-28,99.5,99.33,,,
2017-09-29,99.2,99.5,,,
2017-10-02,99.36,99.2,,,
2017-10-03,98.98,99.36,,,
2017-10-04,94.93,98.98,,,
2017-10-05,94.33,94.93,,,
2017-10-06,94.29,94.33,,,
2017-10-09,91.12,94.29,,,
2017-10-10,91.84,91.12,,,
2017-10-11,89.4,91.84,,,
2017-10-12,86.56,89.4,,,
2017-10-13,85.51,86.56,,,
2017-10-16,86.01,85.51,,,
2017-10-17,88.09,86.01,,,
2017-10-18,87.81,88.09,,,
2017-10-19,86.92,87.81,,,
2017-10-20,86.78,86.92,,,
2017-10-23,85.91,86.78,,,
2017-10-24,84.25,85.91,,,
2017-10-25,83.31,84.25,,,
2017-10-26,85.65,83.31,,,
2017-10-27,81.93,85.65,,,
2017-10-30,82.0,81.93,,,
2017-10-31,81.74,82.0,,,
2017-11-01,80.75,81.74,,,
2017-11-02,81.69,80.75,,,
2017-11-03,81.8,81.69,,,
2017-11-06,80.71,81.8,,,
2017-11-07,79.38,80.71,,,
2017-11-08,79.41,79.38,,,
2017-11-09,80.45,79.41,,,
2017-11-10,81.22,80.45,,,
2017-11-13,82.28,81.22,,,
2017-11-14,95.72,82.28,,,
2017-11-15,91.58,95.72,,,
2017-11-16,90.5,91.58,,,
2017-11-17,89.27,90.5,,,
2017-11-20,91.43,89.27,,,
2017-11-21,88.93,91.43,,,
2017-11-22,89.62,88.93,,,
