Date,X_t,X_t-1,X_t-2,X_t-3,X_t-4,X_t-5,X_t-6,X_t-7,X_t-8,X_t-9,X_t-10,X_t-11,X_t-12,X_t-13,X_t-14,X_t-15,X_t-16,X_t-17,X_t-18,X_t-19,X_t-20,X_t-21,X_t-22,X_t-23,X_t-24,X_t-25,Pos_t-1,Neu_t-1,Neg_t-1
2017-06-14,145.16,146.59,145.42,148.98,154.99,155.37,154.45,153.93,155.45,153.18,152.76,153.67,153.61,153.61,153.87,153.34,153.8,153.99,153.06,152.54,150.25,155.47,155.7,156.1,153.95,153.26,0.050130434782608695,0.9061739130434782,0.04369565217391304
2017-06-15,144.29,145.16,146.59,145.42,148.98,154.99,155.37,154.45,153.93,155.45,153.18,152.76,153.67,153.61,153.61,153.87,153.34,153.8,153.99,153.06,152.54,150.25,155.47,155.7,156.1,153.95,0.0,1.0,0.0
2017-06-16,142.27,144.29,145.16,146.59,145.42,148.98,154.99,155.37,154.45,153.93,155.45,153.18,152.76,153.67,153.61,153.61,153.87,153.34,153.8,153.99,153.06,152.54,150.25,155.47,155.7,156.1,0.0,1.0,0.0
2017-06-19,146.34,142.27,144.29,145.16,146.59,145.42,148.98,154.99,155.37,154.45,153.93,155.45,153.18,152.76,153.67,153.61,153.61,153.87,153.34,153.8,153.99,153.06,152.54,150.25,155.47,155.7,,,
2017-06-20,145.01,146.34,142.27,144.29,145.16,146.59,145.42,148.98,154.99,155.37,154.45,153.93,155.45,153.18,152.76,153.67,153.61,153.61,153.87,153.34,153.8,153.99,153.06,152.54,150.25,155.47,0.254,0.746,0.0
2017-06-21,145.87,145.01,146.34,142.27,144.29,145.16,146.59,145.42,148.98,154.99,155.37,154.45,153.93,155.45,153.18,152.76,153.67,153.61,153.61,153.87,153.34,153.8,153.99,153.06,152.54,150.25,,,
2017-06-22,145.63,145.87,145.01,146.34,142.27,144.29,145.16,146.59,145.42,148.98,154.99,155.37,154.45,153.93,155.45,153.18,152.76,153.67,153.61,153.61,153.87,153.34,153.8,153.99,153.06,152.54,0.0,1.0,0.0
2017-06-23,146.28,145.63,145.87,145.01,146.34,142.27,144.29,145.16,146.59,145.42,148.98,154.99,155.37,154.45,153.93,155.45,153.18,152.76,153.67,153.61,153.61,153.87,153.34,153.8,153.99,153.06,,,
2017-06-26,145.82,146.28,145.63,145.87,145.01,146.34,142.27,144.29,145.16,146.59,145.42,148.98,154.99,155.37,154.45,153.93,155.45,153.18,152.76,153.67,153.61,153.61,153.87,153.34,153.8,153.99,,,
2017-06-27,143.73,145.82,146.28,145.63,145.87,145.01,146.34,142.27,144.29,145.16,146.59,145.42,148.98,154.99,155.37,154.45,153.93,155.45,153.18,152.76,153.67,153.61,153.61,153.87,153.34,153.8,0.0,0.8845000000000001,0.1155
2017-06-28,145.83,143.73,145.82,146.28,145.63,145.87,145.01,146.34,142.27,144.29,145.16,146.59,145.42,148.98,154.99,155.37,154.45,153.93,155.45,153.18,152.76,153.67,153.61,153.61,153.87,153.34,,,
2017-06-29,143.68,145.83,143.73,145.82,146.28,145.63,145.87,145.01,146.34,142.27,144.29,145.16,146.59,145.42,148.98,154.99,155.37,154.45,153.93,155.45,153.18,152.76,153.67,153.61,153.61,153.87,,,
2017-06-30,144.02,143.68,145.83,143.73,145.82,146.28,145.63,145.87,145.01,146.34,142.27,144.29,145.16,146.59,145.42,148.98,154.99,155.37,154.45,153.93,155.45,153.18,152.76,153.67,153.61,153.61,,,
2017-07-03,143.5,144.02,143.68,145.83,143.73,145.82,146.28,145.63,145.87,145.01,146.34,142.27,144.29,145.16,146.59,145.42,148.98,154.99,155.37,154.45,153.93,155.45,153.18,152.76,153.67,153.61,,,
