Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,63.7,62.51,,,
2016-05-10,63.74,63.7,,,
2016-05-11,62.7,63.74,,,
2016-05-12,62.49,62.7,,,
2016-05-13,62.0,62.49,,,
2016-05-16,62.45,62.0,,,
2016-05-17,60.25,62.45,,,
2016-05-18,60.46,60.25,,,
2016-05-19,59.28,60.46,,,
2016-05-20,59.69,59.28,,,
2016-05-23,59.3,59.69,,,
2016-05-24,60.7,59.3,,,
2016-05-25,61.22,60.7,,,
2016-05-26,61.9,61.22,,,
2016-05-27,62.71,61.9,,,
2016-05-30,62.71,62.71,,,
2016-05-31,62.93,62.71,,,
2016-06-01,62.83,62.93,,,
2016-06-02,65.09,62.83,,,
2016-06-03,65.0,65.09,,,
2016-06-06,62.82,65.0,,,
2016-06-07,63.1,62.82,,,
2016-06-08,61.73,63.1,,,
2016-06-09,60.75,61.73,,,
2016-06-10,61.0,60.75,,,
2016-06-13,59.93,61.0,,,
2016-06-14,59.9,59.93,,,
2016-06-15,60.4,59.9,,,
2016-06-16,60.9,60.4,,,
2016-06-17,60.01,60.9,,,
2016-06-20,60.11,60.01,,,
2016-06-21,59.98,60.11,,,
2016-06-22,60.39,59.98,,,
2016-06-23,61.31,60.39,,,
2016-06-24,59.86,61.31,,,
2016-06-27,58.68,59.86,,,
2016-06-28,59.99,58.68,,,
2016-06-29,61.81,59.99,,,
2016-06-30,61.91,61.81,,,
2016-07-01,62.71,61.91,,,
2016-07-04,62.71,62.71,,,
2016-07-05,61.92,62.71,,,
2016-07-06,63.37,61.92,,,
2016-07-07,63.43,63.37,,,
2016-07-08,64.16,63.43,,,
2016-07-11,64.35,64.16,,,
2016-07-12,65.5,64.35,,,
2016-07-13,64.77,65.5,,,
2016-07-14,63.62,64.77,,,
2016-07-15,63.32,63.62,,,
2016-07-18,63.56,63.32,,,
2016-07-19,63.32,63.56,,,
2016-07-20,63.41,63.32,,,
2016-07-21,63.89,63.41,,,
2016-07-22,63.81,63.89,,,
2016-07-25,64.32,63.81,,,
2016-07-26,64.45,64.32,,,
2016-07-27,64.9,64.45,,,
2016-07-28,64.72,64.9,,,
2016-07-29,66.23,64.72,,,
2016-08-01,66.94,66.23,,,
2016-08-02,66.78,66.94,,,
2016-08-03,66.57,66.78,,,
2016-08-04,66.1,66.57,,,
2016-08-05,66.54,66.1,,,
2016-08-08,66.34,66.54,,,
2016-08-09,66.76,66.34,,,
2016-08-10,66.43,66.76,,,
2016-08-11,66.95,66.43,,,
2016-08-12,67.19,66.95,,,
2016-08-15,67.39,67.19,,,
2016-08-16,66.74,67.39,,,
2016-08-17,66.83,66.74,,,
2016-08-18,66.77,66.83,,,
2016-08-19,67.1,66.77,,,
2016-08-22,67.01,67.1,,,
2016-08-23,66.17,67.01,,,
2016-08-24,65.06,66.17,,,
2016-08-25,64.72,65.06,,,
2016-08-26,64.61,64.72,,,
2016-08-29,64.51,64.61,,,
2016-08-30,64.16,64.51,,,
2016-08-31,64.1,64.16,,,
2016-09-01,64.03,64.1,,,
2016-09-02,64.12,64.03,,,
2016-09-05,64.12,64.12,,,
2016-09-06,64.61,64.12,,,
2016-09-07,64.97,64.61,,,
2016-09-08,64.06,64.97,,,
2016-09-09,63.36,64.06,,,
2016-09-12,64.08,63.36,,,
2016-09-13,63.34,64.08,,,
2016-09-14,63.34,63.34,,,
2016-09-15,63.35,63.34,,,
2016-09-16,63.27,63.35,,,
2016-09-19,62.91,63.27,,,
2016-09-20,63.28,62.91,,,
2016-09-21,64.1,63.28,,,
2016-09-22,65.08,64.1,,,
2016-09-23,64.98,65.08,,,
2016-09-26,64.07,64.98,,,
2016-09-27,64.57,64.07,,,
2016-09-28,64.22,64.57,,,
2016-09-29,62.82,64.22,,,
2016-09-30,63.07,62.82,,,
2016-10-03,63.23,63.07,,,
2016-10-04,63.0,63.23,,,
2016-10-05,63.39,63.0,,,
2016-10-06,62.83,63.39,,,
2016-10-07,62.93,62.83,,,
2016-10-10,63.31,62.93,,,
2016-10-11,62.39,63.31,,,
2016-10-12,61.21,62.39,,,
2016-10-13,61.15,61.21,,,
2016-10-14,60.17,61.15,,,
2016-10-17,60.14,60.17,,,
2016-10-18,61.55,60.14,,,
2016-10-19,61.43,61.55,,,
2016-10-20,61.76,61.43,,,
2016-10-21,60.98,61.76,,,
2016-10-24,61.12,60.98,,,
2016-10-25,61.55,61.12,,,
2016-10-26,61.02,61.55,,,
2016-10-27,61.46,61.02,,,
2016-10-28,57.6,61.46,,,
2016-10-31,55.78,57.6,,,
2016-11-01,56.45,55.78,,,
2016-11-02,56.79,56.45,,,
2016-11-03,55.89,56.79,,,
2016-11-04,56.04,55.89,,,
2016-11-07,58.91,56.04,,,
2016-11-08,58.81,58.91,,,
2016-11-09,62.64,58.81,,,
2016-11-10,64.0,62.64,,,
2016-11-11,63.1,64.0,,,
2016-11-14,62.97,63.1,,,
2016-11-15,62.87,62.97,,,
2016-11-16,61.54,62.87,,,
2016-11-17,61.7,61.54,,,
2016-11-18,60.52,61.7,,,
2016-11-21,60.42,60.52,,,
2016-11-22,58.93,60.42,,,
2016-11-23,60.18,58.93,,,
2016-11-24,60.18,60.18,,,
2016-11-25,60.51,60.18,,,
2016-11-28,59.46,60.51,,,
2016-11-29,61.59,59.46,,,
2016-11-30,60.8,61.59,,,
2016-12-01,59.16,60.8,,,
2016-12-02,59.43,59.16,,,
2016-12-05,60.86,59.43,,,
2016-12-06,61.62,60.86,,,
2016-12-07,59.99,61.62,,,
2016-12-08,60.9,59.99,,,
2016-12-09,61.54,60.9,,,
2016-12-12,62.04,61.54,,,
2016-12-13,61.99,62.04,,,
2016-12-14,61.67,61.99,,,
2016-12-15,62.02,61.67,,,
2016-12-16,62.22,62.02,,,
2016-12-19,62.22,62.22,,,
2016-12-20,62.16,62.22,,,
2016-12-21,61.45,62.16,,,
2016-12-22,61.66,61.45,,,
2016-12-23,62.34,61.66,,,
2016-12-26,62.34,62.34,,,
2016-12-27,62.5,62.34,,,
2016-12-28,62.27,62.5,,,
2016-12-29,62.73,62.27,,,
2016-12-30,62.62,62.73,,,
2017-01-02,62.62,62.62,,,
2017-01-03,62.41,62.62,,,
2017-01-04,63.29,62.41,,,
2017-01-05,63.77,63.29,,,
2017-01-06,63.79,63.77,,,
2017-01-09,64.21,63.79,,,
2017-01-10,64.07,64.21,,,
2017-01-11,61.14,64.07,,,
2017-01-12,61.28,61.14,,,
2017-01-13,61.99,61.28,,,
2017-01-16,61.99,61.99,,,
2017-01-17,61.86,61.99,,,
2017-01-18,61.66,61.86,,,
2017-01-19,61.38,61.66,,,
2017-01-20,61.15,61.38,,,
2017-01-23,60.96,61.15,,,
2017-01-24,60.58,60.96,,,
2017-01-25,61.38,60.58,,,
2017-01-26,61.27,61.38,,,
2017-01-27,60.0,61.27,,,
2017-01-30,60.43,60.0,,,
2017-01-31,61.11,60.43,,,
2017-02-01,60.89,61.11,,,
2017-02-02,60.89,60.89,,,
2017-02-03,60.67,60.89,,,
2017-02-06,60.65,60.67,,,
2017-02-07,60.56,60.65,,,
2017-02-08,60.52,60.56,,,
2017-02-09,60.84,60.52,,,
2017-02-10,60.42,60.84,,,
2017-02-13,60.51,60.42,,,
2017-02-14,60.82,60.51,,,
2017-02-15,61.65,60.82,,,
2017-02-16,61.48,61.65,,,
2017-02-17,61.77,61.48,,,
2017-02-20,61.77,61.77,,,
2017-02-21,61.83,61.77,,,
2017-02-22,61.36,61.83,,,
2017-02-23,61.94,61.36,,,
2017-02-24,62.09,61.94,,,
2017-02-27,62.22,62.09,,,
2017-02-28,61.84,62.22,,,
2017-03-01,62.83,61.84,,,
2017-03-02,63.25,62.83,,,
2017-03-03,63.34,63.25,,,
2017-03-06,63.55,63.34,,,
2017-03-07,63.69,63.55,,,
2017-03-08,64.14,63.69,,,
2017-03-09,64.5,64.14,,,
2017-03-10,65.88,64.5,,,
2017-03-13,65.85,65.88,,,
2017-03-14,65.67,65.85,,,
2017-03-15,66.55,65.67,,,
2017-03-16,65.9,66.55,,,
2017-03-17,65.69,65.9,,,
2017-03-20,65.8,65.69,,,
2017-03-21,65.35,65.8,,,
2017-03-22,65.52,65.35,,,
2017-03-23,65.65,65.52,,,
2017-03-24,65.62,65.65,,,
2017-03-27,66.1,65.62,,,
2017-03-28,65.98,66.1,,,
2017-03-29,65.77,65.98,,,
2017-03-30,65.46,65.77,,,
2017-03-31,65.16,65.46,,,
2017-04-03,65.03,65.16,,,
2017-04-04,65.11,65.03,,,
2017-04-05,64.96,65.11,,,
2017-04-06,65.08,64.96,,,
2017-04-07,65.54,65.08,,,
2017-04-10,64.97,65.54,,,
2017-04-11,64.18,64.97,,,
2017-04-12,64.37,64.18,,,
2017-04-13,64.13,64.37,,,
2017-04-14,64.13,64.13,,,
2017-04-17,64.31,64.13,,,
2017-04-18,63.65,64.31,,,
2017-04-19,63.45,63.65,,,
2017-04-20,63.78,63.45,,,
2017-04-21,63.82,63.78,,,
2017-04-24,64.66,63.82,,,
2017-04-25,65.1,64.66,,,
2017-04-26,65.04,65.1,,,
2017-04-27,66.07,65.04,,,
2017-04-28,65.94,66.07,,,
2017-05-01,66.48,65.94,,,
2017-05-02,66.63,66.48,,,
2017-05-03,66.74,66.63,,,
2017-05-04,67.23,66.74,,,
2017-05-05,66.99,67.23,,,
2017-05-08,66.21,66.99,,,
2017-05-09,66.17,66.21,,,
2017-05-10,65.98,66.17,,,
2017-05-11,65.3,65.98,,,
2017-05-12,66.06,65.3,,,
2017-05-15,66.67,66.06,,,
2017-05-16,66.85,66.67,,,
2017-05-17,65.37,66.85,,,
2017-05-18,65.63,65.37,,,
2017-05-19,65.58,65.63,,,
2017-05-22,65.44,65.58,,,
2017-05-23,65.84,65.44,,,
2017-05-24,65.93,65.84,,,
2017-05-25,66.32,65.93,,,
2017-05-26,66.06,66.32,,,
2017-05-29,66.06,66.06,,,
2017-05-30,66.02,66.06,,,
2017-05-31,66.02,66.02,,,
2017-06-01,66.71,66.02,,,
2017-06-02,67.25,66.71,,,
2017-06-05,67.51,67.25,,,
2017-06-06,67.87,67.51,,,
2017-06-07,68.75,67.87,,,
2017-06-08,68.76,68.75,,,
2017-06-09,69.67,68.76,,,
2017-06-12,69.53,69.67,,,
2017-06-13,69.67,69.53,,,
2017-06-14,70.52,69.67,,,
2017-06-15,70.6,70.52,,,
2017-06-16,71.05,70.6,,,
2017-06-19,71.34,71.05,,,
2017-06-20,71.22,71.34,,,
2017-06-21,71.34,71.22,,,
2017-06-22,73.18,71.34,,,
2017-06-23,72.64,73.18,,,
2017-06-26,72.74,72.64,,,
2017-06-27,72.39,72.74,,,
2017-06-28,72.92,72.39,,,
2017-06-29,72.48,72.92,,,
2017-06-30,72.51,72.48,,,
2017-07-03,72.42,72.51,,,
2017-07-04,72.42,72.42,,,
2017-07-05,72.48,72.42,,,
2017-07-06,71.73,72.48,,,
2017-07-07,72.03,71.73,,,
2017-07-10,71.83,72.03,,,
2017-07-11,71.84,71.83,,,
2017-07-12,71.88,71.84,,,
2017-07-13,72.63,71.88,,,
2017-07-14,73.11,72.63,,,
2017-07-17,72.7,73.11,,,
2017-07-18,72.23,72.7,,,
2017-07-19,72.77,72.23,,,
2017-07-20,74.01,72.77,,,
2017-07-21,74.63,74.01,,,
2017-07-24,73.91,74.63,,,
2017-07-25,72.52,73.91,,,
2017-07-26,72.59,72.52,,,
2017-07-27,71.73,72.59,,,
2017-07-28,70.44,71.73,,,
2017-07-31,69.91,70.44,,,
2017-08-01,70.38,69.91,,,
2017-08-02,70.71,70.38,,,
2017-08-03,70.99,70.71,,,
2017-08-04,70.99,70.99,,,
2017-08-07,71.22,70.99,,,
2017-08-08,71.47,71.22,,,
2017-08-09,72.02,71.47,,,
2017-08-10,70.44,72.02,,,
2017-08-11,70.63,70.44,,,
2017-08-14,70.82,70.63,,,
2017-08-15,70.34,70.82,,,
2017-08-16,70.42,70.34,,,
2017-08-17,69.85,70.42,,,
2017-08-18,69.96,69.85,,,
2017-08-21,70.7,69.96,,,
2017-08-22,71.75,70.7,,,
2017-08-23,71.52,71.75,,,
2017-08-24,72.11,71.52,,,
2017-08-25,72.48,72.11,,,
2017-08-28,73.32,72.48,,,
2017-08-29,73.89,73.32,,,
2017-08-30,73.92,73.89,,,
2017-08-31,75.3,73.92,,,
2017-09-01,75.42,75.3,,,
2017-09-04,75.42,75.42,,,
2017-09-05,75.25,75.42,,,
2017-09-06,77.05,75.25,,,
2017-09-07,81.78,77.05,,,
2017-09-08,85.34,81.78,,,
2017-09-11,87.0,85.34,,,
2017-09-12,87.75,87.0,,,
2017-09-13,88.47,87.75,,,
2017-09-14,89.22,88.47,,,
2017-09-15,87.37,89.22,,,
2017-09-18,85.32,87.37,,,
2017-09-19,86.37,85.32,,,
2017-09-20,87.41,86.37,,,
2017-09-21,87.41,87.41,,,
2017-09-22,87.48,87.41,,,
2017-09-25,86.57,87.48,,,
2017-09-26,85.35,86.57,,,
2017-09-27,84.75,85.35,,,
2017-09-28,88.96,84.75,,,
2017-09-29,88.86,88.96,,,
2017-10-02,90.39,88.86,,,
2017-10-03,89.7,90.39,,,
2017-10-04,89.9,89.7,,,
2017-10-05,90.18,89.9,,,
2017-10-06,90.49,90.18,,,
2017-10-09,90.78,90.49,,,
2017-10-10,91.17,90.78,,,
2017-10-11,92.38,91.17,,,
2017-10-12,91.42,92.38,,,
2017-10-13,90.67,91.42,,,
2017-10-16,91.04,90.67,,,
2017-10-17,92.17,91.04,,,
