Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,37.98,37.97,,,
2016-05-10,38.1,37.98,,,
2016-05-11,38.01,38.1,,,
2016-05-12,38.0,38.01,,,
2016-05-13,37.6,38.0,,,
2016-05-16,38.25,37.6,,,
2016-05-17,37.71,38.25,,,
2016-05-18,37.75,37.71,,,
2016-05-19,37.24,37.75,,,
2016-05-20,37.6,37.24,,,
2016-05-23,37.37,37.6,,,
2016-05-24,37.98,37.37,,,
2016-05-25,38.68,37.98,,,
2016-05-26,38.89,38.68,,,
2016-05-27,39.3,38.89,,,
2016-05-30,39.3,39.3,,,
2016-05-31,39.63,39.3,,,
2016-06-01,39.5,39.63,,,
2016-06-02,39.53,39.5,,,
2016-06-03,39.18,39.53,,,
2016-06-06,39.17,39.18,,,
2016-06-07,38.93,39.17,,,
2016-06-08,38.91,38.93,,,
2016-06-09,38.87,38.91,,,
2016-06-10,38.4,38.87,,,
2016-06-13,37.86,38.4,,,
2016-06-14,37.66,37.86,,,
2016-06-15,37.43,37.66,,,
2016-06-16,37.5,37.43,,,
2016-06-17,37.39,37.5,,,
2016-06-20,37.75,37.39,,,
2016-06-21,37.73,37.75,,,
2016-06-22,38.74,37.73,,,
2016-06-23,39.63,38.74,,,
2016-06-24,37.91,39.63,,,
2016-06-27,36.95,37.91,,,
2016-06-28,37.56,36.95,,,
2016-06-29,38.57,37.56,,,
2016-06-30,39.31,38.57,,,
2016-07-01,39.54,39.31,,,
2016-07-04,39.54,39.54,,,
2016-07-05,39.44,39.54,,,
2016-07-06,40.83,39.44,,,
2016-07-07,41.36,40.83,,,
2016-07-08,41.89,41.36,,,
2016-07-11,42.12,41.89,,,
2016-07-12,42.47,42.12,,,
2016-07-13,41.97,42.47,,,
2016-07-14,42.28,41.97,,,
2016-07-15,42.1,42.28,,,
2016-07-18,42.09,42.1,,,
2016-07-19,41.8,42.09,,,
2016-07-20,42.65,41.8,,,
2016-07-21,43.04,42.65,,,
2016-07-22,43.17,43.04,,,
2016-07-25,43.41,43.17,,,
2016-07-26,43.6,43.41,,,
2016-07-27,43.67,43.6,,,
2016-07-28,44.45,43.67,,,
2016-07-29,44.75,44.45,,,
2016-08-01,45.29,44.75,,,
2016-08-02,45.07,45.29,,,
2016-08-03,44.95,45.07,,,
2016-08-04,44.81,44.95,,,
2016-08-05,45.26,44.81,,,
2016-08-08,45.02,45.26,,,
2016-08-09,45.08,45.02,,,
2016-08-10,44.81,45.08,,,
2016-08-11,45.05,44.81,,,
2016-08-12,45.04,45.05,,,
2016-08-15,45.15,45.04,,,
2016-08-16,44.92,45.15,,,
2016-08-17,44.68,44.92,,,
2016-08-18,44.36,44.68,,,
2016-08-19,44.24,44.36,,,
2016-08-22,44.17,44.24,,,
2016-08-23,43.9,44.17,,,
2016-08-24,43.17,43.9,,,
2016-08-25,42.84,43.17,,,
2016-08-26,42.98,42.84,,,
2016-08-29,43.25,42.98,,,
2016-08-30,42.83,43.25,,,
2016-08-31,42.02,42.83,,,
2016-09-01,42.3,42.02,,,
2016-09-02,42.09,42.3,,,
2016-09-05,42.09,42.09,,,
2016-09-06,42.16,42.09,,,
2016-09-07,41.9,42.16,,,
2016-09-08,41.85,41.9,,,
2016-09-09,41.01,41.85,,,
2016-09-12,41.42,41.01,,,
2016-09-13,40.64,41.42,,,
2016-09-14,40.81,40.64,,,
2016-09-15,41.12,40.81,,,
2016-09-16,41.87,41.12,,,
2016-09-19,41.68,41.87,,,
2016-09-20,41.58,41.68,,,
2016-09-21,41.92,41.58,,,
2016-09-22,42.22,41.92,,,
2016-09-23,42.19,42.22,,,
2016-09-26,41.68,42.19,,,
2016-09-27,42.33,41.68,,,
2016-09-28,42.29,42.33,,,
2016-09-29,41.44,42.29,,,
2016-09-30,42.29,41.44,,,
2016-10-03,42.55,42.29,,,
2016-10-04,42.1,42.55,,,
2016-10-05,42.74,42.1,,,
2016-10-06,42.97,42.74,,,
2016-10-07,42.97,42.97,,,
2016-10-10,43.5,42.97,,,
2016-10-11,41.16,43.5,,,
2016-10-12,40.98,41.16,,,
2016-10-13,40.98,40.98,,,
2016-10-14,40.79,40.98,,,
2016-10-17,40.59,40.79,,,
2016-10-18,41.17,40.59,,,
2016-10-19,40.01,41.17,,,
2016-10-20,40.74,40.01,,,
2016-10-21,40.5,40.74,,,
2016-10-24,40.41,40.5,,,
2016-10-25,40.19,40.41,,,
2016-10-26,39.96,40.19,,,
2016-10-27,40.29,39.96,,,
2016-10-28,39.54,40.29,,,
2016-10-31,39.24,39.54,,,
2016-11-01,39.05,39.24,,,
2016-11-02,38.7,39.05,,,
2016-11-03,38.38,38.7,,,
2016-11-04,39.09,38.38,,,
2016-11-07,39.86,39.09,,,
2016-11-08,39.83,39.86,,,
2016-11-09,40.07,39.83,,,
2016-11-10,40.61,40.07,,,
2016-11-11,40.14,40.61,,,
2016-11-14,39.2,40.14,,,
2016-11-15,39.81,39.2,,,
2016-11-16,39.95,39.81,,,
2016-11-17,40.39,39.95,,,
2016-11-18,39.84,40.39,,,
2016-11-21,39.76,39.84,,,
2016-11-22,38.1,39.76,,,
2016-11-23,38.98,38.1,,,
2016-11-24,38.98,38.98,,,
2016-11-25,39.16,38.98,,,
2016-11-28,38.74,39.16,,,
2016-11-29,38.73,38.74,,,
2016-11-30,38.07,38.73,,,
2016-12-01,37.6,38.07,,,
2016-12-02,37.9,37.6,,,
2016-12-05,38.43,37.9,,,
2016-12-06,38.42,38.43,,,
2016-12-07,38.48,38.42,,,
2016-12-08,38.68,38.48,,,
2016-12-09,39.2,38.68,,,
2016-12-12,39.2,39.2,,,
2016-12-13,39.44,39.2,,,
2016-12-14,38.82,39.44,,,
2016-12-15,38.93,38.82,,,
2016-12-16,38.1,38.93,,,
2016-12-19,38.34,38.1,,,
2016-12-20,38.19,38.34,,,
2016-12-21,38.24,38.19,,,
2016-12-22,38.29,38.24,,,
2016-12-23,38.42,38.29,,,
2016-12-26,38.42,38.42,,,
2016-12-27,38.6,38.42,,,
2016-12-28,38.22,38.6,,,
2016-12-29,38.31,38.22,,,
2016-12-30,38.41,38.31,,,
2017-01-02,38.41,38.41,,,
2017-01-03,39.05,38.41,,,
2017-01-04,39.36,39.05,,,
2017-01-05,39.7,39.36,,,
2017-01-06,40.78,39.7,,,
2017-01-09,40.74,40.78,,,
2017-01-10,41.29,40.74,,,
2017-01-11,41.08,41.29,,,
2017-01-12,40.72,41.08,,,
2017-01-13,40.93,40.72,,,
2017-01-16,40.93,40.93,,,
2017-01-17,40.9,40.93,,,
2017-01-18,40.76,40.9,,,
2017-01-19,40.4,40.76,,,
2017-01-20,40.46,40.4,,,
2017-01-23,40.34,40.46,,,
2017-01-24,40.31,40.34,,,
2017-01-25,40.31,40.31,,,
2017-01-26,40.96,40.31,,,
2017-01-27,41.0,40.96,,,
2017-01-30,41.01,41.0,,,
2017-01-31,41.77,41.01,,,
2017-02-01,42.33,41.77,,,
2017-02-02,42.75,42.33,,,
2017-02-03,42.78,42.75,,,
2017-02-06,42.43,42.78,,,
2017-02-07,42.89,42.43,,,
2017-02-08,42.4,42.89,,,
2017-02-09,42.54,42.4,,,
2017-02-10,42.74,42.54,,,
2017-02-13,43.22,42.74,,,
2017-02-14,43.65,43.22,,,
2017-02-15,44.0,43.65,,,
2017-02-16,44.2,44.0,,,
2017-02-17,44.69,44.2,,,
2017-02-20,44.69,44.69,,,
2017-02-21,45.01,44.69,,,
2017-02-22,45.01,45.01,,,
2017-02-23,45.4,45.01,,,
2017-02-24,45.68,45.4,,,
2017-02-27,45.46,45.68,,,
2017-02-28,45.08,45.46,,,
2017-03-01,45.59,45.08,,,
2017-03-02,45.69,45.59,,,
2017-03-03,45.25,45.69,,,
2017-03-06,45.13,45.25,,,
2017-03-07,45.0,45.13,,,
2017-03-08,45.36,45.0,,,
2017-03-09,45.63,45.36,,,
2017-03-10,45.72,45.63,,,
2017-03-13,45.53,45.72,,,
2017-03-14,44.8,45.53,,,
2017-03-15,45.32,44.8,,,
2017-03-16,44.98,45.32,,,
2017-03-17,45.19,44.98,,,
2017-03-20,44.98,45.19,,,
2017-03-21,44.8,44.98,,,
2017-03-22,44.81,44.8,,,
2017-03-23,44.77,44.81,,,
2017-03-24,44.73,44.77,,,
