Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,115.47,115.55,,,
2016-05-10,116.94,115.47,,,
2016-05-11,115.98,116.94,,,
2016-05-12,116.36,115.98,,,
2016-05-13,115.44,116.36,,,
2016-05-16,117.15,115.44,,,
2016-05-17,116.22,117.15,,,
2016-05-18,116.52,116.22,,,
2016-05-19,116.03,116.52,,,
2016-05-20,116.47,116.03,,,
2016-05-23,116.18,116.47,,,
2016-05-24,119.12,116.18,,,
2016-05-25,118.55,119.12,,,
2016-05-26,118.41,118.55,,,
2016-05-27,118.94,118.41,,,
2016-05-30,118.94,118.94,,,
2016-05-31,118.97,118.94,,,
2016-06-01,119.01,118.97,,,
2016-06-02,119.24,119.01,,,
2016-06-03,118.9,119.24,,,
2016-06-06,119.6,118.9,,,
2016-06-07,119.65,119.6,,,
2016-06-08,119.32,119.65,,,
2016-06-09,119.44,119.32,,,
2016-06-10,118.27,119.44,,,
2016-06-13,117.08,118.27,,,
2016-06-14,118.09,117.08,,,
2016-06-15,117.45,118.09,,,
2016-06-16,118.3,117.45,,,
2016-06-17,117.57,118.3,,,
2016-06-20,119.05,117.57,,,
2016-06-21,119.43,119.05,,,
2016-06-22,119.03,119.43,,,
2016-06-23,118.91,119.03,,,
2016-06-24,111.45,118.91,,,
2016-06-27,109.29,111.45,,,
2016-06-28,110.56,109.29,,,
2016-06-29,111.76,110.56,,,
2016-06-30,113.29,111.76,,,
2016-07-01,113.52,113.29,,,
2016-07-04,113.52,113.52,,,
2016-07-05,113.1,113.52,,,
2016-07-06,113.52,113.1,,,
2016-07-07,112.7,113.52,,,
2016-07-08,115.11,112.7,,,
2016-07-11,115.46,115.11,,,
2016-07-12,116.5,115.46,,,
2016-07-13,116.83,116.5,,,
2016-07-14,116.77,116.83,,,
2016-07-15,115.09,116.77,,,
2016-07-18,114.14,115.09,,,
2016-07-19,113.37,114.14,,,
2016-07-20,115.45,113.37,,,
2016-07-21,112.36,115.45,,,
2016-07-22,112.86,112.36,,,
2016-07-25,113.07,112.86,,,
2016-07-26,114.26,113.07,,,
2016-07-27,113.71,114.26,,,
2016-07-28,112.08,113.71,,,
2016-07-29,112.81,112.08,,,
2016-08-01,112.88,112.81,,,
2016-08-02,112.83,112.88,,,
2016-08-03,113.61,112.83,,,
2016-08-04,113.71,113.61,,,
2016-08-05,114.6,113.71,,,
2016-08-08,113.68,114.6,,,
2016-08-09,112.88,113.68,,,
2016-08-10,113.22,112.88,,,
2016-08-11,113.39,113.22,,,
2016-08-12,113.03,113.39,,,
2016-08-15,113.6,113.03,,,
2016-08-16,112.98,113.6,,,
2016-08-17,112.93,112.98,,,
2016-08-18,112.35,112.93,,,
2016-08-19,113.05,112.35,,,
2016-08-22,113.76,113.05,,,
2016-08-23,115.48,113.76,,,
2016-08-24,114.57,115.48,,,
2016-08-25,115.04,114.57,,,
2016-08-26,115.2,115.04,,,
2016-08-29,114.85,115.2,,,
2016-08-30,115.35,114.85,,,
2016-08-31,115.0,115.35,,,
2016-09-01,115.06,115.0,,,
2016-09-02,115.66,115.06,,,
2016-09-05,115.66,115.66,,,
2016-09-06,115.36,115.66,,,
2016-09-07,115.12,115.36,,,
2016-09-08,112.3,115.12,,,
2016-09-09,110.39,112.3,,,
2016-09-12,112.76,110.39,,,
2016-09-13,110.53,112.76,,,
2016-09-14,109.8,110.53,,,
2016-09-15,110.72,109.8,,,
2016-09-16,109.88,110.72,,,
2016-09-19,110.5,109.88,,,
2016-09-20,110.7,110.5,,,
2016-09-21,111.7,110.7,,,
2016-09-22,113.66,111.7,,,
2016-09-23,113.09,113.66,,,
