Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,94.61,94.3,,,
2016-05-10,96.52,94.61,,,
2016-05-11,96.1,96.52,,,
2016-05-12,95.96,96.1,,,
2016-05-13,95.97,95.96,,,
2016-05-16,97.23,95.97,,,
2016-05-17,95.93,97.23,,,
2016-05-18,96.7,95.93,,,
2016-05-19,95.88,96.7,,,
2016-05-20,96.88,95.88,,,
2016-05-23,96.62,96.88,,,
2016-05-24,99.63,96.62,,,
2016-05-25,99.61,99.63,,,
2016-05-26,99.37,99.61,,,
2016-05-27,100.14,99.37,,,
2016-05-30,100.14,100.14,,,
2016-05-31,99.47,100.14,,,
2016-06-01,100.04,99.47,,,
2016-06-02,100.17,100.04,,,
2016-06-03,98.7,100.17,,,
2016-06-06,99.12,98.7,,,
2016-06-07,98.52,99.12,,,
2016-06-08,98.68,98.52,,,
2016-06-09,98.07,98.68,,,
2016-06-10,97.09,98.07,,,
2016-06-13,96.96,97.09,,,
2016-06-14,96.98,96.96,,,
2016-06-15,97.02,96.98,,,
2016-06-16,97.19,97.02,,,
2016-06-17,95.58,97.19,,,
2016-06-20,97.99,95.58,,,
2016-06-21,99.72,97.99,,,
2016-06-22,94.01,99.72,,,
2016-06-23,96.21,94.01,,,
2016-06-24,92.2,96.21,,,
2016-06-27,90.85,92.2,,,
2016-06-28,92.46,90.85,,,
2016-06-29,94.39,92.46,,,
2016-06-30,95.79,94.39,,,
2016-07-01,95.32,95.79,,,
2016-07-04,95.32,95.32,,,
2016-07-05,94.73,95.32,,,
2016-07-06,95.18,94.73,,,
2016-07-07,95.14,95.18,,,
2016-07-08,96.79,95.14,,,
2016-07-11,97.14,96.79,,,
2016-07-12,97.54,97.14,,,
2016-07-13,97.34,97.54,,,
2016-07-14,97.7,97.34,,,
2016-07-15,97.83,97.7,,,
2016-07-18,97.79,97.83,,,
2016-07-19,97.79,97.79,,,
2016-07-20,98.4,97.79,,,
2016-07-21,96.34,98.4,,,
2016-07-22,98.06,96.34,,,
2016-07-25,97.32,98.06,,,
2016-07-26,97.91,97.32,,,
2016-07-27,97.93,97.91,,,
2016-07-28,98.44,97.93,,,
2016-07-29,97.86,98.44,,,
2016-08-01,97.72,97.86,,,
2016-08-02,96.05,97.72,,,
2016-08-03,96.67,96.05,,,
2016-08-04,97.09,96.67,,,
