Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,203.3,203.86,0.218,0.611,0.171
2016-05-10,204.39,203.3,0.218,0.611,0.171
2016-05-11,204.6,204.39,0.218,0.611,0.171
2016-05-12,202.08,204.6,0.218,0.611,0.171
2016-05-13,201.57,202.08,0.218,0.611,0.171
2016-05-16,205.04,201.57,0.218,0.611,0.171
2016-05-17,210.84,205.04,0.218,0.611,0.171
2016-05-18,212.63,210.84,0.218,0.611,0.171
2016-05-19,205.44,212.63,0.218,0.611,0.171
2016-05-20,206.41,205.44,0.218,0.611,0.171
2016-05-23,205.28,206.41,0.218,0.611,0.171
2016-05-24,209.68,205.28,0.218,0.611,0.171
2016-05-25,212.84,209.68,0.218,0.611,0.171
2016-05-26,212.05,212.84,0.218,0.611,0.171
2016-05-27,215.06,212.05,0.218,0.611,0.171
2016-05-30,215.06,215.06,0.218,0.611,0.171
2016-05-31,222.19,215.06,0.218,0.611,0.171
2016-06-01,222.62,222.19,0.218,0.611,0.171
2016-06-02,224.49,222.62,0.218,0.611,0.171
2016-06-03,223.6,224.49,0.218,0.611,0.171
2016-06-06,226.45,223.6,0.218,0.611,0.171
2016-06-07,225.61,226.45,0.218,0.611,0.171
2016-06-08,223.79,225.61,0.218,0.611,0.171
2016-06-09,222.61,223.79,0.218,0.611,0.171
2016-06-10,215.6,222.61,0.218,0.611,0.171
2016-06-13,212.93,215.6,0.218,0.611,0.171
2016-06-14,208.98,212.93,0.218,0.611,0.171
2016-06-15,207.95,208.98,0.218,0.611,0.171
2016-06-16,206.55,207.95,0.218,0.611,0.171
2016-06-17,207.22,206.55,0.218,0.611,0.171
2016-06-20,200.8,207.22,0.218,0.611,0.171
2016-06-21,200.01,200.8,0.218,0.611,0.171
2016-06-22,200.0,200.01,0.218,0.611,0.171
2016-06-23,201.61,200.0,0.218,0.611,0.171
2016-06-24,193.14,201.61,0.218,0.611,0.171
2016-06-27,186.4,193.14,0.218,0.611,0.171
2016-06-28,187.46,186.4,0.218,0.611,0.171
2016-06-29,193.82,187.46,0.218,0.611,0.171
2016-06-30,195.92,193.82,0.218,0.611,0.171
2016-07-01,195.8,195.92,0.218,0.611,0.171
2016-07-04,195.8,195.8,0.218,0.611,0.171
2016-07-05,193.68,195.8,0.218,0.611,0.171
2016-07-06,195.61,193.68,0.218,0.611,0.171
2016-07-07,197.23,195.61,0.218,0.611,0.171
2016-07-08,200.96,197.23,0.218,0.611,0.171
2016-07-11,210.39,200.96,0.218,0.611,0.171
2016-07-12,213.17,210.39,0.218,0.611,0.171
2016-07-13,209.43,213.17,0.218,0.611,0.171
2016-07-14,212.51,209.43,0.218,0.611,0.171
2016-07-15,213.17,212.51,0.218,0.611,0.171
2016-07-18,211.3,213.17,0.218,0.611,0.171
2016-07-19,214.41,211.3,0.218,0.611,0.171
2016-07-20,215.02,214.41,0.218,0.611,0.171
2016-07-21,228.85,215.02,0.218,0.611,0.171
2016-07-22,231.08,228.85,0.218,0.611,0.171
2016-07-25,230.38,231.08,0.218,0.611,0.171
2016-07-26,233.0,230.38,0.218,0.611,0.171
2016-07-27,233.47,233.0,0.218,0.611,0.171
2016-07-28,233.84,233.47,0.218,0.611,0.171
2016-07-29,231.62,233.84,0.218,0.611,0.171
2016-08-01,228.13,231.62,0.218,0.611,0.171
2016-08-02,222.59,228.13,0.218,0.611,0.171
2016-08-03,222.32,222.59,0.218,0.611,0.171
2016-08-04,219.3,222.32,0.218,0.611,0.171
2016-08-05,222.37,219.3,0.218,0.611,0.171
2016-08-08,222.91,222.37,0.218,0.611,0.171
2016-08-09,220.4,222.91,0.218,0.611,0.171
2016-08-10,218.74,220.4,0.218,0.611,0.171
2016-08-11,219.94,218.74,0.218,0.611,0.171
2016-08-12,219.03,219.94,0.218,0.611,0.171
2016-08-15,215.07,219.03,0.218,0.611,0.171
2016-08-16,211.85,215.07,0.218,0.611,0.171
2016-08-17,203.71,211.85,0.218,0.611,0.171
2016-08-18,202.31,203.71,0.218,0.611,0.171
2016-08-19,200.14,202.31,0.218,0.611,0.171
2016-08-22,200.54,200.14,0.218,0.611,0.171
2016-08-23,201.53,200.54,0.218,0.611,0.171
2016-08-24,198.22,201.53,0.218,0.611,0.171
2016-08-25,200.36,198.22,0.218,0.611,0.171
2016-08-26,198.65,200.36,0.218,0.611,0.171
2016-08-29,198.81,198.65,0.218,0.611,0.171
2016-08-30,200.7,198.81,0.218,0.611,0.171
2016-08-31,204.58,200.7,0.218,0.611,0.171
2016-09-01,210.19,204.58,0.218,0.611,0.171
2016-09-02,209.9,210.19,0.218,0.611,0.171
2016-09-05,209.9,209.9,0.218,0.611,0.171
2016-09-06,213.08,209.9,0.218,0.611,0.171
2016-09-07,215.7,213.08,0.218,0.611,0.171
2016-09-08,217.26,215.7,0.218,0.611,0.171
2016-09-09,208.66,217.26,0.218,0.611,0.171
2016-09-12,216.49,208.66,0.218,0.611,0.171
2016-09-13,213.41,216.49,0.218,0.611,0.171
2016-09-14,213.21,213.41,0.218,0.611,0.171
2016-09-15,215.4,213.21,0.218,0.611,0.171
2016-09-16,214.48,215.4,0.218,0.611,0.171
2016-09-19,216.04,214.48,0.218,0.611,0.171
2016-09-20,213.74,216.04,0.218,0.611,0.171
2016-09-21,215.63,213.74,0.218,0.611,0.171
2016-09-22,218.06,215.63,0.218,0.611,0.171
2016-09-23,216.99,218.06,0.218,0.611,0.171
2016-09-26,211.44,216.99,0.218,0.611,0.171
2016-09-27,213.47,211.44,0.218,0.611,0.171
2016-09-28,214.21,213.47,0.218,0.611,0.171
2016-09-29,212.95,214.21,0.218,0.611,0.171
2016-09-30,214.53,212.95,0.218,0.611,0.171
2016-10-03,216.9,214.53,0.218,0.611,0.171
2016-10-04,212.71,216.9,0.218,0.611,0.171
2016-10-05,216.28,212.71,0.218,0.611,0.171
2016-10-06,214.05,216.28,0.218,0.611,0.171
2016-10-07,208.93,214.05,0.218,0.611,0.171
2016-10-10,208.78,208.93,0.218,0.611,0.171
2016-10-11,208.25,208.78,0.218,0.611,0.171
2016-10-12,208.27,208.25,0.218,0.611,0.171
2016-10-13,206.84,208.27,0.218,0.611,0.171
2016-10-14,209.77,206.84,0.218,0.611,0.171
2016-10-17,206.45,209.77,0.218,0.611,0.171
2016-10-18,211.07,206.45,0.218,0.611,0.171
2016-10-19,214.78,211.07,0.218,0.611,0.171
2016-10-20,204.77,214.78,0.218,0.611,0.171
2016-10-21,199.95,204.77,0.218,0.611,0.171
2016-10-24,206.49,199.95,0.218,0.611,0.171
2016-10-25,203.9,206.49,0.218,0.611,0.171
