Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,48.43,48.19,,,
2016-05-10,48.66,48.43,,,
2016-05-11,48.15,48.66,,,
2016-05-12,48.12,48.15,,,
2016-05-13,48.07,48.12,,,
2016-05-16,47.9,48.07,,,
2016-05-17,47.32,47.9,,,
2016-05-18,46.82,47.32,,,
2016-05-19,47.35,46.82,,,
2016-05-20,47.24,47.35,,,
2016-05-23,46.69,47.24,,,
2016-05-24,47.24,46.69,,,
2016-05-25,47.11,47.24,,,
2016-05-26,47.83,47.11,,,
2016-05-27,48.11,47.83,,,
2016-05-30,48.11,48.11,,,
2016-05-31,49.55,48.11,,,
2016-06-01,49.43,49.55,,,
2016-06-02,49.1,49.43,,,
2016-06-03,50.0,49.1,,,
2016-06-06,49.54,50.0,,,
2016-06-07,49.48,49.54,,,
2016-06-08,49.68,49.48,,,
2016-06-09,50.89,49.68,,,
2016-06-10,50.96,50.89,,,
2016-06-13,50.76,50.96,,,
2016-06-14,51.31,50.76,,,
2016-06-15,50.91,51.31,,,
2016-06-16,51.2,50.91,,,
2016-06-17,51.27,51.2,,,
2016-06-20,51.35,51.27,,,
2016-06-21,51.37,51.35,,,
2016-06-22,51.26,51.37,,,
2016-06-23,51.5,51.26,,,
2016-06-24,51.79,51.5,,,
2016-06-27,52.31,51.79,,,
2016-06-28,52.28,52.31,,,
2016-06-29,52.5,52.28,,,
2016-06-30,53.58,52.5,,,
2016-07-01,53.75,53.58,,,
2016-07-04,53.75,53.75,,,
2016-07-05,53.76,53.75,,,
2016-07-06,53.77,53.76,,,
2016-07-07,52.65,53.77,,,
2016-07-08,53.15,52.65,,,
2016-07-11,52.94,53.15,,,
2016-07-12,52.46,52.94,,,
2016-07-13,52.88,52.46,,,
2016-07-14,52.24,52.88,,,
2016-07-15,52.51,52.24,,,
2016-07-18,52.51,52.51,,,
2016-07-19,52.34,52.51,,,
2016-07-20,52.21,52.34,,,
2016-07-21,52.24,52.21,,,
2016-07-22,52.87,52.24,,,
2016-07-25,52.7,52.87,,,
2016-07-26,52.22,52.7,,,
2016-07-27,51.77,52.22,,,
2016-07-28,52.15,51.77,,,
2016-07-29,52.44,52.15,,,
2016-08-01,52.52,52.44,,,
2016-08-02,52.17,52.52,,,
2016-08-03,51.65,52.17,,,
2016-08-04,51.84,51.65,,,
2016-08-05,51.0,51.84,,,
2016-08-08,50.94,51.0,,,
2016-08-09,50.94,50.94,,,
2016-08-10,51.02,50.94,,,
2016-08-11,51.02,51.02,,,
2016-08-12,51.05,51.02,,,
2016-08-15,50.41,51.05,,,
2016-08-16,49.82,50.41,,,
2016-08-17,50.71,49.82,,,
2016-08-18,51.35,50.71,,,
2016-08-19,50.57,51.35,,,
2016-08-22,50.65,50.57,,,
2016-08-23,50.42,50.65,,,
2016-08-24,50.32,50.42,,,
2016-08-25,50.44,50.32,,,
2016-08-26,49.4,50.44,,,
2016-08-29,49.77,49.4,,,
2016-08-30,49.3,49.77,,,
2016-08-31,49.42,49.3,,,
2016-09-01,49.15,49.42,,,
2016-09-02,49.66,49.15,,,
2016-09-05,49.66,49.66,,,
2016-09-06,49.84,49.66,,,
2016-09-07,50.02,49.84,,,
2016-09-08,49.85,50.02,,,
2016-09-09,48.06,49.85,,,
2016-09-12,48.86,48.06,,,
2016-09-13,48.1,48.86,,,
2016-09-14,48.49,48.1,,,
2016-09-15,48.65,48.49,,,
2016-09-16,49.38,48.65,,,
2016-09-19,50.04,49.38,,,
2016-09-20,50.1,50.04,,,
2016-09-21,51.14,50.1,,,
2016-09-22,51.41,51.14,,,
2016-09-23,51.7,51.41,,,
2016-09-26,51.48,51.7,,,
2016-09-27,50.56,51.48,,,
2016-09-28,50.36,50.56,,,
2016-09-29,49.6,50.36,,,
2016-09-30,49.18,49.6,,,
2016-10-03,48.63,49.18,,,
2016-10-04,47.38,48.63,,,
2016-10-05,47.71,47.38,,,
2016-10-06,47.59,47.71,,,
2016-10-07,47.43,47.59,,,
2016-10-10,47.7,47.43,,,
2016-10-11,46.88,47.7,,,
2016-10-12,47.59,46.88,,,
2016-10-13,48.04,47.59,,,
2016-10-14,48.03,48.04,,,
2016-10-17,48.18,48.03,,,
2016-10-18,48.91,48.18,,,
2016-10-19,48.7,48.91,,,
2016-10-20,48.62,48.7,,,
2016-10-21,48.47,48.62,,,
2016-10-24,48.65,48.47,,,
2016-10-25,49.03,48.65,,,
2016-10-26,49.1,49.03,,,
2016-10-27,48.74,49.1,,,
2016-10-28,48.87,48.74,,,
2016-10-31,49.95,48.87,,,
2016-11-01,49.17,49.95,,,
2016-11-02,48.65,49.17,,,
2016-11-03,49.07,48.65,,,
2016-11-04,49.36,49.07,,,
2016-11-07,50.81,49.36,,,
2016-11-08,51.21,50.81,,,
2016-11-09,49.05,51.21,,,
2016-11-10,47.8,49.05,,,
2016-11-11,47.77,47.8,,,
2016-11-14,48.62,47.77,,,
2016-11-15,49.27,48.62,,,
2016-11-16,48.47,49.27,,,
2016-11-17,48.51,48.47,,,
2016-11-18,48.48,48.51,,,
2016-11-21,48.84,48.48,,,
2016-11-22,49.43,48.84,,,
2016-11-23,49.07,49.43,,,
2016-11-24,49.07,49.07,,,
2016-11-25,49.99,49.07,,,
2016-11-28,51.08,49.99,,,
2016-11-29,50.93,51.08,,,
2016-11-30,49.12,50.93,,,
2016-12-01,48.91,49.12,,,
2016-12-02,49.66,48.91,,,
2016-12-05,49.16,49.66,,,
2016-12-06,49.34,49.16,,,
2016-12-07,49.88,49.34,,,
2016-12-08,49.82,49.88,,,
2016-12-09,50.73,49.82,,,
2016-12-12,51.34,50.73,,,
2016-12-13,51.92,51.34,,,
2016-12-14,50.7,51.92,,,
2016-12-15,51.1,50.7,,,
2016-12-16,51.6,51.1,,,
2016-12-19,51.89,51.6,,,
2016-12-20,52.19,51.89,,,
2016-12-21,51.95,52.19,,,
2016-12-22,52.41,51.95,,,
2016-12-23,52.45,52.41,,,
2016-12-26,52.45,52.45,,,
2016-12-27,52.56,52.45,,,
2016-12-28,51.82,52.56,,,
2016-12-29,52.56,51.82,,,
2016-12-30,52.46,52.56,,,
2017-01-02,52.46,52.46,,,
2017-01-03,52.38,52.46,,,
