Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,11.16,11.08,,,
2016-05-10,11.45,11.16,,,
2016-05-11,11.32,11.45,,,
2016-05-12,11.27,11.32,,,
2016-05-13,11.16,11.27,,,
2016-05-16,11.11,11.16,,,
2016-05-17,11.02,11.11,,,
2016-05-18,10.73,11.02,,,
2016-05-19,10.74,10.73,,,
2016-05-20,10.89,10.74,,,
2016-05-23,10.74,10.89,,,
2016-05-24,10.91,10.74,,,
2016-05-25,10.97,10.91,,,
2016-05-26,10.89,10.97,,,
2016-05-27,11.11,10.89,,,
2016-05-30,11.11,11.11,,,
2016-05-31,11.09,11.11,,,
2016-06-01,10.94,11.09,,,
2016-06-02,10.84,10.94,,,
2016-06-03,11.22,10.84,,,
2016-06-06,11.39,11.22,,,
2016-06-07,11.51,11.39,,,
2016-06-08,11.43,11.51,,,
2016-06-09,11.44,11.43,,,
2016-06-10,11.2,11.44,,,
2016-06-13,11.17,11.2,,,
2016-06-14,11.12,11.17,,,
2016-06-15,11.06,11.12,,,
2016-06-16,11.26,11.06,,,
2016-06-17,11.61,11.26,,,
2016-06-20,11.85,11.61,,,
2016-06-21,12.01,11.85,,,
2016-06-22,11.99,12.01,,,
2016-06-23,12.1,11.99,,,
2016-06-24,11.89,12.1,,,
2016-06-27,11.41,11.89,,,
2016-06-28,11.79,11.41,,,
2016-06-29,12.03,11.79,,,
2016-06-30,12.48,12.03,,,
2016-07-01,12.33,12.48,,,
2016-07-04,12.33,12.33,,,
2016-07-05,12.2,12.33,,,
2016-07-06,12.23,12.2,,,
2016-07-07,12.1,12.23,,,
2016-07-08,12.32,12.1,,,
2016-07-11,12.55,12.32,,,
2016-07-12,12.48,12.55,,,
2016-07-13,12.63,12.48,,,
2016-07-14,12.52,12.63,,,
2016-07-15,12.63,12.52,,,
2016-07-18,12.57,12.63,,,
2016-07-19,12.51,12.57,,,
2016-07-20,12.56,12.51,,,
2016-07-21,12.59,12.56,,,
2016-07-22,12.65,12.59,,,
