Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,34.32,34.425,,,
2016-05-10,34.59,34.32,,,
2016-05-11,34.38,34.59,,,
2016-05-12,34.62,34.38,,,
2016-05-13,34.435,34.62,,,
2016-05-16,34.51,34.435,,,
2016-05-17,34.22,34.51,,,
2016-05-18,34.5,34.22,,,
2016-05-19,34.3,34.5,,,
2016-05-20,34.365,34.3,,,
2016-05-23,34.25,34.365,,,
2016-05-24,34.775,34.25,,,
2016-05-25,34.925,34.775,,,
2016-05-26,34.59,34.925,,,
2016-05-27,34.78,34.59,,,
2016-05-30,34.78,34.78,,,
2016-05-31,34.73,34.78,,,
2016-06-01,34.705,34.73,,,
2016-06-02,34.79,34.705,,,
2016-06-03,34.56,34.79,,,
2016-06-06,34.675,34.56,,,
2016-06-07,34.655,34.675,,,
2016-06-08,34.95,34.655,,,
2016-06-09,34.85,34.95,,,
2016-06-10,34.475,34.85,,,
2016-06-13,34.185,34.475,,,
2016-06-14,34.155,34.185,,,
2016-06-15,34.08,34.155,,,
2016-06-16,34.405,34.08,,,
2016-06-17,34.395,34.405,,,
2016-06-20,34.89,34.395,,,
2016-06-21,35.275,34.89,,,
2016-06-22,35.42,35.275,,,
2016-06-23,35.885,35.42,,,
2016-06-24,34.63,35.885,,,
2016-06-27,33.665,34.63,,,
2016-06-28,34.425,33.665,,,
2016-06-29,35.04,34.425,,,
2016-06-30,36.08,35.04,,,
2016-07-01,36.25,36.08,,,
2016-07-04,36.25,36.25,,,
2016-07-05,35.75,36.25,,,
2016-07-06,36.105,35.75,,,
2016-07-07,35.71,36.105,,,
2016-07-08,36.245,35.71,,,
2016-07-11,36.33,36.245,,,
2016-07-12,36.6,36.33,,,
2016-07-13,36.64,36.6,,,
2016-07-14,36.85,36.64,,,
2016-07-15,36.68,36.85,,,
2016-07-18,36.605,36.68,,,
2016-07-19,36.605,36.605,,,
2016-07-20,36.725,36.605,,,
2016-07-21,36.665,36.725,,,
2016-07-22,36.745,36.665,,,
2016-07-25,36.625,36.745,,,
2016-07-26,36.845,36.625,,,
2016-07-27,36.68,36.845,,,
2016-07-28,36.66,36.68,,,
2016-07-29,36.14,36.66,,,
2016-08-01,35.79,36.14,,,
2016-08-02,35.81,35.79,,,
2016-08-03,35.985,35.81,,,
2016-08-04,35.98,35.985,,,
2016-08-05,36.535,35.98,,,
2016-08-08,36.54,36.535,,,
2016-08-09,36.555,36.54,,,
2016-08-10,36.585,36.555,,,
2016-08-11,36.535,36.585,,,
2016-08-12,36.345,36.535,,,
2016-08-15,36.34,36.345,,,
2016-08-16,36.1,36.34,,,
2016-08-17,36.335,36.1,,,
2016-08-18,36.13,36.335,,,
2016-08-19,36.44,36.13,,,
2016-08-22,36.32,36.44,,,
2016-08-23,36.39,36.32,,,
2016-08-24,36.35,36.39,,,
2016-08-25,36.495,36.35,,,
2016-08-26,36.375,36.495,,,
2016-08-29,36.85,36.375,,,
2016-08-30,37.14,36.85,,,
2016-08-31,37.09,37.14,,,
2016-09-01,36.935,37.09,,,
2016-09-02,36.995,36.935,,,
2016-09-05,36.995,36.995,,,
2016-09-06,36.83,36.995,,,
2016-09-07,36.765,36.83,,,
2016-09-08,36.47,36.765,,,
2016-09-09,36.2,36.47,,,
2016-09-12,36.71,36.2,,,
2016-09-13,35.915,36.71,,,
2016-09-14,35.9,35.915,,,
2016-09-15,36.17,35.9,,,
2016-09-16,35.67,36.17,,,
2016-09-19,36.01,35.67,,,
2016-09-20,36.225,36.01,,,
2016-09-21,36.75,36.225,,,
2016-09-22,36.76,36.75,,,
2016-09-23,36.37,36.76,,,
2016-09-26,36.01,36.37,,,
