Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,213.71,201.65,,,
2016-05-10,225.0,213.71,,,
2016-05-11,222.71,225.0,,,
2016-05-12,216.02,222.71,,,
2016-05-13,223.35,216.02,,,
2016-05-16,225.02,223.35,,,
2016-05-17,227.58,225.02,,,
2016-05-18,229.25,227.58,,,
2016-05-19,226.89,229.25,,,
2016-05-20,229.49,226.89,,,
2016-05-23,225.51,229.49,,,
2016-05-24,228.89,225.51,,,
2016-05-25,227.85,228.89,,,
2016-05-26,232.36,227.85,,,
2016-05-27,235.94,232.36,,,
2016-05-30,235.94,235.94,,,
2016-05-31,235.75,235.94,,,
2016-06-01,242.4,235.75,,,
2016-06-02,247.12,242.4,,,
2016-06-03,246.96,247.12,,,
2016-06-06,247.21,246.96,,,
2016-06-07,249.52,247.21,,,
2016-06-08,249.95,249.52,,,
2016-06-09,247.4,249.95,,,
2016-06-10,240.93,247.4,,,
2016-06-13,243.55,240.93,,,
2016-06-14,244.1,243.55,,,
2016-06-15,239.14,244.1,,,
2016-06-16,237.29,239.14,,,
2016-06-17,235.05,237.29,,,
2016-06-20,235.26,235.05,,,
2016-06-21,231.55,235.26,,,
2016-06-22,228.55,231.55,,,
2016-06-23,233.51,228.55,,,
2016-06-24,225.72,233.51,,,
2016-06-27,217.48,225.72,,,
2016-06-28,227.72,217.48,,,
2016-06-29,230.55,227.72,,,
2016-06-30,231.09,230.55,,,
2016-07-01,234.02,231.09,,,
2016-07-04,234.02,234.02,,,
2016-07-05,236.0,234.02,,,
2016-07-06,236.98,236.0,,,
2016-07-07,238.01,236.98,,,
2016-07-08,240.59,238.01,,,
2016-07-11,238.28,240.59,,,
2016-07-12,239.7,238.28,,,
2016-07-13,241.17,239.7,,,
2016-07-14,244.21,241.17,,,
2016-07-15,242.51,244.21,,,
2016-07-18,244.43,242.51,,,
2016-07-19,242.64,244.43,,,
2016-07-20,246.95,242.64,,,
2016-07-21,247.84,246.95,,,
2016-07-22,248.98,247.84,,,
2016-07-25,247.85,248.98,,,
2016-07-26,248.95,247.85,,,
2016-07-27,260.24,248.95,,,
2016-07-28,255.56,260.24,,,
2016-07-29,252.95,255.56,,,
2016-08-01,254.86,252.95,,,
2016-08-02,250.75,254.86,,,
2016-08-03,252.53,250.75,,,
2016-08-04,253.45,252.53,,,
2016-08-05,253.85,253.45,,,
2016-08-08,248.31,253.85,,,
2016-08-09,251.1,248.31,,,
2016-08-10,252.18,251.1,,,
2016-08-11,253.02,252.18,,,
2016-08-12,249.61,253.02,,,
2016-08-15,254.05,249.61,,,
2016-08-16,253.19,254.05,,,
2016-08-17,253.3,253.19,,,
2016-08-18,252.93,253.3,,,
2016-08-19,253.14,252.93,,,
2016-08-22,253.54,253.14,,,
2016-08-23,253.21,253.54,,,
2016-08-24,243.27,253.21,,,
2016-08-25,236.31,243.27,,,
2016-08-26,237.93,236.31,,,
2016-08-29,236.65,237.93,,,
2016-08-30,236.99,236.65,,,
2016-08-31,234.54,236.99,,,
2016-09-01,237.76,234.54,,,
2016-09-02,235.96,237.76,,,
2016-09-05,235.96,235.96,,,
2016-09-06,239.12,235.96,,,
2016-09-07,238.42,239.12,,,
2016-09-08,241.69,238.42,,,
2016-09-09,236.39,241.69,,,
2016-09-12,240.23,236.39,,,
2016-09-13,240.1,240.23,,,
2016-09-14,244.81,240.1,,,
2016-09-15,246.44,244.81,,,
2016-09-16,245.19,246.44,,,
2016-09-19,245.29,245.19,,,
2016-09-20,238.67,245.29,,,
2016-09-21,238.41,238.67,,,
2016-09-22,243.43,238.41,,,
2016-09-23,243.94,243.43,,,
2016-09-26,238.68,243.94,,,
2016-09-27,239.36,238.68,,,
2016-09-28,237.79,239.36,,,
2016-09-29,230.8,237.79,,,
2016-09-30,230.31,230.8,,,
2016-10-03,232.75,230.31,,,
2016-10-04,235.78,232.75,,,
2016-10-05,235.71,235.78,,,
2016-10-06,237.41,235.71,,,
2016-10-07,238.92,237.41,,,
2016-10-10,242.65,238.92,,,
2016-10-11,237.95,242.65,,,
2016-10-12,230.54,237.95,,,
2016-10-13,232.36,230.54,,,
2016-10-14,227.55,232.36,,,
2016-10-17,223.99,227.55,,,
2016-10-18,227.94,223.99,,,
2016-10-19,228.91,227.94,,,
2016-10-20,233.08,228.91,,,
2016-10-21,230.47,233.08,,,
2016-10-24,225.93,230.47,,,
2016-10-25,225.29,225.93,,,
2016-10-26,221.99,225.29,,,
2016-10-27,221.52,221.99,,,
2016-10-28,213.44,221.52,,,
2016-10-31,208.94,213.44,,,
2016-11-01,208.65,208.94,,,
2016-11-02,197.89,208.65,,,
2016-11-03,188.82,197.89,,,
2016-11-04,195.0,188.82,,,
2016-11-07,199.45,195.0,,,
2016-11-08,195.8,199.45,,,
2016-11-09,212.9,195.8,,,
2016-11-10,216.39,212.9,,,
2016-11-11,207.57,216.39,,,
2016-11-14,202.1,207.57,,,
2016-11-15,196.44,202.1,,,
2016-11-16,195.54,196.44,,,
2016-11-17,199.98,195.54,,,
2016-11-18,191.78,199.98,,,
2016-11-21,191.14,191.78,,,
2016-11-22,188.84,191.14,,,
2016-11-23,193.09,188.84,,,
2016-11-24,193.09,193.09,,,
2016-11-25,192.22,193.09,,,
2016-11-28,189.99,192.22,,,
2016-11-29,192.64,189.99,,,
2016-11-30,194.3,192.64,,,
2016-12-01,190.37,194.3,,,
2016-12-02,189.69,190.37,,,
2016-12-05,191.18,189.69,,,
2016-12-06,190.94,191.18,,,
2016-12-07,189.73,190.94,,,
2016-12-08,188.47,189.73,,,
2016-12-09,192.25,188.47,,,
2016-12-12,190.76,192.25,,,
2016-12-13,193.32,190.76,,,
2016-12-14,192.4,193.32,,,
2016-12-15,192.62,192.4,,,
2016-12-16,192.81,192.62,,,
2016-12-19,192.55,192.81,,,
2016-12-20,191.33,192.55,,,
2016-12-21,193.99,191.33,,,
2016-12-22,193.99,193.99,,,
2016-12-23,199.08,193.99,,,
2016-12-26,199.08,199.08,,,
2016-12-27,200.49,199.08,,,
2016-12-28,204.06,200.49,,,
2016-12-29,207.21,204.06,,,
2016-12-30,210.01,207.21,,,
2017-01-02,210.01,210.01,,,
2017-01-03,216.19,210.01,,,
2017-01-04,215.56,216.19,,,
2017-01-05,220.83,215.56,,,
2017-01-06,219.08,220.83,,,
2017-01-09,220.1,219.08,,,
2017-01-10,221.25,220.1,,,
2017-01-11,216.24,221.25,,,
2017-01-12,216.24,216.24,,,
2017-01-13,216.14,216.24,,,
2017-01-16,216.14,216.14,,,
2017-01-17,214.78,216.14,,,
2017-01-18,216.56,214.78,,,
2017-01-19,214.58,216.56,,,
2017-01-20,214.34,214.58,,,
2017-01-23,214.82,214.34,,,
2017-01-24,213.11,214.82,,,
2017-01-25,213.57,213.11,,,
2017-01-26,210.8,213.57,,,
2017-01-27,213.2,210.8,,,
2017-01-30,211.87,213.2,,,
2017-01-31,218.89,211.87,,,
2017-02-01,229.32,218.89,,,
2017-02-02,229.52,229.32,,,
2017-02-03,230.87,229.52,,,
2017-02-06,234.43,230.87,,,
2017-02-07,232.61,234.43,,,
2017-02-08,241.17,232.61,,,
2017-02-09,245.68,241.17,,,
2017-02-10,246.36,245.68,,,
2017-02-13,246.76,246.36,,,
2017-02-14,248.57,246.76,,,
2017-02-15,249.32,248.57,,,
2017-02-16,246.93,249.32,,,
2017-02-17,247.35,246.93,,,
2017-02-20,247.35,247.35,,,
2017-02-21,247.16,247.35,,,
2017-02-22,246.32,247.16,,,
2017-02-23,247.03,246.32,,,
2017-02-24,245.37,247.03,,,
2017-02-27,246.25,245.37,,,
2017-02-28,244.82,246.25,,,
2017-03-01,245.29,244.82,,,
2017-03-02,244.96,245.29,,,
2017-03-03,245.63,244.96,,,
2017-03-06,242.36,245.63,,,
2017-03-07,239.6,242.36,,,
2017-03-08,239.44,239.6,,,
2017-03-09,240.18,239.44,,,
2017-03-10,241.15,240.18,,,
2017-03-13,240.65,241.15,,,
2017-03-14,239.45,240.65,,,
2017-03-15,240.67,239.45,,,
2017-03-16,239.42,240.67,,,
2017-03-17,237.38,239.42,,,
2017-03-20,236.95,237.38,,,
2017-03-21,234.55,236.95,,,
2017-03-22,233.99,234.55,,,
2017-03-23,235.29,233.99,,,
2017-03-24,237.33,235.29,,,
2017-03-27,239.38,237.33,,,
2017-03-28,240.53,239.38,,,
2017-03-29,241.34,240.53,,,
2017-03-30,239.8,241.34,,,
2017-03-31,238.92,239.8,,,
2017-04-03,237.68,238.92,,,
2017-04-04,238.43,237.68,,,
2017-04-05,237.77,238.43,,,
2017-04-06,238.34,237.77,,,
2017-04-07,238.85,238.34,,,
2017-04-10,240.12,238.85,,,
2017-04-11,239.11,240.12,,,
2017-04-12,237.83,239.11,,,
2017-04-13,237.83,237.83,,,
2017-04-14,237.83,237.83,,,
2017-04-17,236.13,237.83,,,
2017-04-18,234.38,236.13,,,
2017-04-19,236.34,234.38,,,
2017-04-20,237.94,236.34,,,
2017-04-21,236.35,237.94,,,
2017-04-24,236.98,236.35,,,
2017-04-25,238.22,236.98,,,
2017-04-26,239.5,238.22,,,
2017-04-27,243.05,239.5,,,
2017-04-28,243.86,243.05,,,
2017-05-01,245.23,243.86,,,
2017-05-02,245.5,245.23,,,
2017-05-03,243.76,245.5,,,
2017-05-04,245.25,243.76,,,
2017-05-05,244.94,245.25,,,
2017-05-08,241.95,244.94,,,
2017-05-09,238.51,241.95,,,
2017-05-10,229.72,238.51,,,
2017-05-11,231.01,229.72,,,
2017-05-12,230.88,231.01,,,
2017-05-15,228.22,230.88,,,
2017-05-16,224.55,228.22,,,
2017-05-17,220.33,224.55,,,
2017-05-18,218.73,220.33,,,
2017-05-19,219.13,218.73,,,
2017-05-22,219.52,219.13,,,
2017-05-23,220.66,219.52,,,
2017-05-24,224.16,220.66,,,
2017-05-25,224.36,224.16,,,
2017-05-26,223.12,224.36,,,
2017-05-29,223.12,223.12,,,
2017-05-30,222.11,223.12,,,
2017-05-31,223.75,222.11,,,
2017-06-01,227.39,223.75,,,
2017-06-02,228.16,227.39,,,
2017-06-05,228.18,228.16,,,
2017-06-06,228.31,228.18,,,
2017-06-07,228.19,228.31,,,
2017-06-08,229.41,228.19,,,
2017-06-09,232.36,229.41,,,
2017-06-12,230.77,232.36,,,
2017-06-13,230.79,230.77,,,
2017-06-14,233.04,230.79,,,
2017-06-15,234.76,233.04,,,
2017-06-16,235.49,234.76,,,
2017-06-19,237.67,235.49,,,
2017-06-20,238.63,237.67,,,
2017-06-21,244.39,238.63,,,
2017-06-22,247.11,244.39,,,
2017-06-23,246.46,247.11,,,
2017-06-26,248.91,246.46,,,
2017-06-27,246.09,248.91,,,
2017-06-28,246.71,246.09,,,
2017-06-29,244.02,246.71,,,
2017-06-30,243.09,244.02,,,
2017-07-03,243.98,243.09,,,
2017-07-04,243.98,243.98,,,
2017-07-05,244.29,243.98,,,
2017-07-06,241.55,244.29,,,
2017-07-07,240.69,241.55,,,
2017-07-10,241.17,240.69,,,
2017-07-11,242.12,241.17,,,
2017-07-12,245.59,242.12,,,
2017-07-13,244.13,245.59,,,
2017-07-14,245.85,244.13,,,
2017-07-17,247.53,245.85,,,
2017-07-18,245.73,247.53,,,
2017-07-19,246.41,245.73,,,
2017-07-20,249.07,246.41,,,
2017-07-21,250.97,249.07,,,
2017-07-24,253.52,250.97,,,
2017-07-25,254.62,253.52,,,
2017-07-26,256.15,254.62,,,
2017-07-27,254.16,256.15,,,
2017-07-28,253.01,254.16,,,
2017-07-31,252.33,253.01,,,
2017-08-01,252.2,252.33,,,
2017-08-02,250.18,252.2,,,
2017-08-03,250.36,250.18,,,
