Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,67.28,68.63,,,
2016-05-10,67.86,67.28,,,
2016-05-11,74.65,67.86,,,
2016-05-12,75.87,74.65,,,
2016-05-13,76.16,75.87,,,
2016-05-16,77.81,76.16,,,
2016-05-17,76.17,77.81,,,
2016-05-18,76.17,76.17,,,
2016-05-19,75.77,76.17,,,
2016-05-20,76.36,75.77,,,
2016-05-23,76.37,76.36,,,
2016-05-24,76.34,76.37,,,
2016-05-25,78.87,76.34,,,
2016-05-26,79.04,78.87,,,
2016-05-27,80.09,79.04,,,
2016-05-30,80.09,80.09,,,
2016-05-31,78.5,80.09,,,
2016-06-01,79.68,78.5,,,
2016-06-02,79.84,79.68,,,
2016-06-03,80.0,79.84,,,
2016-06-06,80.96,80.0,,,
2016-06-07,81.29,80.96,,,
2016-06-08,81.21,81.29,,,
2016-06-09,80.26,81.21,,,
2016-06-10,79.83,80.26,,,
2016-06-13,78.15,79.83,,,
2016-06-14,78.4,78.15,,,
2016-06-15,79.71,78.4,,,
2016-06-16,79.99,79.71,,,
2016-06-17,82.8,79.99,,,
2016-06-20,83.01,82.8,,,
2016-06-21,83.62,83.01,,,
2016-06-22,83.32,83.62,,,
2016-06-23,84.4,83.32,,,
2016-06-24,78.98,84.4,,,
2016-06-27,75.34,78.98,,,
2016-06-28,78.29,75.34,,,
2016-06-29,79.12,78.29,,,
2016-06-30,79.31,79.12,,,
2016-07-01,81.32,79.31,,,
2016-07-04,81.32,81.32,,,
2016-07-05,79.9,81.32,,,
2016-07-06,80.86,79.9,,,
2016-07-07,81.32,80.86,,,
2016-07-08,83.58,81.32,,,
2016-07-11,83.63,83.58,,,
2016-07-12,85.22,83.63,,,
2016-07-13,85.55,85.22,,,
2016-07-14,86.04,85.55,,,
2016-07-15,86.35,86.04,,,
2016-07-18,86.21,86.35,,,
2016-07-19,85.92,86.21,,,
2016-07-20,86.62,85.92,,,
2016-07-21,84.27,86.62,,,
2016-07-22,85.01,84.27,,,
2016-07-25,86.2,85.01,,,
2016-07-26,85.52,86.2,,,
2016-07-27,84.82,85.52,,,
2016-07-28,85.11,84.82,,,
2016-07-29,84.17,85.11,,,
2016-08-01,83.91,84.17,,,
