Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,75.58,74.7,0.11225,0.786875,0.100875
2016-05-10,76.56,75.58,0.11225,0.786875,0.100875
2016-05-11,76.33,76.56,0.11225,0.786875,0.100875
2016-05-12,75.72,76.33,0.11225,0.786875,0.100875
2016-05-13,76.08,75.72,0.11225,0.786875,0.100875
2016-05-16,76.98,76.08,0.11225,0.786875,0.100875
2016-05-17,75.96,76.98,0.11225,0.786875,0.100875
2016-05-18,76.03,75.96,0.11225,0.786875,0.100875
2016-05-19,75.97,76.03,0.11225,0.786875,0.100875
2016-05-20,77.43,75.97,0.11225,0.786875,0.100875
2016-05-23,77.38,77.43,0.11225,0.786875,0.100875
2016-05-24,78.78,77.38,0.11225,0.786875,0.100875
2016-05-25,79.0,78.78,0.11225,0.786875,0.100875
2016-05-26,78.74,79.0,0.11225,0.786875,0.100875
2016-05-27,79.18,78.74,0.11225,0.786875,0.100875
2016-05-30,79.18,79.18,0.11225,0.786875,0.100875
2016-05-31,78.83,79.18,0.11225,0.786875,0.100875
2016-06-01,79.22,78.83,0.11225,0.786875,0.100875
2016-06-02,79.63,79.22,0.11225,0.786875,0.100875
2016-06-03,78.4,79.63,0.11225,0.786875,0.100875
2016-06-06,78.7,78.4,0.11225,0.786875,0.100875
2016-06-07,78.84,78.7,0.11225,0.786875,0.100875
2016-06-08,79.37,78.84,0.11225,0.786875,0.100875
2016-06-09,79.69,79.37,0.11225,0.786875,0.100875
2016-06-10,78.83,79.69,0.11225,0.786875,0.100875
2016-06-13,78.25,78.83,0.11225,0.786875,0.100875
2016-06-14,78.96,78.25,0.11225,0.786875,0.100875
2016-06-15,79.25,78.96,0.11225,0.786875,0.100875
2016-06-16,79.35,79.25,0.11225,0.786875,0.100875
2016-06-17,79.17,79.35,0.11225,0.786875,0.100875
2016-06-20,79.67,79.17,0.11225,0.786875,0.100875
2016-06-21,79.34,79.67,0.11225,0.786875,0.100875
2016-06-22,80.42,79.34,0.11225,0.786875,0.100875
2016-06-23,81.82,80.42,0.11225,0.786875,0.100875
2016-06-24,79.0,81.82,0.11225,0.786875,0.100875
2016-06-27,77.21,79.0,0.11225,0.786875,0.100875
2016-06-28,78.62,77.21,0.11225,0.786875,0.100875
2016-06-29,79.85,78.62,0.11225,0.786875,0.100875
2016-06-30,80.55,79.85,0.11225,0.786875,0.100875
2016-07-01,82.54,80.55,0.11225,0.786875,0.100875
2016-07-04,82.54,82.54,0.11225,0.786875,0.100875
2016-07-05,80.87,82.54,0.11225,0.786875,0.100875
2016-07-06,81.25,80.87,0.11225,0.786875,0.100875
2016-07-07,81.89,81.25,0.11225,0.786875,0.100875
2016-07-08,82.93,81.89,0.11225,0.786875,0.100875
2016-07-11,83.37,82.93,0.11225,0.786875,0.100875
2016-07-12,84.37,83.37,0.11225,0.786875,0.100875
2016-07-13,83.06,84.37,0.11225,0.786875,0.100875
2016-07-14,83.25,83.06,0.11225,0.786875,0.100875
2016-07-15,82.42,83.25,0.11225,0.786875,0.100875
2016-07-18,82.87,82.42,0.11225,0.786875,0.100875
2016-07-19,82.98,82.87,0.11225,0.786875,0.100875
2016-07-20,83.41,82.98,0.11225,0.786875,0.100875
2016-07-21,82.72,83.41,0.11225,0.786875,0.100875
2016-07-22,84.59,82.72,0.11225,0.786875,0.100875
2016-07-25,84.17,84.59,0.11225,0.786875,0.100875
2016-07-26,85.61,84.17,0.11225,0.786875,0.100875
2016-07-27,85.15,85.61,0.11225,0.786875,0.100875
2016-07-28,85.28,85.15,0.11225,0.786875,0.100875
2016-07-29,89.15,85.28,0.11225,0.786875,0.100875
2016-08-01,89.69,89.15,0.11225,0.786875,0.100875
2016-08-02,90.38,89.69,0.11225,0.786875,0.100875
2016-08-03,91.95,90.38,0.11225,0.786875,0.100875
2016-08-04,91.72,91.95,0.11225,0.786875,0.100875
2016-08-05,91.83,91.72,0.11225,0.786875,0.100875
2016-08-08,91.8,91.83,0.11225,0.786875,0.100875
2016-08-09,93.16,91.8,0.11225,0.786875,0.100875
2016-08-10,93.37,93.16,0.11225,0.786875,0.100875
2016-08-11,94.63,93.37,0.11225,0.786875,0.100875
2016-08-12,95.65,94.63,0.11225,0.786875,0.100875
2016-08-15,96.0,95.65,0.11225,0.786875,0.100875
2016-08-16,94.71,96.0,0.11225,0.786875,0.100875
2016-08-17,93.03,94.71,0.11225,0.786875,0.100875
2016-08-18,94.71,93.03,0.11225,0.786875,0.100875
2016-08-19,94.82,94.71,0.11225,0.786875,0.100875
2016-08-22,94.4,94.82,0.11225,0.786875,0.100875
2016-08-23,93.61,94.4,0.11225,0.786875,0.100875
2016-08-24,92.41,93.61,0.11225,0.786875,0.100875
2016-08-25,92.02,92.41,0.11225,0.786875,0.100875
2016-08-26,92.67,92.02,0.11225,0.786875,0.100875
2016-08-29,93.45,92.67,0.11225,0.786875,0.100875
2016-08-30,93.19,93.45,0.11225,0.786875,0.100875
2016-08-31,92.9,93.19,0.11225,0.786875,0.100875
2016-09-01,93.76,92.9,0.11225,0.786875,0.100875
2016-09-02,95.78,93.76,0.11225,0.786875,0.100875
2016-09-05,95.78,95.78,0.11225,0.786875,0.100875
2016-09-06,95.26,95.78,0.11225,0.786875,0.100875
2016-09-07,96.29,95.26,0.11225,0.786875,0.100875
2016-09-08,95.4,96.29,0.11225,0.786875,0.100875
2016-09-09,91.79,95.4,0.11225,0.786875,0.100875
2016-09-12,93.12,91.79,0.11225,0.786875,0.100875
2016-09-13,91.98,93.12,0.11225,0.786875,0.100875
2016-09-14,92.35,91.98,0.11225,0.786875,0.100875
2016-09-15,92.93,92.35,0.11225,0.786875,0.100875
2016-09-16,93.84,92.93,0.11225,0.786875,0.100875
2016-09-19,94.13,93.84,0.11225,0.786875,0.100875
2016-09-20,93.7,94.13,0.11225,0.786875,0.100875
2016-09-21,95.34,93.7,0.11225,0.786875,0.100875
2016-09-22,95.67,95.34,0.11225,0.786875,0.100875
2016-09-23,94.13,95.67,0.11225,0.786875,0.100875
2016-09-26,93.09,94.13,0.11225,0.786875,0.100875
2016-09-27,94.44,93.09,0.11225,0.786875,0.100875
2016-09-28,94.6,94.44,0.11225,0.786875,0.100875
2016-09-29,92.41,94.6,0.11225,0.786875,0.100875
2016-09-30,93.75,92.41,0.11225,0.786875,0.100875
2016-10-03,90.21,93.75,0.11225,0.786875,0.100875
2016-10-04,89.46,90.21,0.11225,0.786875,0.100875
2016-10-05,89.48,89.46,0.11225,0.786875,0.100875
2016-10-06,89.44,89.48,0.11225,0.786875,0.100875
2016-10-07,89.68,89.44,0.11225,0.786875,0.100875
2016-10-10,91.08,89.68,0.11225,0.786875,0.100875
2016-10-11,89.61,91.08,0.11225,0.786875,0.100875
2016-10-12,90.26,89.61,0.11225,0.786875,0.100875
2016-10-13,90.95,90.26,0.11225,0.786875,0.100875
2016-10-14,90.88,90.95,0.11225,0.786875,0.100875
2016-10-17,89.79,90.88,0.11225,0.786875,0.100875
2016-10-18,90.41,89.79,0.11225,0.786875,0.100875
2016-10-19,91.01,90.41,0.11225,0.786875,0.100875
2016-10-20,91.53,91.01,0.11225,0.786875,0.100875
2016-10-21,89.5,91.53,0.11225,0.786875,0.100875
2016-10-24,89.26,89.5,0.11225,0.786875,0.100875
2016-10-25,87.5,89.26,0.11225,0.786875,0.100875
2016-10-26,84.52,87.5,0.11225,0.786875,0.100875
2016-10-27,84.14,84.52,0.11225,0.786875,0.100875
2016-10-28,85.17,84.14,0.11225,0.786875,0.100875
2016-10-31,85.92,85.17,0.11225,0.786875,0.100875
2016-11-01,84.56,85.92,0.11225,0.786875,0.100875
2016-11-02,85.21,84.56,0.11225,0.786875,0.100875
2016-11-03,86.08,85.21,0.11225,0.786875,0.100875
2016-11-04,85.73,86.08,0.11225,0.786875,0.100875
2016-11-07,87.86,85.73,0.11225,0.786875,0.100875
2016-11-08,88.79,87.86,0.11225,0.786875,0.100875
