Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,68.8,68.51,,,
2016-05-10,69.33,68.8,,,
2016-05-11,67.6,69.33,,,
2016-05-12,65.57,67.6,,,
2016-05-13,66.26,65.57,,,
2016-05-16,66.31,66.26,,,
2016-05-17,65.44,66.31,,,
2016-05-18,66.42,65.44,,,
2016-05-19,65.39,66.42,,,
2016-05-20,65.21,65.39,,,
2016-05-23,65.34,65.21,,,
2016-05-24,66.87,65.34,,,
2016-05-25,66.91,66.87,,,
2016-05-26,66.14,66.91,,,
2016-05-27,66.82,66.14,,,
2016-05-30,66.82,66.82,,,
2016-05-31,66.4,66.82,,,
2016-06-01,65.96,66.4,,,
2016-06-02,65.94,65.96,,,
2016-06-03,65.08,65.94,,,
2016-06-06,65.21,65.08,,,
2016-06-07,66.33,65.21,,,
2016-06-08,66.39,66.33,,,
2016-06-09,67.5,66.39,,,
2016-06-10,66.92,67.5,,,
2016-06-13,64.29,66.92,,,
2016-06-14,61.52,64.29,,,
2016-06-15,61.16,61.52,,,
2016-06-16,60.37,61.16,,,
2016-06-17,59.88,60.37,,,
2016-06-20,59.48,59.88,,,
2016-06-21,60.46,59.48,,,
2016-06-22,59.68,60.46,,,
2016-06-23,59.14,59.68,,,
2016-06-24,56.49,59.14,,,
2016-06-27,55.66,56.49,,,
2016-06-28,56.71,55.66,,,
2016-06-29,57.69,56.71,,,
2016-06-30,58.29,57.69,,,
2016-07-01,58.74,58.29,,,
2016-07-04,58.74,58.74,,,
2016-07-05,58.63,58.74,,,
2016-07-06,58.54,58.63,,,
2016-07-07,59.47,58.54,,,
2016-07-08,59.86,59.47,,,
2016-07-11,60.16,59.86,,,
2016-07-12,63.25,60.16,,,
2016-07-13,63.17,63.25,,,
2016-07-14,64.86,63.17,,,
2016-07-15,65.04,64.86,,,
2016-07-18,64.24,65.04,,,
2016-07-19,63.87,64.24,,,
2016-07-20,63.49,63.87,,,
2016-07-21,64.71,63.49,,,
2016-07-22,64.6,64.71,,,
2016-07-25,65.4,64.6,,,
2016-07-26,66.53,65.4,,,
2016-07-27,67.87,66.53,,,
2016-07-28,68.46,67.87,,,
2016-07-29,67.22,68.46,,,
2016-08-01,67.65,67.22,,,
2016-08-02,64.89,67.65,,,
2016-08-03,65.1,64.89,,,
2016-08-04,65.1,65.1,,,
2016-08-05,66.23,65.1,,,
2016-08-08,65.86,66.23,,,
2016-08-09,64.99,65.86,,,
2016-08-10,64.84,64.99,,,
2016-08-11,66.11,64.84,,,
2016-08-12,65.38,66.11,,,
2016-08-15,66.12,65.38,,,
2016-08-16,66.0,66.12,,,
2016-08-17,67.35,66.0,,,
2016-08-18,67.7,67.35,,,
2016-08-19,67.07,67.7,,,
2016-08-22,66.86,67.07,,,
2016-08-23,67.35,66.86,,,
2016-08-24,67.92,67.35,,,
2016-08-25,68.34,67.92,,,
2016-08-26,67.27,68.34,,,
2016-08-29,67.04,67.27,,,
2016-08-30,67.55,67.04,,,
2016-08-31,67.53,67.55,,,
2016-09-01,67.26,67.53,,,
2016-09-02,68.21,67.26,,,
2016-09-05,68.21,68.21,,,
2016-09-06,69.0,68.21,,,
2016-09-07,71.03,69.0,,,
2016-09-08,71.32,71.03,,,
2016-09-09,68.86,71.32,,,
2016-09-12,69.79,68.86,,,
2016-09-13,68.32,69.79,,,
2016-09-14,66.65,68.32,,,
2016-09-15,66.81,66.65,,,
2016-09-16,65.7,66.81,,,
2016-09-19,65.69,65.7,,,
2016-09-20,65.5,65.69,,,
2016-09-21,66.7,65.5,,,
2016-09-22,66.04,66.7,,,
2016-09-23,65.77,66.04,,,
2016-09-26,64.6,65.77,,,
2016-09-27,65.99,64.6,,,
2016-09-28,66.2,65.99,,,
2016-09-29,65.31,66.2,,,
2016-09-30,65.86,65.31,,,
2016-10-03,67.09,65.86,,,
