Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,67.21,67.1,,,
2016-05-10,67.98,67.21,,,
2016-05-11,67.35,67.98,,,
2016-05-12,67.54,67.35,,,
2016-05-13,67.38,67.54,,,
2016-05-16,67.55,67.38,,,
2016-05-17,67.1,67.55,,,
2016-05-18,67.36,67.1,,,
2016-05-19,66.84,67.36,,,
2016-05-20,67.15,66.84,,,
2016-05-23,66.88,67.15,,,
2016-05-24,67.44,66.88,,,
2016-05-25,67.28,67.44,,,
2016-05-26,67.51,67.28,,,
2016-05-27,67.68,67.51,,,
2016-05-30,67.68,67.68,,,
2016-05-31,67.51,67.68,,,
2016-06-01,67.44,67.51,,,
2016-06-02,67.44,67.44,,,
2016-06-03,67.43,67.44,,,
2016-06-06,67.62,67.43,,,
2016-06-07,67.43,67.62,,,
2016-06-08,67.68,67.43,,,
2016-06-09,67.79,67.68,,,
2016-06-10,67.46,67.79,,,
2016-06-13,66.88,67.46,,,
2016-06-14,66.69,66.88,,,
2016-06-15,65.87,66.69,,,
2016-06-16,66.47,65.87,,,
2016-06-17,66.42,66.47,,,
2016-06-20,66.57,66.42,,,
2016-06-21,66.8,66.57,,,
2016-06-22,67.02,66.8,,,
2016-06-23,67.86,67.02,,,
2016-06-24,66.26,67.86,,,
2016-06-27,66.06,66.26,,,
2016-06-28,67.73,66.06,,,
2016-06-29,68.47,67.73,,,
2016-06-30,69.95,68.47,,,
2016-07-01,69.56,69.95,,,
2016-07-04,69.56,69.56,,,
2016-07-05,69.31,69.56,,,
2016-07-06,69.46,69.31,,,
2016-07-07,68.94,69.46,,,
2016-07-08,69.66,68.94,,,
2016-07-11,69.94,69.66,,,
2016-07-12,69.6,69.94,,,
2016-07-13,69.28,69.6,,,
2016-07-14,69.31,69.28,,,
2016-07-15,69.49,69.31,,,
2016-07-18,69.35,69.49,,,
2016-07-19,69.12,69.35,,,
2016-07-20,69.1,69.12,,,
2016-07-21,68.89,69.1,,,
2016-07-22,69.2,68.89,,,
2016-07-25,69.22,69.2,,,
2016-07-26,69.04,69.22,,,
2016-07-27,68.86,69.04,,,
2016-07-28,69.17,68.86,,,
2016-07-29,68.33,69.17,,,
2016-08-01,68.39,68.33,,,
2016-08-02,68.11,68.39,,,
2016-08-03,68.63,68.11,,,
2016-08-04,68.62,68.63,,,
2016-08-05,68.84,68.62,,,
2016-08-08,69.17,68.84,,,
2016-08-09,69.37,69.17,,,
2016-08-10,69.42,69.37,,,
2016-08-11,69.11,69.42,,,
2016-08-12,69.13,69.11,,,
2016-08-15,69.39,69.13,,,
2016-08-16,68.95,69.39,,,
2016-08-17,69.12,68.95,,,
2016-08-18,69.44,69.12,,,
2016-08-19,69.17,69.44,,,
2016-08-22,68.87,69.17,,,
2016-08-23,68.36,68.87,,,
2016-08-24,68.26,68.36,,,
2016-08-25,68.54,68.26,,,
2016-08-26,68.32,68.54,,,
2016-08-29,68.74,68.32,,,
2016-08-30,69.17,68.74,,,
2016-08-31,68.96,69.17,,,
2016-09-01,68.66,68.96,,,
2016-09-02,68.95,68.66,,,
2016-09-05,68.95,68.95,,,
2016-09-06,69.31,68.95,,,
2016-09-07,69.44,69.31,,,
2016-09-08,69.22,69.44,,,
2016-09-09,67.96,69.22,,,
2016-09-12,68.48,67.96,,,
2016-09-13,67.92,68.48,,,
2016-09-14,67.39,67.92,,,
2016-09-15,67.82,67.39,,,
2016-09-16,67.41,67.82,,,
2016-09-19,67.46,67.41,,,
2016-09-20,67.87,67.46,,,
2016-09-21,68.66,67.87,,,
2016-09-22,68.94,68.66,,,
2016-09-23,68.49,68.94,,,
2016-09-26,68.39,68.49,,,
2016-09-27,68.98,68.39,,,
2016-09-28,69.1,68.98,,,
2016-09-29,68.64,69.1,,,
2016-09-30,69.18,68.64,,,
2016-10-03,68.4,69.18,,,
2016-10-04,67.84,68.4,,,
2016-10-05,67.81,67.84,,,
2016-10-06,67.77,67.81,,,
2016-10-07,68.43,67.77,,,
2016-10-10,68.49,68.43,,,
2016-10-11,68.2,68.49,,,
2016-10-12,69.04,68.2,,,
2016-10-13,69.09,69.04,,,
2016-10-14,69.33,69.09,,,
2016-10-17,69.34,69.33,,,
2016-10-18,69.29,69.34,,,
2016-10-19,69.43,69.29,,,
2016-10-20,68.23,69.43,,,
2016-10-21,67.55,68.23,,,
2016-10-24,67.72,67.55,,,
2016-10-25,67.61,67.72,,,
2016-10-26,67.94,67.61,,,
2016-10-27,67.59,67.94,,,
2016-10-28,67.53,67.59,,,
2016-10-31,67.9,67.53,,,
2016-11-01,67.21,67.9,,,
2016-11-02,67.34,67.21,,,
2016-11-03,68.09,67.34,,,
2016-11-04,66.72,68.09,,,
2016-11-07,66.86,66.72,,,
2016-11-08,67.58,66.86,,,
2016-11-09,68.17,67.58,,,
2016-11-10,69.45,68.17,,,
2016-11-11,69.64,69.45,,,
2016-11-14,70.69,69.64,,,
2016-11-15,71.3,70.69,,,
2016-11-16,70.72,71.3,,,
2016-11-17,71.78,70.72,,,
2016-11-18,72.02,71.78,,,
2016-11-21,72.18,72.02,,,
2016-11-22,72.37,72.18,,,
2016-11-23,72.4,72.37,,,
2016-11-24,72.4,72.4,,,
2016-11-25,72.38,72.4,,,
2016-11-28,72.04,72.38,,,
2016-11-29,69.63,72.04,,,
2016-11-30,69.92,69.63,,,
2016-12-01,70.35,69.92,,,
2016-12-02,70.61,70.35,,,
2016-12-05,70.36,70.61,,,
2016-12-06,70.95,70.36,,,
2016-12-07,71.65,70.95,,,
2016-12-08,71.67,71.65,,,
2016-12-09,72.47,71.67,,,
2016-12-12,72.82,72.47,,,
2016-12-13,72.93,72.82,,,
2016-12-14,72.61,72.93,,,
2016-12-15,73.54,72.61,,,
2016-12-16,74.11,73.54,,,
2016-12-19,74.37,74.11,,,
2016-12-20,74.48,74.37,,,
2016-12-21,74.44,74.48,,,
2016-12-22,74.48,74.44,,,
2016-12-23,74.58,74.48,,,
2016-12-26,74.58,74.58,,,
2016-12-27,74.51,74.58,,,
2016-12-28,74.35,74.51,,,
2016-12-29,74.28,74.35,,,
2016-12-30,74.12,74.28,,,
2017-01-02,74.12,74.12,,,
2017-01-03,74.17,74.12,,,
2017-01-04,74.37,74.17,,,
2017-01-05,74.03,74.37,,,
2017-01-06,74.15,74.03,,,
2017-01-09,73.09,74.15,,,
2017-01-10,73.75,73.09,,,
2017-01-11,73.94,73.75,,,
2017-01-12,73.68,73.94,,,
2017-01-13,73.89,73.68,,,
2017-01-16,73.89,73.89,,,
2017-01-17,73.85,73.89,,,
2017-01-18,74.52,73.85,,,
2017-01-19,74.22,74.52,,,
2017-01-20,74.54,74.22,,,
2017-01-23,74.15,74.54,,,
2017-01-24,74.47,74.15,,,
2017-01-25,75.39,74.47,,,
2017-01-26,75.81,75.39,,,
2017-01-27,75.59,75.81,,,
2017-01-30,75.61,75.59,,,
2017-01-31,75.21,75.61,,,
2017-02-01,75.24,75.21,,,
2017-02-02,77.4,75.24,,,
2017-02-03,77.48,77.4,,,
2017-02-06,78.08,77.48,,,
2017-02-07,78.12,78.08,,,
2017-02-08,77.99,78.12,,,
2017-02-09,78.35,77.99,,,
2017-02-10,78.88,78.35,,,
2017-02-13,79.61,78.88,,,
2017-02-14,79.8,79.61,,,
2017-02-15,80.71,79.8,,,
2017-02-16,80.8,80.71,,,
2017-02-17,80.44,80.8,,,
2017-02-20,80.44,80.44,,,
2017-02-21,80.62,80.44,,,
2017-02-22,80.58,80.62,,,
2017-02-23,80.55,80.58,,,
2017-02-24,80.91,80.55,,,
2017-02-27,81.34,80.91,,,
2017-02-28,82.16,81.34,,,
2017-03-01,82.69,82.16,,,
2017-03-02,81.75,82.69,,,
2017-03-03,81.86,81.75,,,
2017-03-06,81.34,81.86,,,
2017-03-07,81.46,81.34,,,
2017-03-08,81.13,81.46,,,
2017-03-09,81.57,81.13,,,
2017-03-10,82.05,81.57,,,
2017-03-13,82.1,82.05,,,
2017-03-14,82.18,82.1,,,
2017-03-15,82.62,82.18,,,
2017-03-16,82.89,82.62,,,
2017-03-17,82.85,82.89,,,
2017-03-20,82.37,82.85,,,
2017-03-21,81.69,82.37,,,
2017-03-22,81.38,81.69,,,
2017-03-23,81.26,81.38,,,
2017-03-24,80.99,81.26,,,
2017-03-27,81.09,80.99,,,
2017-03-28,81.89,81.09,,,
2017-03-29,81.39,81.89,,,
2017-03-30,81.64,81.39,,,
2017-03-31,81.49,81.64,,,
2017-04-03,81.32,81.49,,,
2017-04-04,81.63,81.32,,,
2017-04-05,81.42,81.63,,,
2017-04-06,81.44,81.42,,,
2017-04-07,81.11,81.44,,,
2017-04-10,81.36,81.11,,,
2017-04-11,81.17,81.36,,,
2017-04-12,80.97,81.17,,,
2017-04-13,80.58,80.97,,,
2017-04-14,80.58,80.58,,,
2017-04-17,81.5,80.58,,,
2017-04-18,80.31,81.5,,,
2017-04-19,79.75,80.31,,,
2017-04-20,80.15,79.75,,,
2017-04-21,79.73,80.15,,,
2017-04-24,80.9,79.73,,,
2017-04-25,81.22,80.9,,,
2017-04-26,81.8,81.22,,,
2017-04-27,81.98,81.8,,,
2017-04-28,81.29,81.98,,,
2017-05-01,81.5,81.29,,,
2017-05-02,81.83,81.5,,,
2017-05-03,84.93,81.83,,,
2017-05-04,85.57,84.93,,,
2017-05-05,85.45,85.57,,,
2017-05-08,84.77,85.45,,,
2017-05-09,84.17,84.77,,,
2017-05-10,84.29,84.17,,,
2017-05-11,83.91,84.29,,,
2017-05-12,84.13,83.91,,,
2017-05-15,84.53,84.13,,,
2017-05-16,84.33,84.53,,,
2017-05-17,84.36,84.33,,,
2017-05-18,84.72,84.36,,,
2017-05-19,84.13,84.72,,,
2017-05-22,84.79,84.13,,,
2017-05-23,85.4,84.79,,,
2017-05-24,85.81,85.4,,,
2017-05-25,86.28,85.81,,,
2017-05-26,86.5,86.28,,,
2017-05-29,86.5,86.5,,,
2017-05-30,86.0,86.5,,,
2017-05-31,86.34,86.0,,,
2017-06-01,86.94,86.34,,,
2017-06-02,86.67,86.94,,,
2017-06-05,86.61,86.67,,,
2017-06-06,85.82,86.61,,,
2017-06-07,85.87,85.82,,,
2017-06-08,86.56,85.87,,,
2017-06-09,87.37,86.56,,,
2017-06-12,87.92,87.37,,,
2017-06-13,87.97,87.92,,,
2017-06-14,88.82,87.97,,,
2017-06-15,89.79,88.82,,,
2017-06-16,89.82,89.79,,,
2017-06-19,89.41,89.82,,,
2017-06-20,89.26,89.41,,,
2017-06-21,89.24,89.26,,,
2017-06-22,88.31,89.24,,,
2017-06-23,88.08,88.31,,,
2017-06-26,88.42,88.08,,,
2017-06-27,88.17,88.42,,,
2017-06-28,88.58,88.17,,,
2017-06-29,88.13,88.58,,,
2017-06-30,88.44,88.13,,,
2017-07-03,88.63,88.44,,,
2017-07-04,88.63,88.63,,,
2017-07-05,88.81,88.63,,,
2017-07-06,88.72,88.81,,,
2017-07-07,89.19,88.72,,,
2017-07-10,88.85,89.19,,,
2017-07-11,87.94,88.85,,,
2017-07-12,88.2,87.94,,,
2017-07-13,88.6,88.2,,,
2017-07-14,89.05,88.6,,,
2017-07-17,88.49,89.05,,,
2017-07-18,88.88,88.49,,,
2017-07-19,89.25,88.88,,,
2017-07-20,89.22,89.25,,,
2017-07-21,89.16,89.22,,,
2017-07-24,89.77,89.16,,,
2017-07-25,90.21,89.77,,,
2017-07-26,89.4,90.21,,,
2017-07-27,89.68,89.4,,,
2017-07-28,90.5,89.68,,,
2017-07-31,91.0,90.5,,,
2017-08-01,91.0,91.0,,,
2017-08-02,94.16,91.0,,,
2017-08-03,93.93,94.16,,,
2017-08-04,94.22,93.93,,,
2017-08-07,94.24,94.22,,,
2017-08-08,94.21,94.24,,,
2017-08-09,94.7,94.21,,,
2017-08-10,94.16,94.7,,,
2017-08-11,93.95,94.16,,,
2017-08-14,94.42,93.95,,,
2017-08-15,94.38,94.42,,,
2017-08-16,94.38,94.38,,,
2017-08-17,93.33,94.38,,,
2017-08-18,92.92,93.33,,,
2017-08-21,92.72,92.92,,,
2017-08-22,93.77,92.72,,,
2017-08-23,93.18,93.77,,,
2017-08-24,91.54,93.18,,,
2017-08-25,92.02,91.54,,,
2017-08-28,90.65,92.02,,,
2017-08-29,90.82,90.65,,,
2017-08-30,90.07,90.82,,,
2017-08-31,90.5,90.07,,,
2017-09-01,89.78,90.5,,,
2017-09-04,89.78,89.78,,,
2017-09-05,86.49,89.78,,,
2017-09-06,87.5,86.49,,,
2017-09-07,86.45,87.5,,,
2017-09-08,89.61,86.45,,,
2017-09-11,91.23,89.61,,,
2017-09-12,91.87,91.23,,,
2017-09-13,90.94,91.87,,,
2017-09-14,90.5,90.94,,,
2017-09-15,90.88,90.5,,,
2017-09-18,90.48,90.88,,,
2017-09-19,91.14,90.48,,,
2017-09-20,91.38,91.14,,,
2017-09-21,90.67,91.38,,,
2017-09-22,90.53,90.67,,,
2017-09-25,91.04,90.53,,,
2017-09-26,90.73,91.04,,,
2017-09-27,90.89,90.73,,,
2017-09-28,91.29,90.89,,,
2017-09-29,91.91,91.29,,,
2017-10-02,92.38,91.91,,,
2017-10-03,92.1,92.38,,,
2017-10-04,92.86,92.1,,,
2017-10-05,93.19,92.86,,,
2017-10-06,93.29,93.19,,,
2017-10-09,93.2,93.29,,,
2017-10-10,93.33,93.2,,,
2017-10-11,93.09,93.33,,,
2017-10-12,92.54,93.09,,,
2017-10-13,92.34,92.54,,,
2017-10-16,92.46,92.34,,,
2017-10-17,91.41,92.46,,,
2017-10-18,91.25,91.41,,,
2017-10-19,92.73,91.25,,,
2017-10-20,92.97,92.73,,,
2017-10-23,92.97,92.97,,,
2017-10-24,93.64,92.97,,,
2017-10-25,93.28,93.64,,,
2017-10-26,93.96,93.28,,,
2017-10-27,93.73,93.96,,,
2017-10-30,94.07,93.73,,,
2017-10-31,93.86,94.07,,,
2017-11-01,94.25,93.86,,,
2017-11-02,97.85,94.25,,,
2017-11-03,97.84,97.85,,,
2017-11-06,99.09,97.84,,,
2017-11-07,99.18,99.09,,,
2017-11-08,99.09,99.18,,,
2017-11-09,98.95,99.09,,,
2017-11-10,99.12,98.95,,,
2017-11-13,99.44,99.12,,,
2017-11-14,99.94,99.44,,,
2017-11-15,100.38,99.94,,,
2017-11-16,99.57,100.38,,,
2017-11-17,100.17,99.57,,,
2017-11-20,100.32,100.17,,,
2017-11-21,99.7,100.32,,,
2017-11-22,99.3,99.7,,,
2017-11-23,99.3,99.3,,,
2017-11-24,99.08,99.3,,,
2017-11-27,99.41,99.08,,,
2017-11-28,100.89,99.41,,,
2017-11-29,101.96,100.89,,,
2017-11-30,102.66,101.96,,,
2017-12-01,103.1,102.66,,,
2017-12-04,103.62,103.1,,,
2017-12-05,102.84,103.62,,,
2017-12-06,102.65,102.84,,,
2017-12-07,102.11,102.65,,,
2017-12-08,102.5,102.11,,,
2017-12-11,102.37,102.5,,,
2017-12-12,103.54,102.37,,,
2017-12-13,103.32,103.54,,,
2017-12-14,102.65,103.32,,,
2017-12-15,103.97,102.65,,,
2017-12-18,104.16,103.97,,,
2017-12-19,104.38,104.16,,,
2017-12-20,104.42,104.38,,,
2017-12-21,104.21,104.42,,,
2017-12-22,104.11,104.21,,,
2017-12-25,104.11,104.11,,,
2017-12-26,104.34,104.11,,,
2017-12-27,104.6,104.34,,,
2017-12-28,104.91,104.6,,,
2017-12-29,104.71,104.91,,,
2018-01-01,104.71,104.71,,,
2018-01-02,101.92,104.71,,,
2018-01-03,101.98,101.92,,,
2018-01-04,100.8,101.98,,,
2018-01-05,101.87,100.8,,,
2018-01-08,101.39,101.87,,,
2018-01-09,100.94,101.39,,,
2018-01-10,100.43,100.94,,,
2018-01-11,100.78,100.43,,,
2018-01-12,102.11,100.78,,,
2018-01-15,102.11,102.11,,,
2018-01-16,102.13,102.11,,,
2018-01-17,103.94,102.13,,,
2018-01-18,104.0,103.94,,,
2018-01-19,103.7,104.0,,,
2018-01-22,104.43,103.7,,,
2018-01-23,101.25,104.43,,,
2018-01-24,99.87,101.25,,,
2018-01-25,100.73,99.87,,,
2018-01-26,100.53,100.73,,,
2018-01-29,98.04,100.53,,,
2018-01-30,98.45,98.04,,,
2018-01-31,98.77,98.45,,,
2018-02-01,98.72,98.77,,,
2018-02-02,97.94,98.72,,,
2018-02-05,95.02,97.94,,,
2018-02-06,96.6,95.02,,,
2018-02-07,96.87,96.6,,,
2018-02-08,90.06,96.87,,,
2018-02-09,90.89,90.06,,,
2018-02-12,90.73,90.89,,,
2018-02-13,92.13,90.73,,,
2018-02-14,95.03,92.13,,,
2018-02-15,94.52,95.03,,,
2018-02-16,95.04,94.52,,,
2018-02-19,95.04,95.04,,,
2018-02-20,93.65,95.04,,,
2018-02-21,93.41,93.65,,,
2018-02-22,92.8,93.41,,,
2018-02-23,94.37,92.8,,,
2018-02-26,95.75,94.37,,,
2018-02-27,94.01,95.75,,,
2018-02-28,92.26,94.01,,,
2018-03-01,92.06,92.26,,,
2018-03-02,91.61,92.06,,,
2018-03-05,92.89,91.61,,,
2018-03-06,93.43,92.89,,,
2018-03-07,93.39,93.43,,,
2018-03-08,94.33,93.39,,,
2018-03-09,96.03,94.33,,,
2018-03-12,94.85,96.03,,,
2018-03-13,96.41,94.85,,,
2018-03-14,96.41,96.41,,,
2018-03-15,96.81,96.41,,,
2018-03-16,97.53,96.81,,,
2018-03-19,96.78,97.53,,,
2018-03-20,97.39,96.78,,,
2018-03-21,96.84,97.39,,,
2018-03-22,94.65,96.84,,,
2018-03-23,92.25,94.65,,,
2018-03-26,94.52,92.25,,,
2018-03-27,93.39,94.52,,,
2018-03-28,94.61,93.39,,,
2018-03-29,94.8,94.61,,,
2018-03-30,94.8,94.8,,,
2018-04-02,93.7,94.8,,,
2018-04-03,95.12,93.7,,,
2018-04-04,96.53,95.12,,,
2018-04-05,97.13,96.53,,,
2018-04-06,95.9,97.13,,,
2018-04-09,95.78,95.9,,,
2018-04-10,97.12,95.78,,,
2018-04-11,96.2,97.12,,,
2018-04-12,96.75,96.2,,,
2018-04-13,96.36,96.75,,,
2018-04-16,97.53,96.36,,,
2018-04-17,97.75,97.53,,,
2018-04-18,97.79,97.75,,,
2018-04-19,97.98,97.79,,,
2018-04-20,98.31,97.98,,,
2018-04-23,98.61,98.31,,,
2018-04-24,97.39,98.61,,,
2018-04-25,97.49,97.39,,,
2018-04-26,97.53,97.49,,,
2018-04-27,98.19,97.53,,,
2018-04-30,97.82,98.19,,,
2018-05-01,98.2,97.82,,,
2018-05-02,94.06,98.2,,,
2018-05-03,94.05,94.06,,,
2018-05-04,94.52,94.05,,,
