Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,66.17,66.01,,,
2016-05-10,66.94,66.17,,,
2016-05-11,65.94,66.94,,,
2016-05-12,66.13,65.94,,,
2016-05-13,66.01,66.13,,,
2016-05-16,66.34,66.01,,,
2016-05-17,66.83,66.34,,,
2016-05-18,67.18,66.83,,,
2016-05-19,67.21,67.18,,,
2016-05-20,67.36,67.21,,,
2016-05-23,67.22,67.36,,,
2016-05-24,68.12,67.22,,,
2016-05-25,67.95,68.12,,,
2016-05-26,67.73,67.95,,,
2016-05-27,67.99,67.73,,,
2016-05-30,67.99,67.99,,,
2016-05-31,67.64,67.99,,,
2016-06-01,68.19,67.64,,,
2016-06-02,68.13,68.19,,,
2016-06-03,67.89,68.13,,,
2016-06-06,67.9,67.89,,,
2016-06-07,67.75,67.9,,,
2016-06-08,69.01,67.75,,,
2016-06-09,68.98,69.01,,,
2016-06-10,67.91,68.98,,,
2016-06-13,67.49,67.91,,,
2016-06-14,67.63,67.49,,,
2016-06-15,68.16,67.63,,,
2016-06-16,68.2,68.16,,,
2016-06-17,67.69,68.2,,,
2016-06-20,68.95,67.69,,,
2016-06-21,69.02,68.95,,,
2016-06-22,68.84,69.02,,,
2016-06-23,69.25,68.84,,,
2016-06-24,65.72,69.25,,,
2016-06-27,64.02,65.72,,,
2016-06-28,66.41,64.02,,,
2016-06-29,68.01,66.41,,,
2016-06-30,69.43,68.01,,,
2016-07-01,68.8,69.43,,,
2016-07-04,68.8,68.8,,,
2016-07-05,68.01,68.8,,,
2016-07-06,68.26,68.01,,,
2016-07-07,68.64,68.26,,,
2016-07-08,69.74,68.64,,,
2016-07-11,69.93,69.74,,,
2016-07-12,70.53,69.93,,,
2016-07-13,70.44,70.53,,,
2016-07-14,71.01,70.44,,,
2016-07-15,71.35,71.01,,,
2016-07-18,70.94,71.35,,,
2016-07-19,71.84,70.94,,,
2016-07-20,71.93,71.84,,,
2016-07-21,71.56,71.93,,,
2016-07-22,72.34,71.56,,,
2016-07-25,71.87,72.34,,,
2016-07-26,72.46,71.87,,,
2016-07-27,71.88,72.46,,,
2016-07-28,72.78,71.88,,,
2016-07-29,72.39,72.78,,,
2016-08-01,72.4,72.39,,,
2016-08-02,71.69,72.4,,,
2016-08-03,71.05,71.69,,,
2016-08-04,71.0,71.05,,,
2016-08-05,71.41,71.0,,,
2016-08-08,70.98,71.41,,,
2016-08-09,71.31,70.98,,,
2016-08-10,71.35,71.31,,,
2016-08-11,71.81,71.35,,,
2016-08-12,72.35,71.81,,,
2016-08-15,72.82,72.35,,,
2016-08-16,72.23,72.82,,,
2016-08-17,71.66,72.23,,,
2016-08-18,71.89,71.66,,,
2016-08-19,71.28,71.89,,,
2016-08-22,71.91,71.28,,,
2016-08-23,72.18,71.91,,,
2016-08-24,71.8,72.18,,,
2016-08-25,72.09,71.8,,,
2016-08-26,71.58,72.09,,,
2016-08-29,72.1,71.58,,,
2016-08-30,71.26,72.1,,,
2016-08-31,71.22,71.26,,,
2016-09-01,71.84,71.22,,,
2016-09-02,72.39,71.84,,,
2016-09-05,72.39,72.39,,,
2016-09-06,72.07,72.39,,,
2016-09-07,70.89,72.07,,,
2016-09-08,69.88,70.89,,,
2016-09-09,66.83,69.88,,,
