Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,143.52,140.99,,,
2016-05-10,145.48,143.52,,,
2016-05-11,138.86,145.48,,,
2016-05-12,139.11,138.86,,,
2016-05-13,139.74,139.11,,,
2016-05-16,144.57,139.74,,,
2016-05-17,139.96,144.57,,,
2016-05-18,142.33,139.96,,,
2016-05-19,139.03,142.33,,,
2016-05-20,142.52,139.03,,,
2016-05-23,142.51,142.52,,,
2016-05-24,146.67,142.51,,,
2016-05-25,149.61,146.67,,,
2016-05-26,148.17,149.61,,,
2016-05-27,150.42,148.17,,,
2016-05-30,150.42,150.42,,,
2016-05-31,150.9,150.42,,,
2016-06-01,152.7,150.9,,,
2016-06-02,156.77,152.7,,,
2016-06-03,153.89,156.77,,,
2016-06-06,154.99,153.89,,,
2016-06-07,138.13,154.99,,,
2016-06-08,138.88,138.13,,,
2016-06-09,138.24,138.88,,,
2016-06-10,135.61,138.24,,,
2016-06-13,133.32,135.61,,,
2016-06-14,131.22,133.32,,,
2016-06-15,129.55,131.22,,,
2016-06-16,127.49,129.55,,,
2016-06-17,125.2,127.49,,,
2016-06-20,123.96,125.2,,,
2016-06-21,124.14,123.96,,,
2016-06-22,121.41,124.14,,,
2016-06-23,123.57,121.41,,,
2016-06-24,112.99,123.57,,,
2016-06-27,111.89,112.99,,,
2016-06-28,114.94,111.89,,,
2016-06-29,114.17,114.94,,,
2016-06-30,116.76,114.17,,,
2016-07-01,118.59,116.76,,,
2016-07-04,118.59,118.59,,,
2016-07-05,117.64,118.59,,,
2016-07-06,121.12,117.64,,,
2016-07-07,123.34,121.12,,,
2016-07-08,124.42,123.34,,,
2016-07-11,125.3,124.42,,,
2016-07-12,125.35,125.3,,,
2016-07-13,123.47,125.35,,,
2016-07-14,125.15,123.47,,,
2016-07-15,125.58,125.15,,,
2016-07-18,125.46,125.58,,,
2016-07-19,124.16,125.46,,,
2016-07-20,126.93,124.16,,,
2016-07-21,127.3,126.93,,,
2016-07-22,125.8,127.3,,,
2016-07-25,127.46,125.8,,,
2016-07-26,126.65,127.46,,,
2016-07-27,129.78,126.65,,,
2016-07-28,130.4,129.78,,,
2016-07-29,128.6,130.4,,,
2016-08-01,133.5,128.6,,,
2016-08-02,133.61,133.5,,,
2016-08-03,137.66,133.61,,,
2016-08-04,135.43,137.66,,,
2016-08-05,137.11,135.43,,,
2016-08-08,136.08,137.11,,,
2016-08-09,135.0,136.08,,,
2016-08-10,132.67,135.0,,,
2016-08-11,133.67,132.67,,,
2016-08-12,133.44,133.67,,,
2016-08-15,136.07,133.44,,,
2016-08-16,133.76,136.07,,,
2016-08-17,133.06,133.76,,,
2016-08-18,132.43,133.06,,,
2016-08-19,132.135,132.43,,,
2016-08-22,136.53,132.135,,,
2016-08-23,137.42,136.53,,,
2016-08-24,132.12,137.42,,,
2016-08-25,129.17,132.12,,,
2016-08-26,129.63,129.17,,,
2016-08-29,127.99,129.63,,,
2016-08-30,128.22,127.99,,,
2016-08-31,125.86,128.22,,,
2016-09-01,125.63,125.86,,,
2016-09-02,123.67,125.63,,,
2016-09-05,123.67,123.67,,,
2016-09-06,125.85,123.67,,,
2016-09-07,125.09,125.85,,,
2016-09-08,130.06,125.09,,,
2016-09-09,124.92,130.06,,,
2016-09-12,129.29,124.92,,,
2016-09-13,126.79,129.29,,,
2016-09-14,129.42,126.79,,,
2016-09-15,129.7,129.42,,,
2016-09-16,131.46,129.7,,,
2016-09-19,131.18,131.46,,,
2016-09-20,131.73,131.18,,,
2016-09-21,130.36,131.73,,,
2016-09-22,133.69,130.36,,,
2016-09-23,127.22,133.69,,,
2016-09-26,124.51,127.22,,,
2016-09-27,125.98,124.51,,,
2016-09-28,123.76,125.98,,,
2016-09-29,120.06,123.76,,,
2016-09-30,122.54,120.06,,,
2016-10-03,122.14,122.54,,,
2016-10-04,123.41,122.14,,,
2016-10-05,125.51,123.41,,,
2016-10-06,122.89,125.51,,,
2016-10-07,125.05,122.89,,,
2016-10-10,126.05,125.05,,,
2016-10-11,121.77,126.05,,,
2016-10-12,118.75,121.77,,,
2016-10-13,119.61,118.75,,,
2016-10-14,118.34,119.61,,,
2016-10-17,119.47,118.34,,,
2016-10-18,121.34,119.47,,,
2016-10-19,120.31,121.34,,,
2016-10-20,122.47,120.31,,,
2016-10-21,120.26,122.47,,,
2016-10-24,121.61,120.26,,,
2016-10-25,121.41,121.61,,,
2016-10-26,121.59,121.41,,,
2016-10-27,131.37,121.59,,,
2016-10-28,135.59,131.37,,,
2016-10-31,130.5,135.59,,,
2016-11-01,131.42,130.5,,,
2016-11-02,127.74,131.42,,,
2016-11-03,127.52,127.74,,,
2016-11-04,129.0,127.52,,,
2016-11-07,120.05,129.0,,,
2016-11-08,119.35,120.05,,,
2016-11-09,127.16,119.35,,,
2016-11-10,126.88,127.16,,,
2016-11-11,113.62,126.88,,,
2016-11-14,118.89,113.62,,,
2016-11-15,120.36,118.89,,,
2016-11-16,122.51,120.36,,,
2016-11-17,122.97,122.51,,,
2016-11-18,119.85,122.97,,,
2016-11-21,117.68,119.85,,,
2016-11-22,117.02,117.68,,,
2016-11-23,118.92,117.02,,,
2016-11-24,118.92,118.92,,,
2016-11-25,118.83,118.92,,,
2016-11-28,119.38,118.83,,,
2016-11-29,125.59,119.38,,,
2016-11-30,122.59,125.59,,,
2016-12-01,122.01,122.59,,,
2016-12-02,122.96,122.01,,,
2016-12-05,124.93,122.96,,,
2016-12-06,124.17,124.93,,,
2016-12-07,125.62,124.17,,,
2016-12-08,126.0,125.62,,,
2016-12-09,132.07,126.0,,,
2016-12-12,115.08,132.07,,,
2016-12-13,110.01,115.08,,,
2016-12-14,113.52,110.01,,,
2016-12-15,116.7,113.52,,,
2016-12-16,120.04,116.7,,,
2016-12-19,114.56,120.04,,,
2016-12-20,116.72,114.56,,,
2016-12-21,118.99,116.72,,,
2016-12-22,125.85,118.99,,,
2016-12-23,127.19,125.85,,,
2016-12-26,127.19,127.19,,,
2016-12-27,126.06,127.19,,,
2016-12-28,123.73,126.06,,,
2016-12-29,123.63,123.73,,,
2016-12-30,122.35,123.63,,,
2017-01-02,122.35,122.35,,,
2017-01-03,122.63,122.35,,,
2017-01-04,127.11,122.63,,,
2017-01-05,139.18,127.11,,,
2017-01-06,143.61,139.18,,,
2017-01-09,144.77,143.61,,,
2017-01-10,143.67,144.77,,,
2017-01-11,136.66,143.67,,,
2017-01-12,137.35,136.66,,,
2017-01-13,136.93,137.35,,,
2017-01-16,136.93,136.93,,,
2017-01-17,135.3,136.93,,,
2017-01-18,135.87,135.3,,,
2017-01-19,134.35,135.87,,,
2017-01-20,131.97,134.35,,,
2017-01-23,131.49,131.97,,,
2017-01-24,129.87,131.49,,,
2017-01-25,129.46,129.87,,,
2017-01-26,128.2,129.46,,,
2017-01-27,129.23,128.2,,,
2017-01-30,128.05,129.23,,,
2017-01-31,130.68,128.05,,,
2017-02-01,132.32,130.68,,,
2017-02-02,128.38,132.32,,,
2017-02-03,126.98,128.38,,,
2017-02-06,128.19,126.98,,,
2017-02-07,127.72,128.19,,,
2017-02-08,126.37,127.72,,,
2017-02-09,127.08,126.37,,,
2017-02-10,126.51,127.08,,,
2017-02-13,127.77,126.51,,,
2017-02-14,129.5,127.77,,,
2017-02-15,132.0,129.5,,,
2017-02-16,130.39,132.0,,,
2017-02-17,128.82,130.39,,,
2017-02-20,128.82,128.82,,,
2017-02-21,129.89,128.82,,,
2017-02-22,130.83,129.89,,,
2017-02-23,130.44,130.83,,,
2017-02-24,131.54,130.44,,,
2017-02-27,132.2,131.54,,,
2017-02-28,131.25,132.2,,,
2017-03-01,134.21,131.25,,,
2017-03-02,132.94,134.21,,,
2017-03-03,134.99,132.94,,,
2017-03-06,133.33,134.99,,,
2017-03-07,129.18,133.33,,,
2017-03-08,127.41,129.18,,,
2017-03-09,126.55,127.41,,,
2017-03-10,127.31,126.55,,,
2017-03-13,124.74,127.31,,,
2017-03-14,121.6,124.74,,,
2017-03-15,122.12,121.6,,,
2017-03-16,122.41,122.12,,,
2017-03-17,122.08,122.41,,,
2017-03-20,120.2,122.08,,,
2017-03-21,118.7,120.2,,,
2017-03-22,120.08,118.7,,,
2017-03-23,120.26,120.08,,,
2017-03-24,119.26,120.26,,,
2017-03-27,118.83,119.26,,,
2017-03-28,118.53,118.83,,,
2017-03-29,120.72,118.53,,,
2017-03-30,122.08,120.72,,,
2017-03-31,121.24,122.08,,,
2017-04-03,119.29,121.24,,,
2017-04-04,118.3,119.29,,,
2017-04-05,116.21,118.3,,,
2017-04-06,115.49,116.21,,,
2017-04-07,115.62,115.49,,,
2017-04-10,117.41,115.62,,,
2017-04-11,116.89,117.41,,,
2017-04-12,114.57,116.89,,,
2017-04-13,118.35,114.57,,,
2017-04-14,118.35,118.35,,,
2017-04-17,118.83,118.35,,,
2017-04-18,118.22,118.83,,,
2017-04-19,120.49,118.22,,,
2017-04-20,118.72,120.49,,,
2017-04-21,116.82,118.72,,,
2017-04-24,119.54,116.82,,,
2017-04-25,120.55,119.54,,,
2017-04-26,120.73,120.55,,,
2017-04-27,126.91,120.73,,,
2017-04-28,127.78,126.91,,,
2017-05-01,131.59,127.78,,,
2017-05-02,133.41,131.59,,,
2017-05-03,130.43,133.41,,,
2017-05-04,130.15,130.43,,,
2017-05-05,128.82,130.15,,,
2017-05-08,124.48,128.82,,,
2017-05-09,124.7,124.48,,,
2017-05-10,120.95,124.7,,,
2017-05-11,119.04,120.95,,,
2017-05-12,120.08,119.04,,,
2017-05-15,120.93,120.08,,,
2017-05-16,120.3,120.93,,,
2017-05-17,116.15,120.3,,,
2017-05-18,116.67,116.15,,,
2017-05-19,113.84,116.67,,,
2017-05-22,115.42,113.84,,,
2017-05-23,104.64,115.42,,,
2017-05-24,101.08,104.64,,,
2017-05-25,98.5,101.08,,,
2017-05-26,97.7,98.5,,,
2017-05-29,97.7,97.7,,,
2017-05-30,97.78,97.7,,,
2017-05-31,98.03,97.78,,,
2017-06-01,100.58,98.03,,,
2017-06-02,101.83,100.58,,,
2017-06-05,101.61,101.83,,,
2017-06-06,101.47,101.61,,,
2017-06-07,100.14,101.47,,,
2017-06-08,102.92,100.14,,,
2017-06-09,105.38,102.92,,,
2017-06-12,106.88,105.38,,,
2017-06-13,108.0,106.88,,,
2017-06-14,118.0,108.0,,,
2017-06-15,117.98,118.0,,,
2017-06-16,113.98,117.98,,,
2017-06-19,116.16,113.98,,,
2017-06-20,119.05,116.16,,,
2017-06-21,123.58,119.05,,,
2017-06-22,126.23,123.58,,,
2017-06-23,126.07,126.23,,,
2017-06-26,125.09,126.07,,,
2017-06-27,122.11,125.09,,,
2017-06-28,125.81,122.11,,,
2017-06-29,122.43,125.81,,,
2017-06-30,121.67,122.43,,,
2017-07-03,121.08,121.67,,,
2017-07-04,121.08,121.08,,,
2017-07-05,125.05,121.08,,,
2017-07-06,121.09,125.05,,,
2017-07-07,123.06,121.09,,,
2017-07-10,123.76,123.06,,,
2017-07-11,124.32,123.76,,,
2017-07-12,124.94,124.32,,,
2017-07-13,126.91,124.94,,,
2017-07-14,126.71,126.91,,,
2017-07-17,125.78,126.71,,,
2017-07-18,126.77,125.78,,,
2017-07-19,127.3,126.77,,,
2017-07-20,129.81,127.3,,,
2017-07-21,131.79,129.81,,,
2017-07-24,130.74,131.79,,,
2017-07-25,129.35,130.74,,,
2017-07-26,131.07,129.35,,,
2017-07-27,133.92,131.07,,,
2017-07-28,137.99,133.92,,,
2017-07-31,137.34,137.99,,,
2017-08-01,137.79,137.34,,,
2017-08-02,137.97,137.79,,,
2017-08-03,136.72,137.97,,,
2017-08-04,136.64,136.72,,,
2017-08-07,138.33,136.64,,,
2017-08-08,136.04,138.33,,,
2017-08-09,136.85,136.04,,,
2017-08-10,132.3,136.85,,,
2017-08-11,132.93,132.3,,,
2017-08-14,133.96,132.93,,,
2017-08-15,135.21,133.96,,,
2017-08-16,136.55,135.21,,,
2017-08-17,134.63,136.55,,,
2017-08-18,133.4,134.63,,,
2017-08-21,133.43,133.4,,,
2017-08-22,138.2,133.43,,,
2017-08-23,135.67,138.2,,,
2017-08-24,137.78,135.67,,,
2017-08-25,137.54,137.78,,,
2017-08-28,139.02,137.54,,,
2017-08-29,138.38,139.02,,,
2017-08-30,138.45,138.38,,,
2017-08-31,142.41,138.45,,,
2017-09-01,144.08,142.41,,,
2017-09-04,144.08,144.08,,,
2017-09-05,144.72,144.08,,,
2017-09-06,145.12,144.72,,,
2017-09-07,143.5,145.12,,,
2017-09-08,141.19,143.5,,,
2017-09-11,142.93,141.19,,,
2017-09-12,144.07,142.93,,,
2017-09-13,146.46,144.07,,,
2017-09-14,144.61,146.46,,,
2017-09-15,146.69,144.61,,,
2017-09-18,143.64,146.69,,,
2017-09-19,142.83,143.64,,,
