Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,3.65,3.68,,,
2016-05-10,3.64,3.65,,,
2016-05-11,3.65,3.64,,,
2016-05-12,3.59,3.65,,,
2016-05-13,3.67,3.59,,,
2016-05-16,3.79,3.67,,,
2016-05-17,3.79,3.79,,,
2016-05-18,3.84,3.79,,,
2016-05-19,3.77,3.84,,,
2016-05-20,3.87,3.77,,,
2016-05-23,4.04,3.87,,,
2016-05-24,4.2,4.04,,,
2016-05-25,4.18,4.2,,,
2016-05-26,4.35,4.18,,,
2016-05-27,4.6,4.35,,,
2016-05-30,4.6,4.6,,,
2016-05-31,4.57,4.6,,,
2016-06-01,4.43,4.57,,,
2016-06-02,4.24,4.43,,,
2016-06-03,4.16,4.24,,,
2016-06-06,4.47,4.16,,,
2016-06-07,4.51,4.47,,,
2016-06-08,4.46,4.51,,,
2016-06-09,4.52,4.46,,,
2016-06-10,4.32,4.52,,,
2016-06-13,4.4,4.32,,,
2016-06-14,4.39,4.4,,,
2016-06-15,4.42,4.39,,,
2016-06-16,4.75,4.42,,,
2016-06-17,5.26,4.75,,,
2016-06-20,5.1,5.26,,,
2016-06-21,5.45,5.1,,,
2016-06-22,5.02,5.45,,,
2016-06-23,5.21,5.02,,,
2016-06-24,4.88,5.21,,,
2016-06-27,4.72,4.88,,,
2016-06-28,5.12,4.72,,,
2016-06-29,5.13,5.12,,,
2016-06-30,5.14,5.13,,,
2016-07-01,5.07,5.14,,,
2016-07-04,5.07,5.07,,,
2016-07-05,4.96,5.07,,,
2016-07-06,5.04,4.96,,,
2016-07-07,5.02,5.04,,,
2016-07-08,5.1,5.02,,,
2016-07-11,5.01,5.1,,,
2016-07-12,5.14,5.01,,,
2016-07-13,5.09,5.14,,,
2016-07-14,5.17,5.09,,,
2016-07-15,5.14,5.17,,,
2016-07-18,5.51,5.14,,,
2016-07-19,5.41,5.51,,,
2016-07-20,5.41,5.41,,,
2016-07-21,5.22,5.41,,,
2016-07-22,5.84,5.22,,,
2016-07-25,6.7,5.84,,,
2016-07-26,6.98,6.7,,,
2016-07-27,6.85,6.98,,,
2016-07-28,6.82,6.85,,,
2016-07-29,6.86,6.82,,,
2016-08-01,6.64,6.86,,,
2016-08-02,6.26,6.64,,,
2016-08-03,6.3,6.26,,,
2016-08-04,6.47,6.3,,,
2016-08-05,6.61,6.47,,,
2016-08-08,6.68,6.61,,,
2016-08-09,6.6,6.68,,,
2016-08-10,6.49,6.6,,,
2016-08-11,6.58,6.49,,,
2016-08-12,6.73,6.58,,,
2016-08-15,6.95,6.73,,,
2016-08-16,6.78,6.95,,,
2016-08-17,6.68,6.78,,,
2016-08-18,7.04,6.68,,,
2016-08-19,7.62,7.04,,,
2016-08-22,7.58,7.62,,,
2016-08-23,7.67,7.58,,,
2016-08-24,7.43,7.67,,,
2016-08-25,7.465,7.43,,,
2016-08-26,7.67,7.465,,,
2016-08-29,7.59,7.67,,,
2016-08-30,7.49,7.59,,,
2016-08-31,7.4,7.49,,,
2016-09-01,7.35,7.4,,,
2016-09-02,7.51,7.35,,,
2016-09-05,7.51,7.51,,,
2016-09-06,7.34,7.51,,,
2016-09-07,6.84,7.34,,,
2016-09-08,6.225,6.84,,,
2016-09-09,5.9,6.225,,,
2016-09-12,5.94,5.9,,,
2016-09-13,5.74,5.94,,,
2016-09-14,6.04,5.74,,,
2016-09-15,6.02,6.04,,,
2016-09-16,6.05,6.02,,,
2016-09-19,6.16,6.05,,,
2016-09-20,6.17,6.16,,,
2016-09-21,6.29,6.17,,,
2016-09-22,6.37,6.29,,,
2016-09-23,6.55,6.37,,,
2016-09-26,6.32,6.55,,,
2016-09-27,6.54,6.32,,,
2016-09-28,6.59,6.54,,,
2016-09-29,6.67,6.59,,,
2016-09-30,6.91,6.67,,,
2016-10-03,6.95,6.91,,,
2016-10-04,6.97,6.95,,,
2016-10-05,6.78,6.97,,,
2016-10-06,6.96,6.78,,,
2016-10-07,6.75,6.96,,,
2016-10-10,6.84,6.75,,,
2016-10-11,6.5,6.84,,,
2016-10-12,6.62,6.5,,,
2016-10-13,6.49,6.62,,,
2016-10-14,6.75,6.49,,,
2016-10-17,6.67,6.75,,,
2016-10-18,6.73,6.67,,,
2016-10-19,6.77,6.73,,,
2016-10-20,6.96,6.77,,,
2016-10-21,6.52,6.96,,,
2016-10-24,7.005,6.52,,,
2016-10-25,7.5,7.005,,,
2016-10-26,7.29,7.5,,,
2016-10-27,7.11,7.29,,,
2016-10-28,7.2,7.11,,,
2016-10-31,7.23,7.2,,,
2016-11-01,7.09,7.23,,,
2016-11-02,6.76,7.09,,,
2016-11-03,6.7,6.76,,,
2016-11-04,6.56,6.7,,,
2016-11-07,6.96,6.56,,,
2016-11-08,7.0,6.96,,,
2016-11-09,6.94,7.0,,,
2016-11-10,6.295,6.94,,,
2016-11-11,6.685,6.295,,,
2016-11-14,6.79,6.685,,,
2016-11-15,6.97,6.79,,,
2016-11-16,7.67,6.97,,,
2016-11-17,8.46,7.67,,,
2016-11-18,8.71,8.46,,,
2016-11-21,8.94,8.71,,,
2016-11-22,8.69,8.94,,,
2016-11-23,8.8,8.69,,,
2016-11-24,8.8,8.8,,,
2016-11-25,8.77,8.8,,,
2016-11-28,8.83,8.77,,,
2016-11-29,8.93,8.83,,,
2016-11-30,8.91,8.93,,,
2016-12-01,8.39,8.91,,,
2016-12-02,8.53,8.39,,,
2016-12-05,8.68,8.53,,,
2016-12-06,9.45,8.68,,,
2016-12-07,9.56,9.45,,,
2016-12-08,10.34,9.56,,,
2016-12-09,10.34,10.34,,,
2016-12-12,10.68,10.34,,,
2016-12-13,10.54,10.68,,,
2016-12-14,10.55,10.54,,,
2016-12-15,10.86,10.55,,,
2016-12-16,10.66,10.86,,,
2016-12-19,10.95,10.66,,,
2016-12-20,11.51,10.95,,,
2016-12-21,11.47,11.51,,,
2016-12-22,11.6,11.47,,,
2016-12-23,11.58,11.6,,,
2016-12-26,11.58,11.58,,,
2016-12-27,12.07,11.58,,,
2016-12-28,11.55,12.07,,,
2016-12-29,11.59,11.55,,,
2016-12-30,11.34,11.59,,,
2017-01-02,11.34,11.34,,,
2017-01-03,11.43,11.34,,,
2017-01-04,11.43,11.43,,,
2017-01-05,11.24,11.43,,,
2017-01-06,11.32,11.24,,,
2017-01-09,11.49,11.32,,,
2017-01-10,11.44,11.49,,,
2017-01-11,11.2,11.44,,,
2017-01-12,10.76,11.2,,,
2017-01-13,10.58,10.76,,,
2017-01-16,10.58,10.58,,,
2017-01-17,9.82,10.58,,,
2017-01-18,9.88,9.82,,,
2017-01-19,9.77,9.88,,,
2017-01-20,9.75,9.77,,,
2017-01-23,9.91,9.75,,,
2017-01-24,10.44,9.91,,,
2017-01-25,10.35,10.44,,,
2017-01-26,10.52,10.35,,,
2017-01-27,10.67,10.52,,,
2017-01-30,10.61,10.67,,,
2017-01-31,10.37,10.61,,,
2017-02-01,12.06,10.37,,,
2017-02-02,12.28,12.06,,,
2017-02-03,12.24,12.28,,,
2017-02-06,13.63,12.24,,,
2017-02-07,13.29,13.63,,,
2017-02-08,13.56,13.29,,,
2017-02-09,13.42,13.56,,,
2017-02-10,13.58,13.42,,,
2017-02-13,13.49,13.58,,,
2017-02-14,13.26,13.49,,,
2017-02-15,13.3,13.26,,,
2017-02-16,12.97,13.3,,,
2017-02-17,13.13,12.97,,,
2017-02-20,13.13,13.13,,,
2017-02-21,14.0,13.13,,,
2017-02-22,14.28,14.0,,,
2017-02-23,14.32,14.28,,,
2017-02-24,14.12,14.32,,,
2017-02-27,15.2,14.12,,,
2017-02-28,14.46,15.2,,,
2017-03-01,14.96,14.46,,,
2017-03-02,13.9,14.96,,,
2017-03-03,13.03,13.9,,,
2017-03-06,13.04,13.03,,,
2017-03-07,13.05,13.04,,,
2017-03-08,13.22,13.05,,,
2017-03-09,13.33,13.22,,,
2017-03-10,13.91,13.33,,,
