Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,161.94,163.61,,,
2016-05-10,167.58,161.94,,,
2016-05-11,165.42,167.58,,,
2016-05-12,168.34,165.42,,,
2016-05-13,162.92,168.34,,,
2016-05-16,163.87,162.92,,,
2016-05-17,162.51,163.87,,,
2016-05-18,165.22,162.51,,,
2016-05-19,161.75,165.22,,,
2016-05-20,165.35,161.75,,,
2016-05-23,164.89,165.35,,,
2016-05-24,170.66,164.89,,,
2016-05-25,171.64,170.66,,,
2016-05-26,170.3,171.64,,,
2016-05-27,172.48,170.3,,,
2016-05-30,172.48,172.48,,,
2016-05-31,173.52,172.48,,,
2016-06-01,172.72,173.52,,,
2016-06-02,172.33,172.72,,,
2016-06-03,171.52,172.33,,,
2016-06-06,175.48,171.52,,,
2016-06-07,171.73,175.48,,,
2016-06-08,170.94,171.73,,,
2016-06-09,166.51,170.94,,,
2016-06-10,159.68,166.51,,,
2016-06-13,156.99,159.68,,,
2016-06-14,154.17,156.99,,,
2016-06-15,153.84,154.17,,,
2016-06-16,151.99,153.84,,,
2016-06-17,151.72,151.99,,,
2016-06-20,153.23,151.72,,,
2016-06-21,153.21,153.23,,,
2016-06-22,154.37,153.21,,,
2016-06-23,159.56,154.37,,,
2016-06-24,141.1,159.56,,,
2016-06-27,132.73,141.1,,,
2016-06-28,136.54,132.73,,,
2016-06-29,140.02,136.54,,,
2016-06-30,140.77,140.02,,,
2016-07-01,138.47,140.77,,,
2016-07-04,138.47,138.47,,,
2016-07-05,134.19,138.47,,,
2016-07-06,132.45,134.19,,,
2016-07-07,134.36,132.45,,,
2016-07-08,138.85,134.36,,,
2016-07-11,139.97,138.85,,,
2016-07-12,143.74,139.97,,,
2016-07-13,142.92,143.74,,,
2016-07-14,144.23,142.92,,,
2016-07-15,144.64,144.23,,,
2016-07-18,146.42,144.64,,,
2016-07-19,145.98,146.42,,,
2016-07-20,146.61,145.98,,,
2016-07-21,145.94,146.61,,,
2016-07-22,145.73,145.94,,,
2016-07-25,144.4,145.73,,,
2016-07-26,144.94,144.4,,,
2016-07-27,145.84,144.94,,,
2016-07-28,146.32,145.84,,,
2016-07-29,146.78,146.32,,,
2016-08-01,144.49,146.78,,,
2016-08-02,141.03,144.49,,,
2016-08-03,143.63,141.03,,,
2016-08-04,142.22,143.63,,,
2016-08-05,146.28,142.22,,,
2016-08-08,144.82,146.28,,,
2016-08-09,144.03,144.82,,,
2016-08-10,143.47,144.03,,,
2016-08-11,143.81,143.47,,,
2016-08-12,143.13,143.81,,,
2016-08-15,143.88,143.13,,,
2016-08-16,141.26,143.88,,,
2016-08-17,141.8,141.26,,,
2016-08-18,141.75,141.8,,,
2016-08-19,141.73,141.75,,,
2016-08-22,140.72,141.73,,,
2016-08-23,143.65,140.72,,,
2016-08-24,141.21,143.65,,,
2016-08-25,140.34,141.21,,,
2016-08-26,142.49,140.34,,,
2016-08-29,142.37,142.49,,,
2016-08-30,143.75,142.37,,,
2016-08-31,142.05,143.75,,,
2016-09-01,139.81,142.05,,,
2016-09-02,140.45,139.81,,,
2016-09-05,140.45,140.45,,,
2016-09-06,141.81,140.45,,,
