Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,38.85,38.965,,,
2016-05-10,39.4,38.85,,,
2016-05-11,39.17,39.4,,,
2016-05-12,39.295,39.17,,,
2016-05-13,39.125,39.295,,,
2016-05-16,39.525,39.125,,,
2016-05-17,39.4,39.525,,,
2016-05-18,40.1,39.4,,,
2016-05-19,39.8,40.1,,,
2016-05-20,40.26,39.8,,,
2016-05-23,40.3,40.26,,,
2016-05-24,41.515,40.3,,,
2016-05-25,41.65,41.515,,,
2016-05-26,41.475,41.65,,,
2016-05-27,41.67,41.475,,,
2016-05-30,41.67,41.67,,,
2016-05-31,41.15,41.67,,,
2016-06-01,41.245,41.15,,,
2016-06-02,41.345,41.245,,,
2016-06-03,41.01,41.345,,,
2016-06-06,41.425,41.01,,,
2016-06-07,41.92,41.425,,,
2016-06-08,42.58,41.92,,,
2016-06-09,42.61,42.58,,,
2016-06-10,41.84,42.61,,,
2016-06-13,41.575,41.84,,,
2016-06-14,41.53,41.575,,,
2016-06-15,41.82,41.53,,,
2016-06-16,41.92,41.82,,,
2016-06-17,42.22,41.92,,,
2016-06-20,42.675,42.22,,,
2016-06-21,42.4,42.675,,,
2016-06-22,42.44,42.4,,,
2016-06-23,43.34,42.44,,,
2016-06-24,41.885,43.34,,,
2016-06-27,40.925,41.885,,,
2016-06-28,41.84,40.925,,,
2016-06-29,42.8,41.84,,,
2016-06-30,44.055,42.8,,,
2016-07-01,43.605,44.055,,,
2016-07-04,43.605,43.605,,,
2016-07-05,43.265,43.605,,,
2016-07-06,43.61,43.265,,,
2016-07-07,43.74,43.61,,,
2016-07-08,44.62,43.74,,,
2016-07-11,45.14,44.62,,,
2016-07-12,45.48,45.14,,,
2016-07-13,45.23,45.48,,,
2016-07-14,45.325,45.23,,,
2016-07-15,45.48,45.325,,,
2016-07-18,45.675,45.48,,,
2016-07-19,45.19,45.675,,,
2016-07-20,45.285,45.19,,,
2016-07-21,44.825,45.285,,,
2016-07-22,44.78,44.825,,,
2016-07-25,44.38,44.78,,,
2016-07-26,46.86,44.38,,,
2016-07-27,46.845,46.86,,,
2016-07-28,46.785,46.845,,,
2016-07-29,46.445,46.785,,,
2016-08-01,46.4,46.445,,,
2016-08-02,46.225,46.4,,,
2016-08-03,46.625,46.225,,,
2016-08-04,46.695,46.625,,,
2016-08-05,47.175,46.695,,,
2016-08-08,46.895,47.175,,,
2016-08-09,47.175,46.895,,,
2016-08-10,47.17,47.175,,,
2016-08-11,47.43,47.17,,,
2016-08-12,47.05,47.43,,,
2016-08-15,47.375,47.05,,,
2016-08-16,46.755,47.375,,,
2016-08-17,46.795,46.755,,,
2016-08-18,46.95,46.795,,,
2016-08-19,47.105,46.95,,,
2016-08-22,47.325,47.105,,,
2016-08-23,47.895,47.325,,,
2016-08-24,47.635,47.895,,,
2016-08-25,47.75,47.635,,,
2016-08-26,47.66,47.75,,,
2016-08-29,48.315,47.66,,,
2016-08-30,48.42,48.315,,,
2016-08-31,48.24,48.42,,,
2016-09-01,48.18,48.24,,,
2016-09-02,48.49,48.18,,,
2016-09-05,48.49,48.49,,,
2016-09-06,47.89,48.49,,,
2016-09-07,47.98,47.89,,,
2016-09-08,48.415,47.98,,,
2016-09-09,45.54,48.415,,,
2016-09-12,46.505,45.54,,,
2016-09-13,45.8,46.505,,,
2016-09-14,45.855,45.8,,,
2016-09-15,46.64,45.855,,,
2016-09-16,46.07,46.64,,,
2016-09-19,46.58,46.07,,,
2016-09-20,46.64,46.58,,,
