Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,131.8435,133.6556,,,
2016-05-10,133.4244,131.8435,,,
2016-05-11,131.6679,133.4244,,,
2016-05-12,132.5184,131.6679,,,
2016-05-13,131.1224,132.5184,,,
2016-05-16,132.7126,131.1224,,,
2016-05-17,132.0931,132.7126,,,
2016-05-18,131.0022,132.0931,,,
2016-05-19,131.0022,131.0022,,,
2016-05-20,130.7619,131.0022,,,
2016-05-23,130.9745,130.7619,,,
2016-05-24,132.4814,130.9745,,,
2016-05-25,132.8327,132.4814,,,
2016-05-26,132.2688,132.8327,,,
2016-05-27,132.2596,132.2688,,,
2016-05-30,132.2596,132.2596,,,
2016-05-31,131.8713,132.2596,,,
2016-06-01,133.1286,131.8713,,,
2016-06-02,132.6663,133.1286,,,
2016-06-03,132.4352,132.6663,,,
2016-06-06,134.5708,132.4352,,,
2016-06-07,134.2842,134.5708,,,
2016-06-08,135.8004,134.2842,,,
2016-06-09,135.5323,135.8004,,,
2016-06-10,135.3382,135.5323,,,
2016-06-13,133.1563,135.3382,,,
2016-06-14,133.0361,133.1563,,,
2016-06-15,132.805,133.0361,,,
2016-06-16,133.4614,132.805,,,
2016-06-17,132.4907,133.4614,,,
2016-06-20,133.1656,132.4907,,,
2016-06-21,132.3428,133.1656,,,
2016-06-22,132.6663,132.3428,,,
2016-06-23,134.9961,132.6663,,,
2016-06-24,129.5415,134.9961,,,
2016-06-27,124.6416,129.5415,,,
2016-06-28,126.3982,124.6416,,,
2016-06-29,128.7464,126.3982,,,
2016-06-30,131.3166,128.7464,,,
2016-07-01,130.2996,131.3166,,,
2016-07-04,130.2996,130.2996,,,
2016-07-05,128.0346,130.2996,,,
2016-07-06,128.8389,128.0346,,,
2016-07-07,129.1255,128.8389,,,
2016-07-08,133.4522,129.1255,,,
2016-07-11,133.9237,133.4522,,,
2016-07-12,136.5493,133.9237,,,
2016-07-13,136.7526,136.5493,,,
2016-07-14,137.6587,136.7526,,,
2016-07-15,138.0747,137.6587,,,
2016-07-18,137.9268,138.0747,,,
2016-07-19,138.1024,137.9268,,,
2016-07-20,138.0747,138.1024,,,
2016-07-21,137.104,138.0747,,,
2016-07-22,137.409,137.104,,,
2016-07-25,137.3073,137.409,,,
2016-07-26,138.5369,137.3073,,,
2016-07-27,137.7604,138.5369,,,
2016-07-28,137.7419,137.7604,,,
2016-07-29,138.1394,137.7419,,,
2016-08-01,137.8898,138.1394,,,
2016-08-02,137.0392,137.8898,,,
2016-08-03,137.0207,137.0392,,,
2016-08-04,137.7511,137.0207,,,
2016-08-05,137.9453,137.7511,,,
2016-08-08,137.5292,137.9453,,,
2016-08-09,137.8436,137.5292,,,
2016-08-10,137.7788,137.8436,,,
2016-08-11,137.7973,137.7788,,,
2016-08-12,138.5277,137.7973,,,
2016-08-15,140.0809,138.5277,,,
2016-08-16,141.2365,140.0809,,,
2016-08-17,142.1148,141.2365,,,
2016-08-18,143.2704,142.1148,,,
2016-08-19,143.9268,143.2704,,,
2016-08-22,143.7419,143.9268,,,
