Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,96.46,95.65,,,
2016-05-10,96.03,96.46,,,
2016-05-11,93.98,96.03,,,
2016-05-12,93.72,93.98,,,
2016-05-13,94.85,93.72,,,
2016-05-16,96.31,94.85,,,
2016-05-17,94.84,96.31,,,
2016-05-18,94.29,94.84,,,
2016-05-19,93.53,94.29,,,
2016-05-20,95.63,93.53,,,
2016-05-23,95.72,95.63,,,
2016-05-24,98.0,95.72,,,
2016-05-25,98.26,98.0,,,
2016-05-26,96.47,98.26,,,
2016-05-27,96.58,96.47,,,
2016-05-30,96.58,96.58,,,
2016-05-31,96.9,96.58,,,
2016-06-01,96.47,96.9,,,
2016-06-02,97.29,96.47,,,
2016-06-03,97.66,97.29,,,
2016-06-06,96.51,97.66,,,
2016-06-07,96.54,96.51,,,
2016-06-08,97.09,96.54,,,
2016-06-09,98.16,97.09,,,
2016-06-10,98.6,98.16,,,
2016-06-13,98.52,98.6,,,
2016-06-14,97.89,98.52,,,
2016-06-15,98.46,97.89,,,
2016-06-16,98.61,98.46,,,
2016-06-17,98.11,98.61,,,
2016-06-20,97.92,98.11,,,
2016-06-21,97.92,97.92,,,
2016-06-22,98.46,97.92,,,
2016-06-23,99.24,98.46,,,
2016-06-24,99.36,99.24,,,
2016-06-27,99.13,99.36,,,
2016-06-28,99.86,99.13,,,
2016-06-29,101.79,99.86,,,
2016-06-30,103.52,101.79,,,
2016-07-01,104.24,103.52,,,
2016-07-04,104.24,104.24,,,
2016-07-05,105.03,104.24,,,
2016-07-06,105.33,105.03,,,
2016-07-07,101.27,105.33,,,
2016-07-08,102.79,101.27,,,
2016-07-11,103.73,102.79,,,
2016-07-12,103.09,103.73,,,
2016-07-13,104.42,103.09,,,
2016-07-14,103.76,104.42,,,
2016-07-15,103.67,103.76,,,
2016-07-18,104.53,103.67,,,
2016-07-19,104.92,104.53,,,
2016-07-20,106.31,104.92,,,
2016-07-21,107.19,106.31,,,
2016-07-22,108.81,107.19,,,
2016-07-25,109.29,108.81,,,
2016-07-26,109.26,109.29,,,
2016-07-27,108.8,109.26,,,
2016-07-28,111.03,108.8,,,
2016-07-29,112.3,111.03,,,
2016-08-01,112.55,112.3,,,
2016-08-02,109.48,112.55,,,
2016-08-03,110.77,109.48,,,
2016-08-04,112.38,110.77,,,
2016-08-05,111.41,112.38,,,
2016-08-08,112.14,111.41,,,
2016-08-09,112.71,112.14,,,
2016-08-10,111.12,112.71,,,
2016-08-11,110.72,111.12,,,
2016-08-12,112.45,110.72,,,
2016-08-15,110.75,112.45,,,
2016-08-16,109.84,110.75,,,
2016-08-17,109.54,109.84,,,
2016-08-18,110.2,109.54,,,
2016-08-19,109.28,110.2,,,
2016-08-22,109.9,109.28,,,
2016-08-23,109.68,109.9,,,
2016-08-24,109.01,109.68,,,
2016-08-25,109.24,109.01,,,
2016-08-26,108.27,109.24,,,
2016-08-29,109.74,108.27,,,
2016-08-30,110.29,109.74,,,
2016-08-31,110.09,110.29,,,
2016-09-01,109.99,110.09,,,
2016-09-02,111.85,109.99,,,
2016-09-05,111.85,111.85,,,
2016-09-06,112.41,111.85,,,
2016-09-07,114.52,112.41,,,
2016-09-08,113.59,114.52,,,
2016-09-09,106.31,113.59,,,
2016-09-12,108.82,106.31,,,
2016-09-13,104.43,108.82,,,
2016-09-14,105.18,104.43,,,
2016-09-15,105.67,105.18,,,
2016-09-16,106.25,105.67,,,
2016-09-19,108.0,106.25,,,
2016-09-20,108.06,108.0,,,
2016-09-21,110.36,108.06,,,
2016-09-22,113.03,110.36,,,
2016-09-23,113.39,113.03,,,
2016-09-26,113.81,113.39,,,
2016-09-27,112.54,113.81,,,
2016-09-28,112.8,112.54,,,
2016-09-29,109.79,112.8,,,
2016-09-30,108.77,109.79,,,
2016-10-03,106.31,108.77,,,
2016-10-04,105.53,106.31,,,
2016-10-05,103.44,105.53,,,
2016-10-06,104.03,103.44,,,
2016-10-07,103.88,104.03,,,
2016-10-10,104.2,103.88,,,
2016-10-11,101.92,104.2,,,
2016-10-12,103.25,101.92,,,
2016-10-13,103.9,103.25,,,
2016-10-14,103.87,103.9,,,
2016-10-17,104.16,103.87,,,
2016-10-18,105.05,104.16,,,
2016-10-19,105.28,105.05,,,
2016-10-20,106.32,105.28,,,
2016-10-21,106.75,106.32,,,
2016-10-24,106.72,106.75,,,
2016-10-25,107.34,106.72,,,
2016-10-26,106.16,107.34,,,
2016-10-27,105.12,106.16,,,
2016-10-28,104.91,105.12,,,
2016-10-31,107.81,104.91,,,
2016-11-01,107.35,107.81,,,
2016-11-02,104.55,107.35,,,
2016-11-03,102.5,104.55,,,
2016-11-04,103.0,102.5,,,
2016-11-07,106.03,103.0,,,
2016-11-08,107.08,106.03,,,
2016-11-09,109.06,107.08,,,
2016-11-10,105.93,109.06,,,
2016-11-11,104.46,105.93,,,
2016-11-14,106.24,104.46,,,
2016-11-15,106.6,106.24,,,
2016-11-16,106.9,106.6,,,
2016-11-17,107.31,106.9,,,
2016-11-18,107.4,107.31,,,
2016-11-21,108.55,107.4,,,
2016-11-22,111.07,108.55,,,
2016-11-23,110.62,111.07,,,
2016-11-24,110.62,110.62,,,
2016-11-25,111.96,110.62,,,
2016-11-28,112.12,111.96,,,
2016-11-29,111.72,112.12,,,
2016-11-30,109.59,111.72,,,
2016-12-01,107.16,109.59,,,
2016-12-02,108.94,107.16,,,
2016-12-05,110.07,108.94,,,
2016-12-06,111.0,110.07,,,
2016-12-07,111.0,111.0,,,
2016-12-08,110.62,111.0,,,
2016-12-09,109.92,110.62,,,
2016-12-12,109.73,109.92,,,
2016-12-13,108.99,109.73,,,
2016-12-14,106.87,108.99,,,
2016-12-15,106.0,106.87,,,
2016-12-16,107.97,106.0,,,
2016-12-19,109.65,107.97,,,
2016-12-20,111.01,109.65,,,
2016-12-21,109.03,111.01,,,
2016-12-22,108.52,109.03,,,
2016-12-23,109.3,108.52,,,
2016-12-26,109.3,109.3,,,
2016-12-27,109.63,109.3,,,
2016-12-28,108.54,109.63,,,
2016-12-29,110.45,108.54,,,
2016-12-30,111.13,110.45,,,
2017-01-02,111.13,111.13,,,
2017-01-03,110.58,111.13,,,
2017-01-04,113.38,110.58,,,
2017-01-05,112.97,113.38,,,
2017-01-06,112.21,112.97,,,
2017-01-09,111.05,112.21,,,
2017-01-10,110.85,111.05,,,
2017-01-11,109.61,110.85,,,
2017-01-12,109.31,109.61,,,
2017-01-13,109.55,109.31,,,
2017-01-16,109.55,109.55,,,
2017-01-17,110.52,109.55,,,
2017-01-18,111.02,110.52,,,
2017-01-19,109.91,111.02,,,
2017-01-20,111.15,109.91,,,
2017-01-23,113.43,111.15,,,
2017-01-24,114.12,113.43,,,
2017-01-25,113.4,114.12,,,
2017-01-26,113.3,113.4,,,
2017-01-27,112.79,113.3,,,
2017-01-30,112.16,112.79,,,
2017-01-31,110.82,112.16,,,
2017-02-01,108.28,110.82,,,
2017-02-02,109.06,108.28,,,
2017-02-03,110.64,109.06,,,
2017-02-06,112.69,110.64,,,
2017-02-07,113.24,112.69,,,
2017-02-08,114.54,113.24,,,
2017-02-09,114.98,114.54,,,
2017-02-10,114.37,114.98,,,
2017-02-13,114.26,114.37,,,
2017-02-14,114.98,114.26,,,
2017-02-15,115.23,114.98,,,
2017-02-16,115.82,115.23,,,
2017-02-17,116.38,115.82,,,
2017-02-20,116.38,116.38,,,
2017-02-21,118.47,116.38,,,
2017-02-22,118.49,118.47,,,
2017-02-23,118.87,118.49,,,
2017-02-24,120.2,118.87,,,
2017-02-27,120.47,120.2,,,
2017-02-28,119.31,120.47,,,
2017-03-01,118.18,119.31,,,
2017-03-02,117.01,118.18,,,
2017-03-03,117.59,117.01,,,
2017-03-06,117.51,117.59,,,
2017-03-07,117.16,117.51,,,
2017-03-08,115.69,117.16,,,
2017-03-09,113.7,115.69,,,
2017-03-10,108.81,113.7,,,
2017-03-13,109.09,108.81,,,
2017-03-14,108.18,109.09,,,
2017-03-15,110.41,108.18,,,
2017-03-16,109.87,110.41,,,
2017-03-17,110.27,109.87,,,
2017-03-20,109.97,110.27,,,
2017-03-21,110.7,109.97,,,
2017-03-22,111.38,110.7,,,
2017-03-23,112.09,111.38,,,
2017-03-24,111.36,112.09,,,
2017-03-27,110.41,111.36,,,
2017-03-28,110.67,110.41,,,
2017-03-29,109.82,110.67,,,
2017-03-30,109.82,109.82,,,
2017-03-31,110.52,109.82,,,
2017-04-03,110.75,110.52,,,
2017-04-04,111.24,110.75,,,
2017-04-05,110.96,111.24,,,
2017-04-06,112.18,110.96,,,
2017-04-07,111.67,112.18,,,
2017-04-10,112.77,111.67,,,
2017-04-11,113.63,112.77,,,
2017-04-12,113.63,113.63,,,
2017-04-13,113.54,113.63,,,
2017-04-14,113.54,113.54,,,
2017-04-17,115.07,113.54,,,
2017-04-18,115.34,115.07,,,
2017-04-19,115.66,115.34,,,
2017-04-20,115.94,115.66,,,
2017-04-21,115.43,115.94,,,
2017-04-24,113.2,115.43,,,
2017-04-25,114.33,113.2,,,
2017-04-26,113.59,114.33,,,
2017-04-27,112.96,113.59,,,
2017-04-28,112.51,112.96,,,
2017-05-01,112.82,112.51,,,
2017-05-02,114.56,112.82,,,
2017-05-03,113.32,114.56,,,
2017-05-04,114.28,113.32,,,
2017-05-05,114.83,114.28,,,
2017-05-08,114.72,114.83,,,
2017-05-09,113.52,114.72,,,
2017-05-10,114.53,113.52,,,
2017-05-11,115.07,114.53,,,
2017-05-12,115.85,115.07,,,
2017-05-15,115.85,115.85,,,
2017-05-16,115.84,115.85,,,
2017-05-17,116.53,115.84,,,
2017-05-18,117.09,116.53,,,
2017-05-19,117.67,117.09,,,
2017-05-22,117.9,117.67,,,
2017-05-23,118.61,117.9,,,
2017-05-24,118.28,118.61,,,
2017-05-25,117.36,118.28,,,
2017-05-26,117.27,117.36,,,
2017-05-29,117.27,117.27,,,
2017-05-30,117.0,117.27,,,
2017-05-31,116.68,117.0,,,
2017-06-01,117.94,116.68,,,
2017-06-02,120.04,117.94,,,
2017-06-05,120.34,120.04,,,
2017-06-06,118.57,120.34,,,
2017-06-07,118.88,118.57,,,
2017-06-08,118.55,118.88,,,
2017-06-09,118.63,118.55,,,
