Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,37.15,37.87,,,
2016-05-10,36.41,37.15,,,
2016-05-11,37.11,36.41,,,
2016-05-12,37.91,37.11,,,
2016-05-13,38.29,37.91,,,
2016-05-16,39.39,38.29,,,
2016-05-17,38.12,39.39,,,
2016-05-18,38.47,38.12,,,
2016-05-19,37.8,38.47,,,
2016-05-20,37.53,37.8,,,
2016-05-23,37.73,37.53,,,
2016-05-24,39.02,37.73,,,
2016-05-25,38.95,39.02,,,
2016-05-26,39.095,38.95,,,
2016-05-27,39.34,39.095,,,
2016-05-30,39.34,39.34,,,
2016-05-31,39.26,39.34,,,
2016-06-01,38.65,39.26,,,
2016-06-02,38.69,38.65,,,
2016-06-03,37.81,38.69,,,
2016-06-06,37.76,37.81,,,
2016-06-07,38.13,37.76,,,
2016-06-08,38.12,38.13,,,
2016-06-09,38.54,38.12,,,
2016-06-10,37.77,38.54,,,
2016-06-13,37.63,37.77,,,
2016-06-14,38.41,37.63,,,
2016-06-15,38.33,38.41,,,
2016-06-16,39.03,38.33,,,
2016-06-17,38.08,39.03,,,
2016-06-20,38.69,38.08,,,
2016-06-21,38.66,38.69,,,
2016-06-22,38.32,38.66,,,
2016-06-23,38.92,38.32,,,
2016-06-24,36.98,38.92,,,
2016-06-27,36.15,36.98,,,
2016-06-28,37.18,36.15,,,
2016-06-29,38.02,37.18,,,
2016-06-30,39.63,38.02,,,
2016-07-01,39.61,39.63,,,
2016-07-04,39.61,39.61,,,
2016-07-05,40.15,39.61,,,
2016-07-06,40.51,40.15,,,
2016-07-07,40.39,40.51,,,
2016-07-08,41.29,40.39,,,
2016-07-11,42.2,41.29,,,
2016-07-12,42.66,42.2,,,
2016-07-13,42.11,42.66,,,
2016-07-14,41.85,42.11,,,
2016-07-15,42.2,41.85,,,
2016-07-18,42.14,42.2,,,
2016-07-19,41.52,42.14,,,
2016-07-20,41.38,41.52,,,
2016-07-21,41.27,41.38,,,
2016-07-22,41.44,41.27,,,
2016-07-25,42.4,41.44,,,
2016-07-26,41.56,42.4,,,
2016-07-27,40.89,41.56,,,
2016-07-28,40.27,40.89,,,
2016-07-29,40.16,40.27,,,
2016-08-01,40.07,40.16,,,
2016-08-02,39.75,40.07,,,
2016-08-03,40.38,39.75,,,
2016-08-04,40.83,40.38,,,
2016-08-05,40.56,40.83,,,
2016-08-08,40.61,40.56,,,
2016-08-09,41.25,40.61,,,
2016-08-10,41.1,41.25,,,
2016-08-11,41.31,41.1,,,
2016-08-12,41.14,41.31,,,
2016-08-15,41.48,41.14,,,
2016-08-16,39.31,41.48,,,
2016-08-17,39.88,39.31,,,
2016-08-18,40.02,39.88,,,
2016-08-19,39.98,40.02,,,
2016-08-22,40.12,39.98,,,
2016-08-23,40.64,40.12,,,
2016-08-24,40.67,40.64,,,
2016-08-25,40.99,40.67,,,
2016-08-26,41.05,40.99,,,
2016-08-29,41.29,41.05,,,
2016-08-30,41.58,41.29,,,
2016-08-31,41.37,41.58,,,
2016-09-01,42.15,41.37,,,
2016-09-02,42.8,42.15,,,
2016-09-05,42.8,42.8,,,
2016-09-06,43.51,42.8,,,
2016-09-07,43.38,43.51,,,
2016-09-08,43.3,43.38,,,
2016-09-09,42.29,43.3,,,
2016-09-12,43.46,42.29,,,
2016-09-13,43.41,43.46,,,
2016-09-14,43.66,43.41,,,
2016-09-15,44.59,43.66,,,
2016-09-16,44.42,44.59,,,
