Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,248.81,245.51,,,
2016-05-10,252.36,248.81,,,
2016-05-11,251.93,252.36,,,
2016-05-12,252.05,251.93,,,
2016-05-13,247.34,252.05,,,
2016-05-16,251.52,247.34,,,
2016-05-17,247.62,251.52,,,
2016-05-18,248.37,247.62,,,
2016-05-19,245.9,248.37,,,
2016-05-20,250.84,245.9,,,
2016-05-23,250.94,250.84,,,
2016-05-24,256.18,250.94,,,
2016-05-25,255.8,256.18,,,
2016-05-26,255.13,255.8,,,
2016-05-27,256.21,255.13,,,
2016-05-30,256.21,256.21,,,
2016-05-31,259.04,256.21,,,
2016-06-01,255.14,259.04,,,
2016-06-02,255.53,255.14,,,
2016-06-03,254.69,255.53,,,
2016-06-06,252.05,254.69,,,
2016-06-07,258.14,252.05,,,
2016-06-08,259.45,258.14,,,
2016-06-09,258.4,259.45,,,
2016-06-10,251.59,258.4,,,
2016-06-13,251.03,251.59,,,
2016-06-14,247.07,251.03,,,
2016-06-15,249.47,247.07,,,
2016-06-16,247.43,249.47,,,
2016-06-17,244.58,247.43,,,
2016-06-20,249.23,244.58,,,
2016-06-21,250.21,249.23,,,
2016-06-22,249.91,250.21,,,
2016-06-23,254.89,249.91,,,
2016-06-24,246.67,254.89,,,
2016-06-27,232.92,246.67,,,
2016-06-28,244.66,232.92,,,
2016-06-29,246.61,244.66,,,
2016-06-30,247.96,246.61,,,
2016-07-01,250.25,247.96,,,
2016-07-04,250.25,250.25,,,
2016-07-05,246.99,250.25,,,
2016-07-06,251.24,246.99,,,
2016-07-07,253.63,251.24,,,
2016-07-08,264.62,253.63,,,
2016-07-11,268.02,264.62,,,
2016-07-12,267.79,268.02,,,
2016-07-13,261.16,267.79,,,
2016-07-14,265.28,261.16,,,
2016-07-15,265.42,265.28,,,
2016-07-18,263.69,265.42,,,
2016-07-19,266.7,263.69,,,
2016-07-20,267.82,266.7,,,
