Date,X_t,X_t-1,X_t-2,X_t-3,X_t-4,X_t-5,X_t-6,X_t-7,X_t-8,X_t-9,X_t-10,X_t-11,X_t-12,X_t-13,X_t-14,X_t-15,X_t-16,X_t-17,X_t-18,X_t-19,X_t-20,X_t-21,X_t-22,X_t-23,X_t-24,X_t-25,Pos_t-1,Neu_t-1,Neg_t-1
2017-06-14,107.23,108.43,107.44,108.41,108.32,108.93,109.14,109.34,109.94,109.72,108.77,107.89,107.98,107.98,108.14,106.54,106.51,106.55,105.89,105.65,105.12,106.39,107.59,106.47,107.41,107.85,,,
2017-06-15,107.73,107.23,108.43,107.44,108.41,108.32,108.93,109.14,109.34,109.94,109.72,108.77,107.89,107.98,107.98,108.14,106.54,106.51,106.55,105.89,105.65,105.12,106.39,107.59,106.47,107.41,,,
2017-06-16,107.67,107.73,107.23,108.43,107.44,108.41,108.32,108.93,109.14,109.34,109.94,109.72,108.77,107.89,107.98,107.98,108.14,106.54,106.51,106.55,105.89,105.65,105.12,106.39,107.59,106.47,,,
2017-06-19,108.14,107.67,107.73,107.23,108.43,107.44,108.41,108.32,108.93,109.14,109.34,109.94,109.72,108.77,107.89,107.98,107.98,108.14,106.54,106.51,106.55,105.89,105.65,105.12,106.39,107.59,,,
2017-06-20,108.34,108.14,107.67,107.73,107.23,108.43,107.44,108.41,108.32,108.93,109.14,109.34,109.94,109.72,108.77,107.89,107.98,107.98,108.14,106.54,106.51,106.55,105.89,105.65,105.12,106.39,,,
2017-06-21,109.03,108.34,108.14,107.67,107.73,107.23,108.43,107.44,108.41,108.32,108.93,109.14,109.34,109.94,109.72,108.77,107.89,107.98,107.98,108.14,106.54,106.51,106.55,105.89,105.65,105.12,,,
2017-06-22,109.56,109.03,108.34,108.14,107.67,107.73,107.23,108.43,107.44,108.41,108.32,108.93,109.14,109.34,109.94,109.72,108.77,107.89,107.98,107.98,108.14,106.54,106.51,106.55,105.89,105.65,,,
2017-06-23,109.7,109.56,109.03,108.34,108.14,107.67,107.73,107.23,108.43,107.44,108.41,108.32,108.93,109.14,109.34,109.94,109.72,108.77,107.89,107.98,107.98,108.14,106.54,106.51,106.55,105.89,,,
2017-06-26,110.05,109.7,109.56,109.03,108.34,108.14,107.67,107.73,107.23,108.43,107.44,108.41,108.32,108.93,109.14,109.34,109.94,109.72,108.77,107.89,107.98,107.98,108.14,106.54,106.51,106.55,,,
2017-06-27,109.47,110.05,109.7,109.56,109.03,108.34,108.14,107.67,107.73,107.23,108.43,107.44,108.41,108.32,108.93,109.14,109.34,109.94,109.72,108.77,107.89,107.98,107.98,108.14,106.54,106.51,,,
2017-06-28,111.11,109.47,110.05,109.7,109.56,109.03,108.34,108.14,107.67,107.73,107.23,108.43,107.44,108.41,108.32,108.93,109.14,109.34,109.94,109.72,108.77,107.89,107.98,107.98,108.14,106.54,,,
2017-06-29,110.54,111.11,109.47,110.05,109.7,109.56,109.03,108.34,108.14,107.67,107.73,107.23,108.43,107.44,108.41,108.32,108.93,109.14,109.34,109.94,109.72,108.77,107.89,107.98,107.98,108.14,,,
2017-06-30,111.16,110.54,111.11,109.47,110.05,109.7,109.56,109.03,108.34,108.14,107.67,107.73,107.23,108.43,107.44,108.41,108.32,108.93,109.14,109.34,109.94,109.72,108.77,107.89,107.98,107.98,,,
2017-07-03,110.66,111.16,110.54,111.11,109.47,110.05,109.7,109.56,109.03,108.34,108.14,107.67,107.73,107.23,108.43,107.44,108.41,108.32,108.93,109.14,109.34,109.94,109.72,108.77,107.89,107.98,,,
2017-07-04,110.66,110.66,111.16,110.54,111.11,109.47,110.05,109.7,109.56,109.03,108.34,108.14,107.67,107.73,107.23,108.43,107.44,108.41,108.32,108.93,109.14,109.34,109.94,109.72,108.77,107.89,,,
2017-07-05,110.79,110.66,110.66,111.16,110.54,111.11,109.47,110.05,109.7,109.56,109.03,108.34,108.14,107.67,107.73,107.23,108.43,107.44,108.41,108.32,108.93,109.14,109.34,109.94,109.72,108.77,,,
2017-07-06,109.01,110.79,110.66,110.66,111.16,110.54,111.11,109.47,110.05,109.7,109.56,109.03,108.34,108.14,107.67,107.73,107.23,108.43,107.44,108.41,108.32,108.93,109.14,109.34,109.94,109.72,,,
2017-07-07,109.73,109.01,110.79,110.66,110.66,111.16,110.54,111.11,109.47,110.05,109.7,109.56,109.03,108.34,108.14,107.67,107.73,107.23,108.43,107.44,108.41,108.32,108.93,109.14,109.34,109.94,,,
2017-07-10,108.59,109.73,109.01,110.79,110.66,110.66,111.16,110.54,111.11,109.47,110.05,109.7,109.56,109.03,108.34,108.14,107.67,107.73,107.23,108.43,107.44,108.41,108.32,108.93,109.14,109.34,,,
2017-07-11,108.56,108.59,109.73,109.01,110.79,110.66,110.66,111.16,110.54,111.11,109.47,110.05,109.7,109.56,109.03,108.34,108.14,107.67,107.73,107.23,108.43,107.44,108.41,108.32,108.93,109.14,,,
2017-07-12,108.9,108.56,108.59,109.73,109.01,110.79,110.66,110.66,111.16,110.54,111.11,109.47,110.05,109.7,109.56,109.03,108.34,108.14,107.67,107.73,107.23,108.43,107.44,108.41,108.32,108.93,,,
2017-07-13,108.67,108.9,108.56,108.59,109.73,109.01,110.79,110.66,110.66,111.16,110.54,111.11,109.47,110.05,109.7,109.56,109.03,108.34,108.14,107.67,107.73,107.23,108.43,107.44,108.41,108.32,,,
2017-07-14,109.03,108.67,108.9,108.56,108.59,109.73,109.01,110.79,110.66,110.66,111.16,110.54,111.11,109.47,110.05,109.7,109.56,109.03,108.34,108.14,107.67,107.73,107.23,108.43,107.44,108.41,,,
2017-07-17,109.66,109.03,108.67,108.9,108.56,108.59,109.73,109.01,110.79,110.66,110.66,111.16,110.54,111.11,109.47,110.05,109.7,109.56,109.03,108.34,108.14,107.67,107.73,107.23,108.43,107.44,,,
2017-07-18,109.61,109.66,109.03,108.67,108.9,108.56,108.59,109.73,109.01,110.79,110.66,110.66,111.16,110.54,111.11,109.47,110.05,109.7,109.56,109.03,108.34,108.14,107.67,107.73,107.23,108.43,,,
2017-07-19,109.93,109.61,109.66,109.03,108.67,108.9,108.56,108.59,109.73,109.01,110.79,110.66,110.66,111.16,110.54,111.11,109.47,110.05,109.7,109.56,109.03,108.34,108.14,107.67,107.73,107.23,,,
2017-07-20,109.65,109.93,109.61,109.66,109.03,108.67,108.9,108.56,108.59,109.73,109.01,110.79,110.66,110.66,111.16,110.54,111.11,109.47,110.05,109.7,109.56,109.03,108.34,108.14,107.67,107.73,,,
2017-07-21,109.39,109.65,109.93,109.61,109.66,109.03,108.67,108.9,108.56,108.59,109.73,109.01,110.79,110.66,110.66,111.16,110.54,111.11,109.47,110.05,109.7,109.56,109.03,108.34,108.14,107.67,,,
2017-07-24,109.44,109.39,109.65,109.93,109.61,109.66,109.03,108.67,108.9,108.56,108.59,109.73,109.01,110.79,110.66,110.66,111.16,110.54,111.11,109.47,110.05,109.7,109.56,109.03,108.34,108.14,,,
2017-07-25,108.18,109.44,109.39,109.65,109.93,109.61,109.66,109.03,108.67,108.9,108.56,108.59,109.73,109.01,110.79,110.66,110.66,111.16,110.54,111.11,109.47,110.05,109.7,109.56,109.03,108.34,,,
2017-07-26,108.22,108.18,109.44,109.39,109.65,109.93,109.61,109.66,109.03,108.67,108.9,108.56,108.59,109.73,109.01,110.79,110.66,110.66,111.16,110.54,111.11,109.47,110.05,109.7,109.56,109.03,,,
2017-07-27,108.99,108.22,108.18,109.44,109.39,109.65,109.93,109.61,109.66,109.03,108.67,108.9,108.56,108.59,109.73,109.01,110.79,110.66,110.66,111.16,110.54,111.11,109.47,110.05,109.7,109.56,,,
2017-07-28,109.51,108.99,108.22,108.18,109.44,109.39,109.65,109.93,109.61,109.66,109.03,108.67,108.9,108.56,108.59,109.73,109.01,110.79,110.66,110.66,111.16,110.54,111.11,109.47,110.05,109.7,,,
2017-07-31,108.31,109.51,108.99,108.22,108.18,109.44,109.39,109.65,109.93,109.61,109.66,109.03,108.67,108.9,108.56,108.59,109.73,109.01,110.79,110.66,110.66,111.16,110.54,111.11,109.47,110.05,,,
2017-08-01,108.34,108.31,109.51,108.99,108.22,108.18,109.44,109.39,109.65,109.93,109.61,109.66,109.03,108.67,108.9,108.56,108.59,109.73,109.01,110.79,110.66,110.66,111.16,110.54,111.11,109.47,,,
2017-08-02,107.97,108.34,108.31,109.51,108.99,108.22,108.18,109.44,109.39,109.65,109.93,109.61,109.66,109.03,108.67,108.9,108.56,108.59,109.73,109.01,110.79,110.66,110.66,111.16,110.54,111.11,,,
2017-08-03,107.56,107.97,108.34,108.31,109.51,108.99,108.22,108.18,109.44,109.39,109.65,109.93,109.61,109.66,109.03,108.67,108.9,108.56,108.59,109.73,109.01,110.79,110.66,110.66,111.16,110.54,,,
2017-08-04,106.97,107.56,107.97,108.34,108.31,109.51,108.99,108.22,108.18,109.44,109.39,109.65,109.93,109.61,109.66,109.03,108.67,108.9,108.56,108.59,109.73,109.01,110.79,110.66,110.66,111.16,,,
2017-08-07,106.73,106.97,107.56,107.97,108.34,108.31,109.51,108.99,108.22,108.18,109.44,109.39,109.65,109.93,109.61,109.66,109.03,108.67,108.9,108.56,108.59,109.73,109.01,110.79,110.66,110.66,,,
2017-08-08,106.21,106.73,106.97,107.56,107.97,108.34,108.31,109.51,108.99,108.22,108.18,109.44,109.39,109.65,109.93,109.61,109.66,109.03,108.67,108.9,108.56,108.59,109.73,109.01,110.79,110.66,,,
2017-08-09,106.5,106.21,106.73,106.97,107.56,107.97,108.34,108.31,109.51,108.99,108.22,108.18,109.44,109.39,109.65,109.93,109.61,109.66,109.03,108.67,108.9,108.56,108.59,109.73,109.01,110.79,,,
2017-08-10,105.61,106.5,106.21,106.73,106.97,107.56,107.97,108.34,108.31,109.51,108.99,108.22,108.18,109.44,109.39,109.65,109.93,109.61,109.66,109.03,108.67,108.9,108.56,108.59,109.73,109.01,,,
2017-08-11,106.1,105.61,106.5,106.21,106.73,106.97,107.56,107.97,108.34,108.31,109.51,108.99,108.22,108.18,109.44,109.39,109.65,109.93,109.61,109.66,109.03,108.67,108.9,108.56,108.59,109.73,,,
2017-08-14,106.46,106.1,105.61,106.5,106.21,106.73,106.97,107.56,107.97,108.34,108.31,109.51,108.99,108.22,108.18,109.44,109.39,109.65,109.93,109.61,109.66,109.03,108.67,108.9,108.56,108.59,,,
2017-08-15,106.6,106.46,106.1,105.61,106.5,106.21,106.73,106.97,107.56,107.97,108.34,108.31,109.51,108.99,108.22,108.18,109.44,109.39,109.65,109.93,109.61,109.66,109.03,108.67,108.9,108.56,,,
2017-08-16,106.75,106.6,106.46,106.1,105.61,106.5,106.21,106.73,106.97,107.56,107.97,108.34,108.31,109.51,108.99,108.22,108.18,109.44,109.39,109.65,109.93,109.61,109.66,109.03,108.67,108.9,,,
2017-08-17,105.37,106.75,106.6,106.46,106.1,105.61,106.5,106.21,106.73,106.97,107.56,107.97,108.34,108.31,109.51,108.99,108.22,108.18,109.44,109.39,109.65,109.93,109.61,109.66,109.03,108.67,,,
2017-08-18,104.87,105.37,106.75,106.6,106.46,106.1,105.61,106.5,106.21,106.73,106.97,107.56,107.97,108.34,108.31,109.51,108.99,108.22,108.18,109.44,109.39,109.65,109.93,109.61,109.66,109.03,,,
2017-08-21,105.0,104.87,105.37,106.75,106.6,106.46,106.1,105.61,106.5,106.21,106.73,106.97,107.56,107.97,108.34,108.31,109.51,108.99,108.22,108.18,109.44,109.39,109.65,109.93,109.61,109.66,,,
2017-08-22,106.84,105.0,104.87,105.37,106.75,106.6,106.46,106.1,105.61,106.5,106.21,106.73,106.97,107.56,107.97,108.34,108.31,109.51,108.99,108.22,108.18,109.44,109.39,109.65,109.93,109.61,,,
