Date,X_t,X_t-1,X_t-2,X_t-3,X_t-4,X_t-5,X_t-6,X_t-7,X_t-8,X_t-9,X_t-10,X_t-11,X_t-12,X_t-13,X_t-14,X_t-15,X_t-16,X_t-17,X_t-18,X_t-19,X_t-20,X_t-21,X_t-22,X_t-23,X_t-24,X_t-25,Pos_t-1,Neu_t-1,Neg_t-1
2017-06-14,106.14,106.56,107.04,105.62,104.32,105.92,105.5,106.52,107.18,108.21,107.94,108.34,108.41,108.41,107.27,107.71,107.02,107.63,107.52,106.68,106.31,107.98,109.13,109.69,109.58,109.66,0.083,0.917,0.0
2017-06-15,105.98,106.14,106.56,107.04,105.62,104.32,105.92,105.5,106.52,107.18,108.21,107.94,108.34,108.41,108.41,107.27,107.71,107.02,107.63,107.52,106.68,106.31,107.98,109.13,109.69,109.58,,,
2017-06-16,105.51,105.98,106.14,106.56,107.04,105.62,104.32,105.92,105.5,106.52,107.18,108.21,107.94,108.34,108.41,108.41,107.27,107.71,107.02,107.63,107.52,106.68,106.31,107.98,109.13,109.69,,,
2017-06-19,105.37,105.51,105.98,106.14,106.56,107.04,105.62,104.32,105.92,105.5,106.52,107.18,108.21,107.94,108.34,108.41,108.41,107.27,107.71,107.02,107.63,107.52,106.68,106.31,107.98,109.13,,,
2017-06-20,103.94,105.37,105.51,105.98,106.14,106.56,107.04,105.62,104.32,105.92,105.5,106.52,107.18,108.21,107.94,108.34,108.41,108.41,107.27,107.71,107.02,107.63,107.52,106.68,106.31,107.98,,,
2017-06-21,104.8,103.94,105.37,105.51,105.98,106.14,106.56,107.04,105.62,104.32,105.92,105.5,106.52,107.18,108.21,107.94,108.34,108.41,108.41,107.27,107.71,107.02,107.63,107.52,106.68,106.31,,,
2017-06-22,104.22,104.8,103.94,105.37,105.51,105.98,106.14,106.56,107.04,105.62,104.32,105.92,105.5,106.52,107.18,108.21,107.94,108.34,108.41,108.41,107.27,107.71,107.02,107.63,107.52,106.68,,,
2017-06-23,104.36,104.22,104.8,103.94,105.37,105.51,105.98,106.14,106.56,107.04,105.62,104.32,105.92,105.5,106.52,107.18,108.21,107.94,108.34,108.41,108.41,107.27,107.71,107.02,107.63,107.52,,,
2017-06-26,105.57,104.36,104.22,104.8,103.94,105.37,105.51,105.98,106.14,106.56,107.04,105.62,104.32,105.92,105.5,106.52,107.18,108.21,107.94,108.34,108.41,108.41,107.27,107.71,107.02,107.63,,,
2017-06-27,105.41,105.57,104.36,104.22,104.8,103.94,105.37,105.51,105.98,106.14,106.56,107.04,105.62,104.32,105.92,105.5,106.52,107.18,108.21,107.94,108.34,108.41,108.41,107.27,107.71,107.02,,,
2017-06-28,106.86,105.41,105.57,104.36,104.22,104.8,103.94,105.37,105.51,105.98,106.14,106.56,107.04,105.62,104.32,105.92,105.5,106.52,107.18,108.21,107.94,108.34,108.41,108.41,107.27,107.71,,,
2017-06-29,105.71,106.86,105.41,105.57,104.36,104.22,104.8,103.94,105.37,105.51,105.98,106.14,106.56,107.04,105.62,104.32,105.92,105.5,106.52,107.18,108.21,107.94,108.34,108.41,108.41,107.27,,,
2017-06-30,106.25,105.71,106.86,105.41,105.57,104.36,104.22,104.8,103.94,105.37,105.51,105.98,106.14,106.56,107.04,105.62,104.32,105.92,105.5,106.52,107.18,108.21,107.94,108.34,108.41,108.41,,,
2017-07-03,107.46,106.25,105.71,106.86,105.41,105.57,104.36,104.22,104.8,103.94,105.37,105.51,105.98,106.14,106.56,107.04,105.62,104.32,105.92,105.5,106.52,107.18,108.21,107.94,108.34,108.41,0.0,1.0,0.0
2017-07-04,107.46,107.46,106.25,105.71,106.86,105.41,105.57,104.36,104.22,104.8,103.94,105.37,105.51,105.98,106.14,106.56,107.04,105.62,104.32,105.92,105.5,106.52,107.18,108.21,107.94,108.34,0.143,0.7785,0.0785
2017-07-05,105.63,107.46,107.46,106.25,105.71,106.86,105.41,105.57,104.36,104.22,104.8,103.94,105.37,105.51,105.98,106.14,106.56,107.04,105.62,104.32,105.92,105.5,106.52,107.18,108.21,107.94,,,
2017-07-06,103.35,105.63,107.46,107.46,106.25,105.71,106.86,105.41,105.57,104.36,104.22,104.8,103.94,105.37,105.51,105.98,106.14,106.56,107.04,105.62,104.32,105.92,105.5,106.52,107.18,108.21,,,
2017-07-07,103.32,103.35,105.63,107.46,107.46,106.25,105.71,106.86,105.41,105.57,104.36,104.22,104.8,103.94,105.37,105.51,105.98,106.14,106.56,107.04,105.62,104.32,105.92,105.5,106.52,107.18,,,
2017-07-10,103.59,103.32,103.35,105.63,107.46,107.46,106.25,105.71,106.86,105.41,105.57,104.36,104.22,104.8,103.94,105.37,105.51,105.98,106.14,106.56,107.04,105.62,104.32,105.92,105.5,106.52,0.205,0.795,0.0
2017-07-11,103.84,103.59,103.32,103.35,105.63,107.46,107.46,106.25,105.71,106.86,105.41,105.57,104.36,104.22,104.8,103.94,105.37,105.51,105.98,106.14,106.56,107.04,105.62,104.32,105.92,105.5,,,
2017-07-12,104.38,103.84,103.59,103.32,103.35,105.63,107.46,107.46,106.25,105.71,106.86,105.41,105.57,104.36,104.22,104.8,103.94,105.37,105.51,105.98,106.14,106.56,107.04,105.62,104.32,105.92,,,
