Date,X_t,X_t-1,X_t-2,X_t-3,X_t-4,X_t-5,X_t-6,X_t-7,X_t-8,X_t-9,X_t-10,X_t-11,X_t-12,X_t-13,X_t-14,X_t-15,X_t-16,X_t-17,X_t-18,X_t-19,X_t-20,X_t-21,X_t-22,X_t-23,X_t-24,X_t-25,Pos_t-1,Neu_t-1,Neg_t-1
2017-06-14,141.01,140.34,136.83,135.52,135.45,137.38,137.13,138.16,137.61,137.89,136.8,136.71,136.43,136.43,137.13,136.39,136.76,137.3,136.37,135.27,134.23,135.68,136.63,135.05,135.65,135.91,,,
2017-06-15,141.62,141.01,140.34,136.83,135.52,135.45,137.38,137.13,138.16,137.61,137.89,136.8,136.71,136.43,136.43,137.13,136.39,136.76,137.3,136.37,135.27,134.23,135.68,136.63,135.05,135.65,,,
2017-06-16,142.58,141.62,141.01,140.34,136.83,135.52,135.45,137.38,137.13,138.16,137.61,137.89,136.8,136.71,136.43,136.43,137.13,136.39,136.76,137.3,136.37,135.27,134.23,135.68,136.63,135.05,,,
2017-06-19,141.8,142.58,141.62,141.01,140.34,136.83,135.52,135.45,137.38,137.13,138.16,137.61,137.89,136.8,136.71,136.43,136.43,137.13,136.39,136.76,137.3,136.37,135.27,134.23,135.68,136.63,,,
2017-06-20,139.56,141.8,142.58,141.62,141.01,140.34,136.83,135.52,135.45,137.38,137.13,138.16,137.61,137.89,136.8,136.71,136.43,136.43,137.13,136.39,136.76,137.3,136.37,135.27,134.23,135.68,,,
2017-06-21,139.03,139.56,141.8,142.58,141.62,141.01,140.34,136.83,135.52,135.45,137.38,137.13,138.16,137.61,137.89,136.8,136.71,136.43,136.43,137.13,136.39,136.76,137.3,136.37,135.27,134.23,,,
2017-06-22,138.93,139.03,139.56,141.8,142.58,141.62,141.01,140.34,136.83,135.52,135.45,137.38,137.13,138.16,137.61,137.89,136.8,136.71,136.43,136.43,137.13,136.39,136.76,137.3,136.37,135.27,,,
2017-06-23,139.39,138.93,139.03,139.56,141.8,142.58,141.62,141.01,140.34,136.83,135.52,135.45,137.38,137.13,138.16,137.61,137.89,136.8,136.71,136.43,136.43,137.13,136.39,136.76,137.3,136.37,,,
2017-06-26,139.43,139.39,138.93,139.03,139.56,141.8,142.58,141.62,141.01,140.34,136.83,135.52,135.45,137.38,137.13,138.16,137.61,137.89,136.8,136.71,136.43,136.43,137.13,136.39,136.76,137.3,0.524,0.476,0.0
2017-06-27,138.35,139.43,139.39,138.93,139.03,139.56,141.8,142.58,141.62,141.01,140.34,136.83,135.52,135.45,137.38,137.13,138.16,137.61,137.89,136.8,136.71,136.43,136.43,137.13,136.39,136.76,,,
2017-06-28,139.51,138.35,139.43,139.39,138.93,139.03,139.56,141.8,142.58,141.62,141.01,140.34,136.83,135.52,135.45,137.38,137.13,138.16,137.61,137.89,136.8,136.71,136.43,136.43,137.13,136.39,,,
2017-06-29,137.15,139.51,138.35,139.43,139.39,138.93,139.03,139.56,141.8,142.58,141.62,141.01,140.34,136.83,135.52,135.45,137.38,137.13,138.16,137.61,137.89,136.8,136.71,136.43,136.43,137.13,,,
2017-06-30,137.42,137.15,139.51,138.35,139.43,139.39,138.93,139.03,139.56,141.8,142.58,141.62,141.01,140.34,136.83,135.52,135.45,137.38,137.13,138.16,137.61,137.89,136.8,136.71,136.43,136.43,,,
2017-07-03,138.01,137.42,137.15,139.51,138.35,139.43,139.39,138.93,139.03,139.56,141.8,142.58,141.62,141.01,140.34,136.83,135.52,135.45,137.38,137.13,138.16,137.61,137.89,136.8,136.71,136.43,,,
2017-07-04,138.01,138.01,137.42,137.15,139.51,138.35,139.43,139.39,138.93,139.03,139.56,141.8,142.58,141.62,141.01,140.34,136.83,135.52,135.45,137.38,137.13,138.16,137.61,137.89,136.8,136.71,,,
