Date,X_t,X_t-1,X_t-2,X_t-3,X_t-4,X_t-5,X_t-6,X_t-7,X_t-8,X_t-9,X_t-10,X_t-11,X_t-12,X_t-13,X_t-14,X_t-15,X_t-16,X_t-17,X_t-18,X_t-19,X_t-20,X_t-21,X_t-22,X_t-23,X_t-24,X_t-25,Pos_t-1,Neu_t-1,Neg_t-1
2017-06-14,150.25,150.68,148.44,149.6,154.71,153.12,152.81,153.63,153.61,151.53,151.46,152.38,152.13,152.13,151.96,150.04,148.07,148.24,148.06,147.66,144.85,149.78,150.19,150.33,150.04,150.29,0.08192,0.8344399999999998,0.0836
2017-06-15,149.8,150.25,150.68,148.44,149.6,154.71,153.12,152.81,153.63,153.61,151.53,151.46,152.38,152.13,152.13,151.96,150.04,148.07,148.24,148.06,147.66,144.85,149.78,150.19,150.33,150.04,0.279,0.721,0.0
2017-06-16,150.64,149.8,150.25,150.68,148.44,149.6,154.71,153.12,152.81,153.63,153.61,151.53,151.46,152.38,152.13,152.13,151.96,150.04,148.07,148.24,148.06,147.66,144.85,149.78,150.19,150.33,0.0,1.0,0.0
2017-06-19,152.87,150.64,149.8,150.25,150.68,148.44,149.6,154.71,153.12,152.81,153.63,153.61,151.53,151.46,152.38,152.13,152.13,151.96,150.04,148.07,148.24,148.06,147.66,144.85,149.78,150.19,0.062,0.8380000000000001,0.1
2017-06-20,152.25,152.87,150.64,149.8,150.25,150.68,148.44,149.6,154.71,153.12,152.81,153.63,153.61,151.53,151.46,152.38,152.13,152.13,151.96,150.04,148.07,148.24,148.06,147.66,144.85,149.78,0.0,0.8355,0.1645
2017-06-21,153.91,152.25,152.87,150.64,149.8,150.25,150.68,148.44,149.6,154.71,153.12,152.81,153.63,153.61,151.53,151.46,152.38,152.13,152.13,151.96,150.04,148.07,148.24,148.06,147.66,144.85,0.074,0.866,0.059666666666666666
2017-06-22,153.4,153.91,152.25,152.87,150.64,149.8,150.25,150.68,148.44,149.6,154.71,153.12,152.81,153.63,153.61,151.53,151.46,152.38,152.13,152.13,151.96,150.04,148.07,148.24,148.06,147.66,,,
2017-06-23,155.07,153.4,153.91,152.25,152.87,150.64,149.8,150.25,150.68,148.44,149.6,154.71,153.12,152.81,153.63,153.61,151.53,151.46,152.38,152.13,152.13,151.96,150.04,148.07,148.24,148.06,0.0,1.0,0.0
2017-06-26,153.59,155.07,153.4,153.91,152.25,152.87,150.64,149.8,150.25,150.68,148.44,149.6,154.71,153.12,152.81,153.63,153.61,151.53,151.46,152.38,152.13,152.13,151.96,150.04,148.07,148.24,0.2565,0.7435,0.0
2017-06-27,150.58,153.59,155.07,153.4,153.91,152.25,152.87,150.64,149.8,150.25,150.68,148.44,149.6,154.71,153.12,152.81,153.63,153.61,151.53,151.46,152.38,152.13,152.13,151.96,150.04,148.07,0.282,0.513,0.205
2017-06-28,153.24,150.58,153.59,155.07,153.4,153.91,152.25,152.87,150.64,149.8,150.25,150.68,148.44,149.6,154.71,153.12,152.81,153.63,153.61,151.53,151.46,152.38,152.13,152.13,151.96,150.04,0.0,0.513,0.487
2017-06-29,151.04,153.24,150.58,153.59,155.07,153.4,153.91,152.25,152.87,150.64,149.8,150.25,150.68,148.44,149.6,154.71,153.12,152.81,153.63,153.61,151.53,151.46,152.38,152.13,152.13,151.96,,,
