Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,712.9,711.12,,,
2016-05-10,723.18,712.9,,,
2016-05-11,715.29,723.18,,,
2016-05-12,713.31,715.29,,,
2016-05-13,710.83,713.31,,,
2016-05-16,716.49,710.83,,,
2016-05-17,706.23,716.49,,,
2016-05-18,706.63,706.23,,,
2016-05-19,700.32,706.63,,,
2016-05-20,709.74,700.32,,,
2016-05-23,704.24,709.74,,,
2016-05-24,720.09,704.24,,,
2016-05-25,725.27,720.09,,,
2016-05-26,724.12,725.27,,,
2016-05-27,732.66,724.12,,,
2016-05-30,732.66,732.66,,,
2016-05-31,735.72,732.66,,,
2016-06-01,734.15,735.72,,,
2016-06-02,730.4,734.15,,,
2016-06-03,722.34,730.4,,,
2016-06-06,716.55,722.34,,,
2016-06-07,716.65,716.55,,,
2016-06-08,728.28,716.65,,,
2016-06-09,728.58,728.28,,,
2016-06-10,719.41,728.58,,,
2016-06-13,718.36,719.41,,,
2016-06-14,718.27,718.36,,,
2016-06-15,718.92,718.27,,,
2016-06-16,710.36,718.92,,,
2016-06-17,691.72,710.36,,,
2016-06-20,693.71,691.72,,,
2016-06-21,695.94,693.71,,,
2016-06-22,697.46,695.94,,,
2016-06-23,701.87,697.46,,,
2016-06-24,675.22,701.87,,,
2016-06-27,668.26,675.22,,,
2016-06-28,680.04,668.26,,,
2016-06-29,684.11,680.04,,,
2016-06-30,692.1,684.11,,,
2016-07-01,699.21,692.1,,,
2016-07-04,699.21,699.21,,,
2016-07-05,694.49,699.21,,,
2016-07-06,697.77,694.49,,,
2016-07-07,695.36,697.77,,,
2016-07-08,705.63,695.36,,,
2016-07-11,715.09,705.63,,,
2016-07-12,720.64,715.09,,,
2016-07-13,716.98,720.64,,,
2016-07-14,720.95,716.98,,,
2016-07-15,719.85,720.95,,,
2016-07-18,733.78,719.85,,,
2016-07-19,736.96,733.78,,,
2016-07-20,741.19,736.96,,,
2016-07-21,738.63,741.19,,,
2016-07-22,742.74,738.63,,,
2016-07-25,739.77,742.74,,,
2016-07-26,738.42,739.77,,,
2016-07-27,741.77,738.42,,,
2016-07-28,745.91,741.77,,,
2016-07-29,768.79,745.91,,,
2016-08-01,772.88,768.79,,,
2016-08-02,771.07,772.88,,,
2016-08-03,773.18,771.07,,,
2016-08-04,771.61,773.18,,,
2016-08-05,782.22,771.61,,,
2016-08-08,781.76,782.22,,,
2016-08-09,784.26,781.76,,,
2016-08-10,784.68,784.26,,,
2016-08-11,784.85,784.68,,,
2016-08-12,783.22,784.85,,,
2016-08-15,782.44,783.22,,,
2016-08-16,777.14,782.44,,,
2016-08-17,779.91,777.14,,,
2016-08-18,777.5,779.91,,,
2016-08-19,775.42,777.5,,,
2016-08-22,772.15,775.42,,,
2016-08-23,772.08,772.15,,,
2016-08-24,769.64,772.08,,,
2016-08-25,769.41,769.64,,,
2016-08-26,769.54,769.41,,,
2016-08-29,772.15,769.54,,,
2016-08-30,769.09,772.15,,,
