Date,X_t,X_t-1,X_t-2,X_t-3,X_t-4,X_t-5,X_t-6,X_t-7,X_t-8,X_t-9,X_t-10,X_t-11,X_t-12,X_t-13,X_t-14,X_t-15,X_t-16,X_t-17,X_t-18,X_t-19,X_t-20,X_t-21,X_t-22,X_t-23,X_t-24,X_t-25,Pos_t-1,Neu_t-1,Neg_t-1
2017-06-14,967.93,970.5,961.81,970.12,1004.28,1001.59,996.68,1003.88,996.12,988.29,987.09,996.17,993.27,993.27,991.86,977.61,970.55,964.07,954.65,950.5,942.17,964.61,959.22,955.14,955.89,954.84,0.05025925925925926,0.892185185185185,0.057555555555555554
2017-06-15,960.18,967.93,970.5,961.81,970.12,1004.28,1001.59,996.68,1003.88,996.12,988.29,987.09,996.17,993.27,993.27,991.86,977.61,970.55,964.07,954.65,950.5,942.17,964.61,959.22,955.14,955.89,,,
2017-06-16,958.62,960.18,967.93,970.5,961.81,970.12,1004.28,1001.59,996.68,1003.88,996.12,988.29,987.09,996.17,993.27,993.27,991.86,977.61,970.55,964.07,954.65,950.5,942.17,964.61,959.22,955.14,0.0705,0.9295,0.0
2017-06-19,975.22,958.62,960.18,967.93,970.5,961.81,970.12,1004.28,1001.59,996.68,1003.88,996.12,988.29,987.09,996.17,993.27,993.27,991.86,977.61,970.55,964.07,954.65,950.5,942.17,964.61,959.22,0.0,1.0,0.0
2017-06-20,968.99,975.22,958.62,960.18,967.93,970.5,961.81,970.12,1004.28,1001.59,996.68,1003.88,996.12,988.29,987.09,996.17,993.27,993.27,991.86,977.61,970.55,964.07,954.65,950.5,942.17,964.61,,,
2017-06-21,978.59,968.99,975.22,958.62,960.18,967.93,970.5,961.81,970.12,1004.28,1001.59,996.68,1003.88,996.12,988.29,987.09,996.17,993.27,993.27,991.86,977.61,970.55,964.07,954.65,950.5,942.17,,,
2017-06-22,976.62,978.59,968.99,975.22,958.62,960.18,967.93,970.5,961.81,970.12,1004.28,1001.59,996.68,1003.88,996.12,988.29,987.09,996.17,993.27,993.27,991.86,977.61,970.55,964.07,954.65,950.5,0.0,1.0,0.0
2017-06-23,986.09,976.62,978.59,968.99,975.22,958.62,960.18,967.93,970.5,961.81,970.12,1004.28,1001.59,996.68,1003.88,996.12,988.29,987.09,996.17,993.27,993.27,991.86,977.61,970.55,964.07,954.65,0.0,1.0,0.0
2017-06-26,972.09,986.09,976.62,978.59,968.99,975.22,958.62,960.18,967.93,970.5,961.81,970.12,1004.28,1001.59,996.68,1003.88,996.12,988.29,987.09,996.17,993.27,993.27,991.86,977.61,970.55,964.07,0.153,0.6693333333333333,0.17766666666666667
2017-06-27,948.09,972.09,986.09,976.62,978.59,968.99,975.22,958.62,960.18,967.93,970.5,961.81,970.12,1004.28,1001.59,996.68,1003.88,996.12,988.29,987.09,996.17,993.27,993.27,991.86,977.61,970.55,0.06833333333333333,0.9316666666666666,0.0
2017-06-28,961.01,948.09,972.09,986.09,976.62,978.59,968.99,975.22,958.62,960.18,967.93,970.5,961.81,970.12,1004.28,1001.59,996.68,1003.88,996.12,988.29,987.09,996.17,993.27,993.27,991.86,977.61,0.0,1.0,0.0
