Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,36.47,36.215,,,
2016-05-10,36.6,36.47,,,
2016-05-11,36.7,36.6,,,
2016-05-12,37.05,36.7,,,
2016-05-13,36.885,37.05,,,
2016-05-16,36.985,36.885,,,
2016-05-17,35.99,36.985,,,
2016-05-18,35.35,35.99,,,
2016-05-19,35.74,35.35,,,
2016-05-20,35.91,35.74,,,
2016-05-23,35.75,35.91,,,
2016-05-24,36.39,35.75,,,
2016-05-25,36.43,36.39,,,
2016-05-26,36.73,36.43,,,
2016-05-27,36.84,36.73,,,
2016-05-30,36.84,36.84,,,
2016-05-31,37.05,36.84,,,
2016-06-01,37.3,37.05,,,
2016-06-02,37.4,37.3,,,
2016-06-03,38.31,37.4,,,
2016-06-06,38.28,38.31,,,
2016-06-07,38.52,38.28,,,
2016-06-08,38.88,38.52,,,
2016-06-09,39.42,38.88,,,
2016-06-10,38.99,39.42,,,
2016-06-13,38.82,38.99,,,
2016-06-14,39.11,38.82,,,
2016-06-15,38.68,39.11,,,
2016-06-16,38.82,38.68,,,
2016-06-17,38.91,38.82,,,
2016-06-20,38.89,38.91,,,
2016-06-21,39.05,38.89,,,
2016-06-22,38.64,39.05,,,
2016-06-23,38.8,38.64,,,
2016-06-24,39.28,38.8,,,
2016-06-27,39.85,39.28,,,
2016-06-28,39.81,39.85,,,
2016-06-29,39.82,39.81,,,
2016-06-30,39.7,39.82,,,
2016-07-01,40.39,39.7,,,
2016-07-04,40.39,40.39,,,
2016-07-05,40.87,40.39,,,
2016-07-06,40.78,40.87,,,
2016-07-07,39.85,40.78,,,
2016-07-08,40.55,39.85,,,
2016-07-11,40.46,40.55,,,
2016-07-12,39.34,40.46,,,
2016-07-13,39.71,39.34,,,
2016-07-14,39.34,39.71,,,
2016-07-15,39.41,39.34,,,
2016-07-18,39.57,39.41,,,
2016-07-19,39.61,39.57,,,
2016-07-20,39.55,39.61,,,
2016-07-21,39.73,39.55,,,
2016-07-22,40.35,39.73,,,
2016-07-25,40.4,40.35,,,
2016-07-26,40.09,40.4,,,
2016-07-27,39.45,40.09,,,
2016-07-28,39.96,39.45,,,
2016-07-29,40.25,39.96,,,
2016-08-01,40.27,40.25,,,
2016-08-02,40.42,40.27,,,
2016-08-03,40.12,40.42,,,
2016-08-04,40.13,40.12,,,
2016-08-05,39.39,40.13,,,
2016-08-08,39.28,39.39,,,
2016-08-09,39.24,39.28,,,
2016-08-10,39.26,39.24,,,
2016-08-11,39.4,39.26,,,
2016-08-12,39.54,39.4,,,
2016-08-15,38.94,39.54,,,
2016-08-16,38.2,38.94,,,
2016-08-17,38.92,38.2,,,
2016-08-18,39.51,38.92,,,
2016-08-19,38.84,39.51,,,
2016-08-22,39.08,38.84,,,
2016-08-23,38.58,39.08,,,
2016-08-24,38.82,38.58,,,
2016-08-25,38.87,38.82,,,
2016-08-26,37.92,38.87,,,
2016-08-29,38.25,37.92,,,
2016-08-30,37.84,38.25,,,
2016-08-31,37.95,37.84,,,
2016-09-01,37.67,37.95,,,
2016-09-02,38.21,37.67,,,
2016-09-05,38.21,38.21,,,
2016-09-06,38.81,38.21,,,
2016-09-07,38.98,38.81,,,
2016-09-08,38.86,38.98,,,
2016-09-09,37.15,38.86,,,
2016-09-12,37.72,37.15,,,
2016-09-13,37.37,37.72,,,
2016-09-14,37.56,37.37,,,
2016-09-15,37.96,37.56,,,
2016-09-16,38.43,37.96,,,
2016-09-19,38.77,38.43,,,
2016-09-20,38.85,38.77,,,
2016-09-21,39.7,38.85,,,
2016-09-22,39.98,39.7,,,
2016-09-23,40.11,39.98,,,
2016-09-26,40.26,40.11,,,
2016-09-27,39.68,40.26,,,
2016-09-28,39.39,39.68,,,
2016-09-29,38.86,39.39,,,
2016-09-30,38.31,38.86,,,
2016-10-03,37.8,38.31,,,
2016-10-04,36.93,37.8,,,
2016-10-05,36.78,36.93,,,
2016-10-06,36.69,36.78,,,
2016-10-07,36.54,36.69,,,
2016-10-10,36.88,36.54,,,
2016-10-11,36.37,36.88,,,
2016-10-12,36.92,36.37,,,
2016-10-13,37.23,36.92,,,
2016-10-14,36.97,37.23,,,
2016-10-17,37.21,36.97,,,
2016-10-18,37.38,37.21,,,
2016-10-19,37.29,37.38,,,
2016-10-20,37.32,37.29,,,
2016-10-21,37.07,37.32,,,
2016-10-24,37.32,37.07,,,
2016-10-25,37.39,37.32,,,
2016-10-26,37.48,37.39,,,
2016-10-27,37.02,37.48,,,
2016-10-28,37.23,37.02,,,
2016-10-31,38.05,37.23,,,
2016-11-01,37.42,38.05,,,
2016-11-02,36.98,37.42,,,
2016-11-03,37.09,36.98,,,
2016-11-04,36.83,37.09,,,
2016-11-07,37.93,36.83,,,
2016-11-08,38.5,37.93,,,
2016-11-09,36.81,38.5,,,
2016-11-10,35.49,36.81,,,
2016-11-11,35.36,35.49,,,
2016-11-14,35.51,35.36,,,
2016-11-15,36.02,35.51,,,
2016-11-16,35.78,36.02,,,
2016-11-17,35.81,35.78,,,
2016-11-18,35.64,35.81,,,
2016-11-21,35.83,35.64,,,
2016-11-22,36.13,35.83,,,
2016-11-23,35.75,36.13,,,
2016-11-24,35.75,35.75,,,
2016-11-25,36.35,35.75,,,
2016-11-28,37.09,36.35,,,
2016-11-29,37.25,37.09,,,
2016-11-30,35.92,37.25,,,
2016-12-01,35.51,35.92,,,
2016-12-02,35.99,35.51,,,
2016-12-05,36.07,35.99,,,
2016-12-06,36.08,36.07,,,
2016-12-07,36.47,36.08,,,
2016-12-08,36.44,36.47,,,
2016-12-09,36.83,36.44,,,
2016-12-12,37.21,36.83,,,
2016-12-13,37.51,37.21,,,
2016-12-14,36.62,37.51,,,
2016-12-15,37.01,36.62,,,
2016-12-16,37.61,37.01,,,
2016-12-19,37.77,37.61,,,
2016-12-20,37.8,37.77,,,
2016-12-21,37.69,37.8,,,
2016-12-22,37.81,37.69,,,
2016-12-23,37.86,37.81,,,
2016-12-26,37.86,37.86,,,
2016-12-27,38.0,37.86,,,
2016-12-28,37.54,38.0,,,
2016-12-29,38.19,37.54,,,
2016-12-30,37.89,38.19,,,
2017-01-02,37.89,37.89,,,
2017-01-03,37.93,37.89,,,
2017-01-04,38.16,37.93,,,
2017-01-05,38.11,38.16,,,
2017-01-06,37.8,38.11,,,
2017-01-09,37.28,37.8,,,
2017-01-10,37.24,37.28,,,
2017-01-11,37.75,37.24,,,
2017-01-12,37.65,37.75,,,
2017-01-13,37.49,37.65,,,
2017-01-16,37.49,37.49,,,
2017-01-17,37.75,37.49,,,
2017-01-18,37.7,37.75,,,
2017-01-19,37.28,37.7,,,
2017-01-20,37.36,37.28,,,
2017-01-23,37.03,37.36,,,
2017-01-24,36.95,37.03,,,
2017-01-25,36.89,36.95,,,
2017-01-26,36.95,36.89,,,
2017-01-27,36.89,36.95,,,
2017-01-30,36.86,36.89,,,
2017-01-31,37.65,36.86,,,
2017-02-01,36.98,37.65,,,
2017-02-02,37.51,36.98,,,
2017-02-03,37.82,37.51,,,
2017-02-06,37.66,37.82,,,
2017-02-07,37.8,37.66,,,
2017-02-08,38.15,37.8,,,
2017-02-09,37.65,38.15,,,
2017-02-10,37.86,37.65,,,
2017-02-13,37.99,37.86,,,
2017-02-14,37.67,37.99,,,
2017-02-15,37.54,37.67,,,
2017-02-16,37.93,37.54,,,
2017-02-17,38.08,37.93,,,
2017-02-20,38.08,38.08,,,
2017-02-21,38.43,38.08,,,
2017-02-22,38.65,38.43,,,
2017-02-23,39.11,38.65,,,
2017-02-24,39.52,39.11,,,
2017-02-27,39.05,39.52,,,
2017-02-28,39.48,39.05,,,
2017-03-01,39.08,39.48,,,
2017-03-02,39.25,39.08,,,
2017-03-03,39.19,39.25,,,
2017-03-06,39.18,39.19,,,
2017-03-07,39.28,39.18,,,
2017-03-08,38.39,39.28,,,
2017-03-09,38.3,38.39,,,
2017-03-10,38.61,38.3,,,
2017-03-13,38.75,38.61,,,
2017-03-14,38.87,38.75,,,
2017-03-15,39.58,38.87,,,
2017-03-16,39.13,39.58,,,
2017-03-17,39.56,39.13,,,
2017-03-20,39.1,39.56,,,
2017-03-21,39.7,39.1,,,
2017-03-22,39.78,39.7,,,
2017-03-23,39.84,39.78,,,
2017-03-24,40.1,39.84,,,
2017-03-27,40.06,40.1,,,
2017-03-28,40.12,40.06,,,
2017-03-29,39.98,40.12,,,
2017-03-30,39.57,39.98,,,
2017-03-31,39.61,39.57,,,
2017-04-03,39.59,39.61,,,
2017-04-04,39.87,39.59,,,
2017-04-05,39.98,39.87,,,
2017-04-06,39.87,39.98,,,
2017-04-07,39.7,39.87,,,
2017-04-10,39.71,39.7,,,
2017-04-11,39.7,39.71,,,
2017-04-12,39.89,39.7,,,
2017-04-13,39.62,39.89,,,
2017-04-14,39.62,39.62,,,
2017-04-17,39.88,39.62,,,
2017-04-18,40.15,39.88,,,
2017-04-19,39.81,40.15,,,
2017-04-20,39.72,39.81,,,
2017-04-21,39.96,39.72,,,
2017-04-24,40.07,39.96,,,
2017-04-25,40.01,40.07,,,
2017-04-26,39.48,40.01,,,
2017-04-27,39.72,39.48,,,
2017-04-28,39.32,39.72,,,
2017-05-01,39.1,39.32,,,
2017-05-02,39.42,39.1,,,
2017-05-03,39.29,39.42,,,
2017-05-04,39.87,39.29,,,
2017-05-05,40.06,39.87,,,
2017-05-08,39.79,40.06,,,
2017-05-09,39.57,39.79,,,
2017-05-10,39.52,39.57,,,
2017-05-11,39.4,39.52,,,
2017-05-12,39.61,39.4,,,
2017-05-15,39.78,39.61,,,
2017-05-16,39.38,39.78,,,
2017-05-17,39.62,39.38,,,
2017-05-18,39.82,39.62,,,
2017-05-19,39.75,39.82,,,
2017-05-22,40.38,39.75,,,
2017-05-23,40.91,40.38,,,
