Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,168.52,168.89,,,
2016-05-10,170.26,168.52,,,
2016-05-11,169.77,170.26,,,
2016-05-12,170.15,169.77,,,
2016-05-13,168.32,170.15,,,
2016-05-16,169.55,168.32,,,
2016-05-17,167.81,169.55,,,
2016-05-18,166.82,167.81,,,
2016-05-19,165.11,166.82,,,
2016-05-20,165.01,165.11,,,
2016-05-23,166.11,165.01,,,
2016-05-24,168.63,166.11,,,
2016-05-25,169.99,168.63,,,
2016-05-26,168.91,169.99,,,
2016-05-27,168.89,168.91,,,
2016-05-30,168.89,168.89,,,
2016-05-31,168.32,168.89,,,
2016-06-01,168.69,168.32,,,
2016-06-02,168.04,168.69,,,
2016-06-03,168.38,168.04,,,
2016-06-06,170.08,168.38,,,
2016-06-07,170.91,170.08,,,
2016-06-08,171.42,170.91,,,
2016-06-09,170.13,171.42,,,
2016-06-10,168.56,170.13,,,
2016-06-13,167.13,168.56,,,
2016-06-14,167.61,167.13,,,
2016-06-15,167.8,167.61,,,
2016-06-16,169.93,167.8,,,
2016-06-17,168.94,169.93,,,
2016-06-20,171.23,168.94,,,
2016-06-21,171.37,171.23,,,
2016-06-22,171.23,171.37,,,
2016-06-23,174.11,171.23,,,
2016-06-24,169.12,174.11,,,
2016-06-27,167.19,169.12,,,
2016-06-28,169.59,167.19,,,
2016-06-29,171.52,169.59,,,
2016-06-30,175.12,171.52,,,
2016-07-01,175.54,175.12,,,
2016-07-04,175.54,175.54,,,
2016-07-05,175.63,175.54,,,
2016-07-06,175.16,175.63,,,
2016-07-07,174.87,175.16,,,
2016-07-08,177.12,174.87,,,
2016-07-11,178.01,177.12,,,
2016-07-12,179.16,178.01,,,
2016-07-13,179.21,179.16,,,
2016-07-14,180.9,179.21,,,
2016-07-15,181.4,180.9,,,
2016-07-18,181.11,181.4,,,
2016-07-19,181.24,181.11,,,
2016-07-20,181.42,181.24,,,
2016-07-21,180.26,181.42,,,
2016-07-22,180.44,180.26,,,
2016-07-25,179.63,180.44,,,
2016-07-26,177.66,179.63,,,
2016-07-27,178.27,177.66,,,
2016-07-28,177.98,178.27,,,
2016-07-29,178.36,177.98,,,
2016-08-01,178.29,178.36,,,
2016-08-02,178.36,178.29,,,
2016-08-03,178.38,178.36,,,
2016-08-04,177.81,178.38,,,
2016-08-05,178.57,177.81,,,
2016-08-08,178.58,178.57,,,
2016-08-09,178.39,178.58,,,
2016-08-10,178.82,178.39,,,
2016-08-11,181.0,178.82,,,
2016-08-12,180.27,181.0,,,
2016-08-15,180.56,180.27,,,
2016-08-16,179.25,180.56,,,
2016-08-17,179.87,179.25,,,
2016-08-18,179.18,179.87,,,
2016-08-19,179.61,179.18,,,
2016-08-22,179.07,179.61,,,
2016-08-23,179.77,179.07,,,
2016-08-24,179.41,179.77,,,
2016-08-25,179.58,179.41,,,
2016-08-26,179.41,179.58,,,
2016-08-29,180.5,179.41,,,
2016-08-30,180.15,180.5,,,
2016-08-31,179.24,180.15,,,
2016-09-01,179.98,179.24,,,
2016-09-02,180.81,179.98,,,
2016-09-05,180.81,180.81,,,
2016-09-06,180.46,180.81,,,
2016-09-07,179.75,180.46,,,
2016-09-08,180.1,179.75,,,
2016-09-09,175.64,180.1,,,
2016-09-12,178.1,175.64,,,
2016-09-13,176.07,178.1,,,
2016-09-14,175.62,176.07,,,
2016-09-15,176.59,175.62,,,
2016-09-16,175.06,176.59,,,
2016-09-19,176.72,175.06,,,
2016-09-20,177.6,176.72,,,
2016-09-21,179.59,177.6,,,
2016-09-22,179.85,179.59,,,
2016-09-23,177.39,179.85,,,
2016-09-26,175.95,177.39,,,
2016-09-27,176.3,175.95,,,
2016-09-28,177.59,176.3,,,
2016-09-29,175.37,177.59,,,
2016-09-30,176.23,175.37,,,
2016-10-03,175.04,176.23,,,
2016-10-04,171.68,175.04,,,
2016-10-05,172.39,171.68,,,
2016-10-06,171.64,172.39,,,
2016-10-07,171.33,171.64,,,
2016-10-10,171.14,171.33,,,
2016-10-11,169.68,171.14,,,
2016-10-12,169.72,169.68,,,
2016-10-13,170.02,169.72,,,
2016-10-14,170.33,170.02,,,
2016-10-17,170.21,170.33,,,
2016-10-18,169.95,170.21,,,
2016-10-19,169.91,169.95,,,
2016-10-20,169.86,169.91,,,
2016-10-21,169.5,169.86,,,
2016-10-24,171.27,169.5,,,
2016-10-25,166.23,171.27,,,
2016-10-26,166.51,166.23,,,
2016-10-27,165.76,166.51,,,
2016-10-28,165.77,165.76,,,
2016-10-31,165.3,165.77,,,
2016-11-01,164.25,165.3,,,
2016-11-02,165.73,164.25,,,
2016-11-03,166.83,165.73,,,
2016-11-04,166.48,166.83,,,
2016-11-07,169.74,166.48,,,
2016-11-08,171.03,169.74,,,
2016-11-09,170.39,171.03,,,
2016-11-10,174.28,170.39,,,
2016-11-11,175.08,174.28,,,
2016-11-14,172.91,175.08,,,
2016-11-15,174.24,172.91,,,
2016-11-16,172.01,174.24,,,
2016-11-17,172.77,172.01,,,
2016-11-18,172.96,172.77,,,
2016-11-21,171.52,172.96,,,
2016-11-22,171.91,171.52,,,
2016-11-23,172.25,171.91,,,
2016-11-24,172.25,172.25,,,
2016-11-25,173.49,172.25,,,
2016-11-28,172.5,173.49,,,
2016-11-29,172.77,172.5,,,
2016-11-30,171.74,172.77,,,
2016-12-01,172.63,171.74,,,
2016-12-02,172.43,172.63,,,
2016-12-05,171.62,172.43,,,
2016-12-06,171.8,171.62,,,
2016-12-07,176.05,171.8,,,
2016-12-08,175.88,176.05,,,
2016-12-09,178.49,175.88,,,
2016-12-12,179.64,178.49,,,
2016-12-13,178.83,179.64,,,
2016-12-14,176.6,178.83,,,
2016-12-15,176.02,176.6,,,
2016-12-16,177.45,176.02,,,
2016-12-19,178.16,177.45,,,
2016-12-20,178.65,178.16,,,
2016-12-21,178.43,178.65,,,
2016-12-22,179.2,178.43,,,
2016-12-23,178.75,179.2,,,
2016-12-26,178.75,178.75,,,
2016-12-27,178.92,178.75,,,
2016-12-28,178.08,178.92,,,
2016-12-29,178.41,178.08,,,
2016-12-30,178.57,178.41,,,
2017-01-02,178.57,178.57,,,
2017-01-03,178.05,178.57,,,
2017-01-04,178.32,178.05,,,
2017-01-05,177.71,178.32,,,
2017-01-06,178.23,177.71,,,
2017-01-09,177.27,178.23,,,
2017-01-10,176.58,177.27,,,
2017-01-11,177.89,176.58,,,
2017-01-12,177.44,177.89,,,
2017-01-13,177.39,177.44,,,
2017-01-16,177.39,177.39,,,
2017-01-17,177.26,177.39,,,
2017-01-18,178.49,177.26,,,
2017-01-19,178.68,178.49,,,
2017-01-20,178.49,178.68,,,
2017-01-23,178.51,178.49,,,
2017-01-24,175.97,178.51,,,
2017-01-25,176.73,175.97,,,
2017-01-26,176.82,176.73,,,
2017-01-27,177.48,176.82,,,
2017-01-30,175.42,177.48,,,
2017-01-31,174.82,175.42,,,
2017-02-01,175.17,174.82,,,
2017-02-02,174.18,175.17,,,
2017-02-03,175.04,174.18,,,
2017-02-06,175.1,175.04,,,
2017-02-07,175.76,175.1,,,
2017-02-08,177.07,175.76,,,
2017-02-09,178.18,177.07,,,
2017-02-10,179.0,178.18,,,
2017-02-13,181.02,179.0,,,
2017-02-14,181.6,181.02,,,
2017-02-15,181.7,181.6,,,
2017-02-16,183.41,181.7,,,
2017-02-17,182.95,183.41,,,
2017-02-20,182.95,182.95,,,
2017-02-21,183.37,182.95,,,
2017-02-22,186.04,183.37,,,
