Date,X_t,X_t-1,Pos_t-1,Neu_t-1,Neg_t-1
2016-05-09,63.66,62.93,,,
2016-05-10,64.6,63.66,,,
2016-05-11,64.61,64.6,,,
2016-05-12,65.02,64.61,,,
2016-05-13,64.58,65.02,,,
2016-05-16,64.76,64.58,,,
2016-05-17,63.88,64.76,,,
2016-05-18,62.99,63.88,,,
2016-05-19,63.35,62.99,,,
2016-05-20,62.96,63.35,,,
2016-05-23,63.24,62.96,,,
2016-05-24,63.79,63.24,,,
2016-05-25,63.92,63.79,,,
2016-05-26,64.0,63.92,,,
2016-05-27,63.96,64.0,,,
2016-05-30,63.96,63.96,,,
2016-05-31,63.64,63.96,,,
2016-06-01,64.35,63.64,,,
2016-06-02,64.31,64.35,,,
2016-06-03,65.3,64.31,,,
2016-06-06,65.2,65.3,,,
2016-06-07,65.1,65.2,,,
2016-06-08,65.62,65.1,,,
2016-06-09,65.86,65.62,,,
2016-06-10,66.13,65.86,,,
2016-06-13,64.84,66.13,,,
2016-06-14,65.3,64.84,,,
2016-06-15,65.33,65.3,,,
2016-06-16,65.95,65.33,,,
2016-06-17,65.4,65.95,,,
2016-06-20,65.88,65.4,,,
2016-06-21,66.18,65.88,,,
2016-06-22,66.15,66.18,,,
2016-06-23,66.31,66.15,,,
2016-06-24,67.02,66.31,,,
2016-06-27,67.93,67.02,,,
2016-06-28,67.91,67.93,,,
2016-06-29,67.83,67.91,,,
2016-06-30,68.96,67.83,,,
2016-07-01,69.02,68.96,,,
2016-07-04,69.02,69.02,,,
2016-07-05,69.61,69.02,,,
2016-07-06,69.72,69.61,,,
2016-07-07,69.3,69.72,,,
2016-07-08,69.83,69.3,,,
2016-07-11,69.87,69.83,,,
2016-07-12,68.87,69.87,,,
2016-07-13,69.08,68.87,,,
2016-07-14,68.92,69.08,,,
2016-07-15,69.41,68.92,,,
2016-07-18,69.17,69.41,,,
2016-07-19,69.22,69.17,,,
2016-07-20,69.01,69.22,,,
2016-07-21,68.73,69.01,,,
2016-07-22,68.86,68.73,,,
2016-07-25,68.8,68.86,,,
2016-07-26,67.93,68.8,,,
2016-07-27,66.75,67.93,,,
2016-07-28,67.11,66.75,,,
2016-07-29,67.7,67.11,,,
2016-08-01,67.65,67.7,,,
2016-08-02,67.34,67.65,,,
2016-08-03,66.37,67.34,,,
2016-08-04,66.62,66.37,,,
2016-08-05,66.53,66.62,,,
2016-08-08,66.49,66.53,,,
2016-08-09,66.62,66.49,,,
2016-08-10,66.84,66.62,,,
2016-08-11,66.74,66.84,,,
2016-08-12,66.74,66.74,,,
2016-08-15,66.26,66.74,,,
2016-08-16,66.26,66.26,,,
2016-08-17,66.46,66.26,,,
2016-08-18,66.31,66.46,,,
2016-08-19,66.33,66.31,,,
2016-08-22,66.34,66.33,,,
2016-08-23,66.46,66.34,,,
2016-08-24,66.16,66.46,,,
2016-08-25,65.92,66.16,,,
