Date,X_t,X_t-1,X_t-2,X_t-3,X_t-4,X_t-5,X_t-6,X_t-7,X_t-8,X_t-9,X_t-10,X_t-11,X_t-12,X_t-13,X_t-14,X_t-15,X_t-16,X_t-17,X_t-18,X_t-19,X_t-20,X_t-21,X_t-22,X_t-23,X_t-24,X_t-25,Pos_t-1,Neu_t-1,Neg_t-1
2017-06-14,380.66,375.95,359.01,357.32,370.0,359.65,352.85,347.32,339.85,340.37,341.01,335.1,325.14,325.14,316.83,310.22,303.86,310.35,310.83,313.06,306.11,317.01,315.88,324.81,323.1,325.22,0.0,1.0,0.0
2017-06-15,375.34,380.66,375.95,359.01,357.32,370.0,359.65,352.85,347.32,339.85,340.37,341.01,335.1,325.14,325.14,316.83,310.22,303.86,310.35,310.83,313.06,306.11,317.01,315.88,324.81,323.1,,,
2017-06-16,371.4,375.34,380.66,375.95,359.01,357.32,370.0,359.65,352.85,347.32,339.85,340.37,341.01,335.1,325.14,325.14,316.83,310.22,303.86,310.35,310.83,313.06,306.11,317.01,315.88,324.81,,,
2017-06-19,369.8,371.4,375.34,380.66,375.95,359.01,357.32,370.0,359.65,352.85,347.32,339.85,340.37,341.01,335.1,325.14,325.14,316.83,310.22,303.86,310.35,310.83,313.06,306.11,317.01,315.88,,,
2017-06-20,372.24,369.8,371.4,375.34,380.66,375.95,359.01,357.32,370.0,359.65,352.85,347.32,339.85,340.37,341.01,335.1,325.14,325.14,316.83,310.22,303.86,310.35,310.83,313.06,306.11,317.01,,,
2017-06-21,376.4,372.24,369.8,371.4,375.34,380.66,375.95,359.01,357.32,370.0,359.65,352.85,347.32,339.85,340.37,341.01,335.1,325.14,325.14,316.83,310.22,303.86,310.35,310.83,313.06,306.11,,,
2017-06-22,382.61,376.4,372.24,369.8,371.4,375.34,380.66,375.95,359.01,357.32,370.0,359.65,352.85,347.32,339.85,340.37,341.01,335.1,325.14,325.14,316.83,310.22,303.86,310.35,310.83,313.06,0.0,1.0,0.0
2017-06-23,383.45,382.61,376.4,372.24,369.8,371.4,375.34,380.66,375.95,359.01,357.32,370.0,359.65,352.85,347.32,339.85,340.37,341.01,335.1,325.14,325.14,316.83,310.22,303.86,310.35,310.83,0.0,1.0,0.0
2017-06-26,377.49,383.45,382.61,376.4,372.24,369.8,371.4,375.34,380.66,375.95,359.01,357.32,370.0,359.65,352.85,347.32,339.85,340.37,341.01,335.1,325.14,325.14,316.83,310.22,303.86,310.35,,,
2017-06-27,362.37,377.49,383.45,382.61,376.4,372.24,369.8,371.4,375.34,380.66,375.95,359.01,357.32,370.0,359.65,352.85,347.32,339.85,340.37,341.01,335.1,325.14,325.14,316.83,310.22,303.86,,,
2017-06-28,371.24,362.37,377.49,383.45,382.61,376.4,372.24,369.8,371.4,375.34,380.66,375.95,359.01,357.32,370.0,359.65,352.85,347.32,339.85,340.37,341.01,335.1,325.14,325.14,316.83,310.22,,,
2017-06-29,360.75,371.24,362.37,377.49,383.45,382.61,376.4,372.24,369.8,371.4,375.34,380.66,375.95,359.01,357.32,370.0,359.65,352.85,347.32,339.85,340.37,341.01,335.1,325.14,325.14,316.83,,,
2017-06-30,361.61,360.75,371.24,362.37,377.49,383.45,382.61,376.4,372.24,369.8,371.4,375.34,380.66,375.95,359.01,357.32,370.0,359.65,352.85,347.32,339.85,340.37,341.01,335.1,325.14,325.14,,,
2017-07-03,352.62,361.61,360.75,371.24,362.37,377.49,383.45,382.61,376.4,372.24,369.8,371.4,375.34,380.66,375.95,359.01,357.32,370.0,359.65,352.85,347.32,339.85,340.37,341.01,335.1,325.14,0.0,1.0,0.0
2017-07-04,352.62,352.62,361.61,360.75,371.24,362.37,377.49,383.45,382.61,376.4,372.24,369.8,371.4,375.34,380.66,375.95,359.01,357.32,370.0,359.65,352.85,347.32,339.85,340.37,341.01,335.1,,,
2017-07-05,327.09,352.62,352.62,361.61,360.75,371.24,362.37,377.49,383.45,382.61,376.4,372.24,369.8,371.4,375.34,380.66,375.95,359.01,357.32,370.0,359.65,352.85,347.32,339.85,340.37,341.01,,,
2017-07-06,308.83,327.09,352.62,352.62,361.61,360.75,371.24,362.37,377.49,383.45,382.61,376.4,372.24,369.8,371.4,375.34,380.66,375.95,359.01,357.32,370.0,359.65,352.85,347.32,339.85,340.37,0.173,0.504,0.324
2017-07-07,313.22,308.83,327.09,352.62,352.62,361.61,360.75,371.24,362.37,377.49,383.45,382.61,376.4,372.24,369.8,371.4,375.34,380.66,375.95,359.01,357.32,370.0,359.65,352.85,347.32,339.85,0.0,1.0,0.0
2017-07-10,316.05,313.22,308.83,327.09,352.62,352.62,361.61,360.75,371.24,362.37,377.49,383.45,382.61,376.4,372.24,369.8,371.4,375.34,380.66,375.95,359.01,357.32,370.0,359.65,352.85,347.32,0.0,1.0,0.0
2017-07-11,327.22,316.05,313.22,308.83,327.09,352.62,352.62,361.61,360.75,371.24,362.37,377.49,383.45,382.61,376.4,372.24,369.8,371.4,375.34,380.66,375.95,359.01,357.32,370.0,359.65,352.85,,,
2017-07-12,329.52,327.22,316.05,313.22,308.83,327.09,352.62,352.62,361.61,360.75,371.24,362.37,377.49,383.45,382.61,376.4,372.24,369.8,371.4,375.34,380.66,375.95,359.01,357.32,370.0,359.65,,,
