Date,X_t,X_t-1,X_t-2,X_t-3,X_t-4,X_t-5,X_t-6,X_t-7,X_t-8,X_t-9,X_t-10,X_t-11,X_t-12,X_t-13,X_t-14,X_t-15,X_t-16,X_t-17,X_t-18,X_t-19,X_t-20,X_t-21,X_t-22,X_t-23,X_t-24,X_t-25,Pos_t-1,Neu_t-1,Neg_t-1
2017-06-14,16.76,16.97,17.04,16.9,17.59,17.44,17.57,18.23,18.31,18.53,18.32,18.43,18.23,18.23,17.95,17.98,18.15,18.43,18.35,18.51,18.28,19.49,19.23,18.61,18.39,18.54,0.08096153846153845,0.7726666666666667,0.14639743589743587
2017-06-15,16.83,16.76,16.97,17.04,16.9,17.59,17.44,17.57,18.23,18.31,18.53,18.32,18.43,18.23,18.23,17.95,17.98,18.15,18.43,18.35,18.51,18.28,19.49,19.23,18.61,18.39,0.20433333333333334,0.7956666666666666,0.0
2017-06-16,16.67,16.83,16.76,16.97,17.04,16.9,17.59,17.44,17.57,18.23,18.31,18.53,18.32,18.43,18.23,18.23,17.95,17.98,18.15,18.43,18.35,18.51,18.28,19.49,19.23,18.61,0.0,0.8809999999999999,0.119
2017-06-19,17.06,16.67,16.83,16.76,16.97,17.04,16.9,17.59,17.44,17.57,18.23,18.31,18.53,18.32,18.43,18.23,18.23,17.95,17.98,18.15,18.43,18.35,18.51,18.28,19.49,19.23,0.0,0.7326666666666667,0.26733333333333337
2017-06-20,16.91,17.06,16.67,16.83,16.76,16.97,17.04,16.9,17.59,17.44,17.57,18.23,18.31,18.53,18.32,18.43,18.23,18.23,17.95,17.98,18.15,18.43,18.35,18.51,18.28,19.49,0.07775,0.7889999999999999,0.13325
2017-06-21,17.78,16.91,17.06,16.67,16.83,16.76,16.97,17.04,16.9,17.59,17.44,17.57,18.23,18.31,18.53,18.32,18.43,18.23,18.23,17.95,17.98,18.15,18.43,18.35,18.51,18.28,0.074,0.866,0.059666666666666666
2017-06-22,18.15,17.78,16.91,17.06,16.67,16.83,16.76,16.97,17.04,16.9,17.59,17.44,17.57,18.23,18.31,18.53,18.32,18.43,18.23,18.23,17.95,17.98,18.15,18.43,18.35,18.51,0.0,1.0,0.0
2017-06-23,18.5,18.15,17.78,16.91,17.06,16.67,16.83,16.76,16.97,17.04,16.9,17.59,17.44,17.57,18.23,18.31,18.53,18.32,18.43,18.23,18.23,17.95,17.98,18.15,18.43,18.35,0.0695,0.80425,0.12625
2017-06-26,18.29,18.5,18.15,17.78,16.91,17.06,16.67,16.83,16.76,16.97,17.04,16.9,17.59,17.44,17.57,18.23,18.31,18.53,18.32,18.43,18.23,18.23,17.95,17.98,18.15,18.43,0.0,1.0,0.0
2017-06-27,18.12,18.29,18.5,18.15,17.78,16.91,17.06,16.67,16.83,16.76,16.97,17.04,16.9,17.59,17.44,17.57,18.23,18.31,18.53,18.32,18.43,18.23,18.23,17.95,17.98,18.15,0.166,0.7656666666666667,0.06833333333333333
2017-06-28,17.95,18.12,18.29,18.5,18.15,17.78,16.91,17.06,16.67,16.83,16.76,16.97,17.04,16.9,17.59,17.44,17.57,18.23,18.31,18.53,18.32,18.43,18.23,18.23,17.95,17.98,0.0,0.426,0.574
2017-06-29,17.65,17.95,18.12,18.29,18.5,18.15,17.78,16.91,17.06,16.67,16.83,16.76,16.97,17.04,16.9,17.59,17.44,17.57,18.23,18.31,18.53,18.32,18.43,18.23,18.23,17.95,0.0875,0.9125,0.0
2017-06-30,17.87,17.65,17.95,18.12,18.29,18.5,18.15,17.78,16.91,17.06,16.67,16.83,16.76,16.97,17.04,16.9,17.59,17.44,17.57,18.23,18.31,18.53,18.32,18.43,18.23,18.23,0.07771428571428572,0.8705714285714284,0.05171428571428571
2017-07-03,17.65,17.87,17.65,17.95,18.12,18.29,18.5,18.15,17.78,16.91,17.06,16.67,16.83,16.76,16.97,17.04,16.9,17.59,17.44,17.57,18.23,18.31,18.53,18.32,18.43,18.23,0.0985,0.75175,0.14975
2017-07-04,17.65,17.65,17.87,17.65,17.95,18.12,18.29,18.5,18.15,17.78,16.91,17.06,16.67,16.83,16.76,16.97,17.04,16.9,17.59,17.44,17.57,18.23,18.31,18.53,18.32,18.43,0.0,0.889,0.111
