Date,X_t,X_t-1,X_t-2,X_t-3,X_t-4,X_t-5,X_t-6,X_t-7,X_t-8,X_t-9,X_t-10,X_t-11,X_t-12,X_t-13,X_t-14,X_t-15,X_t-16,X_t-17,X_t-18,X_t-19,X_t-20,X_t-21,X_t-22,X_t-23,X_t-24,X_t-25,Pos_t-1,Neu_t-1,Neg_t-1
2017-06-14,77.56,77.48,77.73,78.83,80.52,81.66,81.24,81.67,82.03,80.98,79.67,79.25,81.25,81.25,81.41,78.94,79.03,78.92,77.98,75.98,76.18,79.06,77.79,76.41,77.36,78.55,0.06125,0.7615000000000001,0.17725000000000002
2017-06-15,77.34,77.56,77.48,77.73,78.83,80.52,81.66,81.24,81.67,82.03,80.98,79.67,79.25,81.25,81.25,81.41,78.94,79.03,78.92,77.98,75.98,76.18,79.06,77.79,76.41,77.36,0.398,0.602,0.0
2017-06-16,76.78,77.34,77.56,77.48,77.73,78.83,80.52,81.66,81.24,81.67,82.03,80.98,79.67,79.25,81.25,81.25,81.41,78.94,79.03,78.92,77.98,75.98,76.18,79.06,77.79,76.41,,,
2017-06-19,78.63,76.78,77.34,77.56,77.48,77.73,78.83,80.52,81.66,81.24,81.67,82.03,80.98,79.67,79.25,81.25,81.25,81.41,78.94,79.03,78.92,77.98,75.98,76.18,79.06,77.79,,,
2017-06-20,77.28,78.63,76.78,77.34,77.56,77.48,77.73,78.83,80.52,81.66,81.24,81.67,82.03,80.98,79.67,79.25,81.25,81.25,81.41,78.94,79.03,78.92,77.98,75.98,76.18,79.06,,,
2017-06-21,77.59,77.28,78.63,76.78,77.34,77.56,77.48,77.73,78.83,80.52,81.66,81.24,81.67,82.03,80.98,79.67,79.25,81.25,81.25,81.41,78.94,79.03,78.92,77.98,75.98,76.18,0.122,0.878,0.0
2017-06-22,77.45,77.59,77.28,78.63,76.78,77.34,77.56,77.48,77.73,78.83,80.52,81.66,81.24,81.67,82.03,80.98,79.67,79.25,81.25,81.25,81.41,78.94,79.03,78.92,77.98,75.98,0.0,0.826,0.174
2017-06-23,76.79,77.45,77.59,77.28,78.63,76.78,77.34,77.56,77.48,77.73,78.83,80.52,81.66,81.24,81.67,82.03,80.98,79.67,79.25,81.25,81.25,81.41,78.94,79.03,78.92,77.98,,,
2017-06-26,77.03,76.79,77.45,77.59,77.28,78.63,76.78,77.34,77.56,77.48,77.73,78.83,80.52,81.66,81.24,81.67,82.03,80.98,79.67,79.25,81.25,81.25,81.41,78.94,79.03,78.92,,,
2017-06-27,76.0,77.03,76.79,77.45,77.59,77.28,78.63,76.78,77.34,77.56,77.48,77.73,78.83,80.52,81.66,81.24,81.67,82.03,80.98,79.67,79.25,81.25,81.25,81.41,78.94,79.03,,,
2017-06-28,76.7,76.0,77.03,76.79,77.45,77.59,77.28,78.63,76.78,77.34,77.56,77.48,77.73,78.83,80.52,81.66,81.24,81.67,82.03,80.98,79.67,79.25,81.25,81.25,81.41,78.94,,,
2017-06-29,75.44,76.7,76.0,77.03,76.79,77.45,77.59,77.28,78.63,76.78,77.34,77.56,77.48,77.73,78.83,80.52,81.66,81.24,81.67,82.03,80.98,79.67,79.25,81.25,81.25,81.41,,,
2017-06-30,75.25,75.44,76.7,76.0,77.03,76.79,77.45,77.59,77.28,78.63,76.78,77.34,77.56,77.48,77.73,78.83,80.52,81.66,81.24,81.67,82.03,80.98,79.67,79.25,81.25,81.25,,,
2017-07-03,75.08,75.25,75.44,76.7,76.0,77.03,76.79,77.45,77.59,77.28,78.63,76.78,77.34,77.56,77.48,77.73,78.83,80.52,81.66,81.24,81.67,82.03,80.98,79.67,79.25,81.25,0.255,0.745,0.0
2017-07-04,75.08,75.08,75.25,75.44,76.7,76.0,77.03,76.79,77.45,77.59,77.28,78.63,76.78,77.34,77.56,77.48,77.73,78.83,80.52,81.66,81.24,81.67,82.03,80.98,79.67,79.25,,,
2017-07-05,76.54,75.08,75.08,75.25,75.44,76.7,76.0,77.03,76.79,77.45,77.59,77.28,78.63,76.78,77.34,77.56,77.48,77.73,78.83,80.52,81.66,81.24,81.67,82.03,80.98,79.67,0.0,0.769,0.231
2017-07-06,77.71,76.54,75.08,75.08,75.25,75.44,76.7,76.0,77.03,76.79,77.45,77.59,77.28,78.63,76.78,77.34,77.56,77.48,77.73,78.83,80.52,81.66,81.24,81.67,82.03,80.98,,,
2017-07-07,78.94,77.71,76.54,75.08,75.08,75.25,75.44,76.7,76.0,77.03,76.79,77.45,77.59,77.28,78.63,76.78,77.34,77.56,77.48,77.73,78.83,80.52,81.66,81.24,81.67,82.03,0.0,1.0,0.0
2017-07-10,78.26,78.94,77.71,76.54,75.08,75.08,75.25,75.44,76.7,76.0,77.03,76.79,77.45,77.59,77.28,78.63,76.78,77.34,77.56,77.48,77.73,78.83,80.52,81.66,81.24,81.67,,,
